version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,6429,48,308592,308596,592962
4.1.1.1,6429,48,308592,308596,593076
4.1.1.3,6435,48,308880,308884,594198
4.1.1.4,6440,48,309120,309124,594704
4.1.1.6,6446,48,309408,309412,595496
4.1.1.11,6478,48,310944,310948,598218
4.2.0.1,6671,48,320208,320212,613568
4.2.0.6,6671,48,320208,320212,613792
4.2.0.7,6671,48,320208,320212,614396
4.2.0.12.3,6673,48,320304,320308,614396
4.2.1.1,6693,48,321264,321268,617342
4.2.1.3,6733,48,323184,323188,622114
4.2.1.7,6775,48,325200,325204,626288
4.3.0.1,6917,48,332016,332020,641766
4.3.0.4,6917,48,332016,332020,641872
4.3.1.1,6927,48,332496,332500,642940
4.3.1.3,6972,48,334656,334660,647520
4.3.1.4,6983,48,335184,335188,649206
4.3.1.5,7027,48,337296,337300,653632
4.4.0.1.3,7244,69,499836,499840,698878
4.4.0.2,7248,69,500112,500116,701728
4.4.0.3,7248,69,500112,500116,702428
4.4.0.4,7249,69,500181,500185,702420
4.4.0.6.6,7249,69,500181,500185,702524
4.4.0.7.5,7283,69,502527,502531,706350
4.4.0.8,7297,69,503493,503497,707944
4.4.0.13,7345,69,506805,506809,713138
4.5.0.2,7578,69,522882,522886,733164
4.5.1.1,7578,69,522882,522886,733860
4.5.2.1.2,7584,69,523296,523300,734756
4.5.3.1,7588,69,523572,523576,735624
4.5.4.1,7588,69,523572,523576,736194
4.5.4.4,7635,69,526815,526819,741842
4.5.4.5,7718,69,532542,532546,749454
4.5.5.1,7777,69,536613,536617,753442
4.5.5.2,7779,69,536751,536755,757838
