"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57","MinAreaLevel","i32_62","MapFragmentLimit","bool_70","[i32]_71"
0,2994,[8711],"[1583,7005]",149,"","","","",1,"",1,100,1,"",[]
1,2995,[8711],"[1583,7005]",149,"","","","",1,"",1,100,1,"",[]
2,2996,[8711],"[1583,7005]",149,"","","","",1,"",1,100,1,"",[]
3,2997,[8711],"[1583,7005]",149,"","","","",1,"",1,100,1,"",[]
4,2999,[8712],[1583],149,"","","","",1,"",1,100,1,"",[]
5,3000,[8712],[1583],149,"","","","",1,"",1,100,1,"",[]
6,3001,[8712],[1583],149,"","","","",1,"",1,100,1,"",[]
7,3002,[8712],[1583],149,"","","","",1,"",1,100,1,"",[]
8,3009,[8715],[],149,"","","","",1,"",1,100,1,"",[]
9,3010,[8715],[],149,"","","","",1,"",1,100,1,"",[]
10,3011,[8715],[],149,"","","","",1,"",1,100,1,"",[]
11,3012,[8715],[],149,"","","","",1,"",1,100,1,"",[]
12,3014,[8716],[],149,"","","","",1,"",1,100,1,"",[]
13,3015,[8716],[],149,"","","","",1,"",1,100,1,"",[]
14,3016,[8716],[],149,"","","","",1,"",1,100,1,"",[]
15,3017,[8716],[],149,"","","","",1,"",1,100,1,"",[]
16,3019,[8717],[],149,"","","","",1,"",1,100,1,"",[]
17,3020,[8717],[],149,"","","","",1,"",1,100,1,"",[]
18,3021,[8717],[],149,"","","","",1,"",1,100,1,"",[]
19,3022,[8717],[],149,"","","","",1,"",1,100,1,"",[]
20,3024,[8718],[],149,"","","","",1,"",1,100,1,"",[]
21,3025,[8718],[],149,"","","","",1,"",1,100,1,"",[]
22,3026,[8718],[],149,"","","","",1,"",1,100,1,"",[]
23,3027,[8718],[],149,"","","","",1,"",1,100,1,"",[]
24,3029,[8719],[],149,"","","","","","",1,100,1,"",[]
25,3659,[19144],[7006],1,1,"","","","","",1,100,1,"",[1]
26,3660,[19145],[7006],1,1,"","","","","",1,100,1,"",[1]
27,3661,[19146],[7006],1,1,"","","","","",1,100,1,"",[1]
28,3662,[19147],"[7006,7144]",1,1,"","","","","",1,100,1,"",[1]
29,3663,[19148],[],24,1,"","","","","",1,100,1,"",[]
30,3664,[19149],[],25,1,"","","","","",1,100,1,"",[1]
31,3665,[19150],[],24,1,"","","","","",1,100,2,"",[]
32,3666,[19151],[],26,1,"","","","","",1,100,1,"",[]
33,3667,[19152],[],28,1,"","","","","",1,100,1,"",[]
34,3668,[19153],[],138,1,"","","","","",1,100,1,"",[]
35,3669,[19154],[7006],2,1,"","","","","",1,100,1,"",[1]
36,3670,[19155],[7006],2,1,"","","","","",1,100,1,"",[1]
37,3671,[19156],[7006],2,1,"","","","","",1,100,1,"",[1]
38,3672,[19157],"[7006,7145]",2,1,"","","","","",1,100,1,"",[1]
39,3673,[19158],[],29,1,"","","","","",1,100,1,"",[]
40,3674,[19159],[],30,1,"","","","","",1,100,1,"",[]
41,3677,[19160],[],31,1,"","","","","",1,100,3,"",[]
42,3676,[19161],[],32,1,"","","","","",1,100,1,"",[]
43,3675,[19162],[],33,1,"","","","","",1,100,1,"",[1]
44,3678,[19163],[7006],3,1,"","","","","",1,100,1,"",[1]
45,3679,[19164],[7006],3,1,"","","","","",1,100,1,"",[1]
46,3680,[19165],[7006],3,1,"","","","","",1,100,1,"",[1]
47,3681,[19166],"[7006,7146]",3,1,"","","","","",1,100,1,"",[1]
48,3682,[19167],[],3,1,"","","","","",1,100,1,"",[]
49,3683,[19168],[],103,1,"","","","","",1,100,3,"",[]
50,3684,[19169],[],104,1,"","","","","",1,100,1,"",[]
51,3685,[19170],[7006],0,1,"","","","","",1,100,1,"",[1]
52,3686,[19171],[7006],0,1,"","","","","",1,100,1,"",[1]
53,3687,[19172],[7006],0,1,"","","","","",1,100,1,"",[1]
54,3688,[19173],"[7006,7147]",0,1,"","","","","",1,100,1,"",[1]
55,3689,[19174],[7006],0,1,"","","","","",1,100,1,"",[1]
56,3690,[19175],[7006],0,1,"","","","","",1,100,1,"",[1]
57,3691,[19176],[7006],0,1,"","","","","",1,100,1,"",[1]
58,3692,[19177],[7006],0,1,"","","","","",1,100,1,"",[1]
59,3693,[19178],[],128,1,"","","","","",1,100,1,"",[]
