"rownum","IntId","MinimapIconsKey","string_20","MiscAnimatedKey","f32_44","Id"
0,0,177,"",3151,3,"LegionRewardCurrency"
1,1,192,"",3152,3,"LegionRewardUniques"
2,2,182,"",3153,3,"LegionRewardGems"
3,3,186,"",3154,3,"LegionRewardMaps"
4,4,191,"",3155,3,"LegionRewardTrinkets"
5,5,174,"",3156,3,"LegionRewardArmour"
6,6,193,"",3157,3,"LegionRewardWeapon"
7,7,173,"",3150,3,"LegionRewardAbyss"
8,8,184,"",3159,3,"LegionRewardHarbinger"
9,9,176,"",3160,3.5,"LegionRewardBreach"
10,10,179,"",3161,3,"LegionRewardEssences"
11,11,179,"",3161,3,"LegionRewardEssences"
12,12,181,"",3162,3,"LegionRewardFragments"
13,13,189,"",3163,3,"LegionRewardScarabs"
14,14,180,"",3164,3,"LegionRewardFossils"
15,15,178,"",3166,3.5,"LegionRewardDivination"
16,16,183,"",3167,3,"LegionRewardGeneric"
17,17,190,"",3169,3,"LegionRewardTalismans"
18,18,194,"",3171,3,"LegionRewardIncubators"
19,19,194,"",3171,3,"LegionRewardIncubators"
20,20,194,"",3171,3,"LegionRewardIncubators"
21,21,194,"",3171,3,"LegionRewardIncubators"
22,22,194,"",3171,3,"LegionRewardIncubators"
23,23,194,"",3171,3,"LegionRewardIncubators"
