"rownum","Buff","[rid]_8","i32_24"
0,"global_auras",[491],-1
1,"global_auras",[485],-2
2,"global_auras",[487],-3
3,"global_auras",[489],-4
4,"global_auras",[170],-5
5,"global_auras",[151],-6
6,"global_auras",[157],-7
7,"global_auras",[161],-8
8,"global_auras",[153],-9
9,"global_auras",[981],-10
10,"global_auras",[987],-11
11,"global_auras",[992],-12
12,"global_auras",[1009],-13
13,"global_auras",[1015],-14
14,"global_auras",[1020],-15
15,"global_auras",[1032],-16
16,"global_auras",[1033],-17
17,"global_auras",[1034],-18
18,"global_auras",[1042],-19
19,"global_auras",[1041],-20
20,"global_auras",[1080],-21
21,"global_auras",[1081],-22
22,"global_auras",[1082],-23
23,"global_auras",[1100],-24
24,"global_auras",[1102],-25
25,"global_auras",[1103],-26
26,"global_auras",[1104],-27
27,"global_auras",[1171],-28
28,"global_auras",[1176],-29
29,"global_auras",[1174],-30
30,"global_auras",[1177],-31
31,"global_auras",[1181],-32
32,"global_auras",[1182],-33
33,"global_auras",[1229],-34
34,"global_auras",[1232],-35
35,"global_auras",[1235],-36
36,"global_auras",[1259],-37
37,"global_auras",[1260],-38
38,"global_auras",[1327],-39
39,"global_auras",[1328],-40
40,"global_auras",[1352],-41
41,"global_auras",[1372],-42
42,"global_auras",[1373],-43
43,"global_auras",[1393],-44
44,"global_auras",[1398],-45
45,"global_auras",[1399],-46
46,"global_auras",[1400],-47
47,"global_auras",[1401],-48
48,"global_auras",[1442],-49
49,"global_auras",[1448],-50
50,"global_auras",[1449],-51
51,"global_auras",[1536],-52
52,"global_auras",[1537],-53
53,"global_auras",[1538],-54
54,"global_auras",[1539],-55
55,"global_auras",[1540],-56
56,"global_auras",[1541],-57
57,"global_auras",[1648],-58
58,"global_auras",[1649],-59
59,"global_auras",[1701],-60
60,"global_auras",[1702],-61
61,"global_auras",[1758],-62
62,"global_auras",[1770],-63
63,"global_auras",[1771],-64
64,"global_auras",[1772],-65
65,"global_auras",[1826],-66
66,"global_auras",[1827],-67
67,"global_auras",[1828],-68
68,"global_auras",[1829],-69
69,"global_auras",[1830],-70
70,"global_auras",[1952],-71
71,"global_auras",[1953],-72
72,"global_auras",[1954],-73
73,"global_auras",[2016],-74
74,"global_auras",[2017],-75
75,"global_auras",[2018],-76
76,"global_auras",[2142],-77
77,"global_auras",[2143],-78
78,"global_auras",[2144],-79
79,"global_auras",[2145],-80
80,"anger",[152],0
81,"anger",[153],1
82,"anger",[154],2
83,"anger",[155],3
84,"hatred",[156],0
85,"hatred",[157],1
86,"hatred",[158],2
87,"hatred",[739],3
88,"hatred",[159],4
89,"wrath",[160],0
90,"wrath",[161],1
91,"wrath",[162],2
92,"wrath",[163],3
93,"haste",[165],0
94,"haste",[485],1
95,"haste",[166],2
96,"steelskin",[1060],0
97,"steelskin",[1511],1
98,"steelskin",[1061],2
99,"ignite",[2],0
100,"ignite",[390],1
101,"ignite",[484],2
102,"ignite",[391],3
103,"ignite",[392],4
104,"ignite",[393],5
105,"ignite",[394],6
106,"ignite",[1039],7
107,"ignite",[1120],8
108,"ignite",[1189],9
109,"ignite",[1380],10
110,"ignite",[1338],11
111,"ignite",[1381],12
112,"ignite",[1378],13
113,"ignite",[1482],14
114,"ignite",[1598],15
115,"ignite",[1606],16
116,"ignite",[1614],17
117,"ignite",[1615],18
118,"ignite",[1638],19
119,"ignite",[1692],20
120,"ignite",[1696],21
121,"ignite",[1697],22
122,"ignite",[1712],23
123,"ignite",[1763],24
124,"ignite",[1768],25
125,"ignite",[1822],26
126,"ignite",[1835],27
127,"ignite",[1847],28
128,"ignite",[1946],29
129,"ignite",[2045],30
130,"ignite",[2056],31
131,"ignite",[2130],32
132,"ignite",[2342],33
133,"ignite",[2343],34
134,"ignite",[2344],35
135,"scorch",[999],0
136,"scorch",[1847],1
137,"shock",[5],0
138,"shock",[223],1
139,"shock",[224],2
140,"shock",[225],3
141,"shock",[1121],4
142,"shock",[226],5
143,"shock",[1599],6
144,"shock",[1607],7
145,"shock",[1708],8
146,"shock",[1711],9
147,"shock",[1821],10
148,"shock",[1849],11
149,"shock",[1886],12
150,"shock",[1887],13
151,"shock",[1910],14
152,"shock",[1911],15
153,"shock",[1947],16
154,"shock",[1968],17
155,"shock",[1984],18
156,"shock",[2046],19
157,"shock",[2047],20
158,"shock",[2052],21
159,"shock",[2125],22
160,"shock",[2131],23
161,"shock",[2339],24
162,"shock",[2341],25
163,"shock",[2340],26
164,"sap",[1001],0
165,"sap",[1849],1
166,"chill",[3],0
167,"chill",[1646],1
168,"chill",[1814],2
169,"chill",[1823],3
170,"chill",[1851],4
171,"chill",[1944],5
172,"chill",[2121],9
173,"freeze",[4],0
174,"freeze",[1647],1
175,"freeze",[1825],2
176,"freeze",[1848],3
177,"freeze",[1945],4
178,"freeze",[2122],8
179,"brittle",[1000],0
180,"brittle",[1851],1
181,"poison",[11],0
182,"poison",[1774],1
183,"poison",[1846],2
184,"poison",[1879],3
185,"poison",[1889],4
186,"poison",[1890],5
187,"bleed",[140],0
188,"bleed",[142],1
189,"bleed",[1569],2
190,"bleed",[1850],3
191,"bleed_moving",[141],0
192,"bleed_moving",[143],1
193,"bleed_moving",[1570],2
194,"bleed_moving",[1850],3
195,"fire_exposure",[1025],0
196,"cold_exposure",[1026],0
197,"lightning_exposure",[1027],0
198,"fire_exposure",[1600],1
199,"cold_exposure",[1601],1
200,"lightning_exposure",[1602],1
201,"fire_exposure",[1603],2
202,"cold_exposure",[1604],2
203,"lightning_exposure",[1605],2
204,"fire_exposure",[1948],3
205,"cold_exposure",[1949],3
206,"lightning_exposure",[1950],3
207,"infernal_blow_debuff",[901],0
208,"infernal_blow_debuff",[1616],1
209,"infernal_blow_debuff2",[902],0
210,"infernal_blow_debuff2",[1617],1
211,"infernal_blow_debuff3",[903],0
212,"infernal_blow_debuff3",[1618],1
213,"infernal_blow_debuff_alt_gem",[2089],0
214,"infernal_blow_debuff_alt_gem",[2090],1
215,"arcane_cloak",[1223],0
216,"arcane_cloak",[1619],1
217,"exsanguinate",[1527],0
218,"exsanguinate",[1620],1
219,"exsanguinate",[1740],2
220,"void_burst",[1621],0
221,"ambush_stealth",[1623],0
222,"cold_snap",[1626],4
223,"cold_snap",[1934],5
224,"cold_snap",[1936],6
225,"blood_rage",[13],0
