"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","HideIfEmpty","Image"
0,"Metadata/Items/Currency/CurrencyDelveCraftingFire",263,530,75,0,1,1,72,"",""
1,"Metadata/Items/Currency/CurrencyDelveCraftingCold",264,334,75,1,1,1,72,"",""
2,"Metadata/Items/Currency/CurrencyDelveCraftingLightning",265,629,75,2,1,1,72,"",""
3,"Metadata/Items/Currency/CurrencyDelveCraftingPhysical",266,137,75,3,1,1,72,"",""
4,"Metadata/Items/Currency/CurrencyDelveCraftingChaos",267,432,75,4,1,1,72,"",""
5,"Metadata/Items/Currency/CurrencyDelveCraftingLife",268,727,75,5,1,1,72,"",""
6,"Metadata/Items/Currency/CurrencyDelveCraftingDefences",269,235,75,6,1,1,72,"",""
7,"Metadata/Items/Currency/CurrencyDelveCraftingBleedPoison",270,138,173,7,1,1,72,"",""
8,"Metadata/Items/Currency/CurrencyDelveCraftingElemental",271,334,173,8,1,1,72,"",""
9,"Metadata/Items/Currency/CurrencyDelveCraftingCasterMods",272,530,173,9,1,1,72,"",""
10,"Metadata/Items/Currency/CurrencyDelveCraftingAttackMods",273,727,173,10,1,1,72,"",""
11,"Metadata/Items/Currency/CurrencyDelveCraftingMana",274,629,173,11,1,1,72,"",""
12,"Metadata/Items/Currency/CurrencyDelveCraftingSpeed",275,825,173,12,1,1,72,"",""
13,"Metadata/Items/Currency/CurrencyDelveCraftingMinionsAuras",276,39,173,13,1,1,72,"",""
14,"Metadata/Items/Currency/CurrencyDelveCraftingQuality",277,236,173,14,1,1,72,"",""
15,"Metadata/Items/Currency/CurrencyDelveCraftingEnchant",278,432,173,15,1,1,72,"",""
16,"Metadata/Items/Currency/CurrencyDelveCraftingSockets",279,432,271,16,1,1,72,"",""
17,"Metadata/Items/Currency/CurrencyDelveCraftingGemLevel",280,727,369,17,1,1,72,"",""
18,"Metadata/Items/Currency/CurrencyDelveCraftingVaal",281,185,271,18,1,1,72,"",""
19,"Metadata/Items/Currency/CurrencyDelveCraftingAbyss",282,678,271,19,1,1,72,"",""
20,"Metadata/Items/Currency/CurrencyDelveCraftingMirror",283,776,271,20,1,1,72,"",""
21,"Metadata/Items/Currency/CurrencyDelveCraftingCorruptEssence",284,137,369,21,1,1,72,"",""
22,"Metadata/Items/Currency/CurrencyDelveCraftingRandom",285,87,271,22,1,1,72,"",""
23,"Metadata/Items/Currency/CurrencyDelveCraftingLuckyModRolls",286,530,271,23,1,1,72,"",""
24,"Metadata/Items/Currency/CurrencyDelveCraftingSellPrice",287,333,271,24,1,1,72,"",""
25,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade1",296,0,462,25,1,1,72,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonator1x1"
26,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade2",297,0,576,26,1,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonator2x1"
27,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade3",298,108,500,27,2,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonatorPowerful2x2"
28,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade4",299,640,500,29,2,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonatorPrime2x2"
29,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll1",300,223,746,31,1,1,72,"",""
30,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll2",301,323,721,32,1,2,64,"",""
31,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll3",302,422,721,33,2,2,64,"",""
32,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll4",303,578,721,35,2,2,64,"",""
33,"GenericSlot1","",322,399,37,2,4,64,"",""
34,"GenericSlot2","",486,399,39,2,4,64,"",""
