"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile","[i32]_64"
0,"ExtraBoss",4278,"",[],"",[]
1,"HardBoss",4695,"",[],"",[]
2,"Lieutenants1_Bull",4780,"",[],"",[]
3,"Lieutenants2_Bull",4783,657,"[500,667]","","[500,0]"
4,"Lieutenants1_Ranged",4778,"",[],"",[]
5,"Lieutenants2_Ranged",4781,657,"[500,667]","","[500,0]"
6,"Lieutenants1_Melee",4779,"",[],"",[]
7,"Lieutenants2_Melee",4782,657,"[500,667]","","[500,0]"
8,"PowerSymbols1_Physical","",544,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol1.ot",[]
9,"PowerSymbols1_Fire","",538,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol2.ot",[]
10,"PowerSymbols1_Cold","",540,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol3.ot",[]
11,"PowerSymbols1_Lightning","",542,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol4.ot",[]
12,"PowerSymbols2_Physical","",545,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad1.ot","[40,-50,500,0]"
13,"PowerSymbols2_Fire","",539,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad2.ot","[40,-50,500,0]"
14,"PowerSymbols2_Cold","",541,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad3.ot","[40,-50,500,0]"
15,"PowerSymbols2_Lightning","",543,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad4.ot","[40,-50,500,0]"
16,"ToggleStatuesNormal_Fire","",546,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
17,"ToggleStatuesNormal_Cold","",548,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
18,"ToggleStatuesNormal_Lightning","",550,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
19,"ToggleStatuesNormal_Fire2","",547,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[15,-20,10,500,0]"
20,"ToggleStatuesNormal_Cold2","",549,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[15,-20,10,500,0]"
21,"ToggleStatuesNormal_Lightning2","",551,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[15,-20,10,500,0]"
22,"ToggleStatuesCruel_Fire","",546,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
23,"ToggleStatuesCruel_Cold","",548,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
24,"ToggleStatuesCruel_Lightning","",550,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
25,"ToggleStatuesCruel_Fire2","",547,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,-20,20,500,0]"
26,"ToggleStatuesCruel_Cold2","",549,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,-20,20,500,0]"
27,"ToggleStatuesCruel_Lightning2","",551,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,-20,20,500,0]"
28,"ToggleStatuesMerciless_Fire","",546,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
29,"ToggleStatuesMerciless_Cold","",548,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
30,"ToggleStatuesMerciless_Lightning","",550,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
31,"ToggleStatuesMerciless_Fire2","",547,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,-20,20,500,0]"
32,"ToggleStatuesMerciless_Cold2","",549,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,-20,20,500,0]"
33,"ToggleStatuesMerciless_Lightning2","",551,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,-20,20,500,0]"
