"rownum","Id","MiscAnimated","[i32]_24","[string]_40","string_56","string_64","string_72","string_80","i32_88","MonsterExpiredSound","PlayerExpiredSound","PlayerAcquiredSound","rid_140","bool_156","i32_157"
0,"ChargeEndurance",2,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
1,"ChargeFrenzy",4,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
2,"ChargePower",3,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
3,"ChargeEnduranceElder",1820,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
4,"ChargeFrenzyElder",1821,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
5,"ChargePowerElder",1819,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
6,"ChargePowerAlternate",688,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
7,"ChargeFrenzyBloodDance",4211,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","",1,0
8,"ChargeFrenzySuper",873,[],[],"orb_finish","","","",0,"","","","","",0
9,"ChargeBrine",8112,[],[],"orb_finish","","orb_appear","orb_idle",0,538,539,"","","",0
10,"ChargeSpirit",1713,[],[],"orb_finish","","","",0,"","","","","",0
11,"ChargeSiphoning",1861,[],[],"orb_finish","","","",0,536,"",537,"","",0
12,"ChargeVoid",1864,[],[],"orb_finish","","","",0,"","","","","",0
13,"ChargeDivine",2939,[],[],"orb_finish","","","",0,"","","","","",0
14,"ChargeInspiration",3540,[],[],"orb_finish","","","",0,538,539,"","",1,0
15,"ChargeBrutal",5165,[],[],"orb_finish","","","",0,538,539,537,"",1,0
16,"ChargeAffliction",5166,[],[],"orb_finish","","","",0,538,539,537,"",1,0
17,"ChargeAbsorption",5167,[],[],"orb_finish","","","",0,538,539,537,"",1,0
18,"BloodlinesChargeZeal",483,[],[],"orb_finish","","","",0,"","","","","",0
19,"BloodlinesChargeVigor",484,[],[],"orb_finish","","","",0,"","","","","",0
20,"CurseTemporalChains",34,[],[],"orb_finish","","","",0,"","","","","",0
21,"CurseTemporalChainsNew",4624,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0,"","","","","",0
22,"IzaroTemporalChains",870,[],[],"orb_finish","","","",0,"","","","","",0
23,"IzaroDeathTemporalChains",893,[],[],"orb_finish","","","",0,"","","","","",0
24,"CurseEnfeeble",41,[],[],"orb_finish","","","",0,"","","","","",0
25,"CurseVulnerability",44,[],[],"orb_finish","","","",0,"","","","","",0
