"rownum","Oil","Tier","Achievements","UseType","NameShort","NameShort (French)","NameShort (German)","NameShort (Japanese)","NameShort (Korean)","NameShort (Portuguese)","NameShort (Russian)","NameShort (Spanish)","NameShort (Thai)","NameShort (Traditional Chinese)"
0,3795,0,"[11091,11078]",1,"Tainted","Impure","Verderbt","汚染された","더럽혀진","Contaminado","Заражённое","Contaminado","Tainted","汙染"
1,3796,0,[11091],2,"Reflective","Réfléchissante","Spiegelnd","反射する","투영","Refletivo","Зеркальное","Reflector","Reflective","映像"
2,3797,0,[11091],0,"Prismatic","Prismatique","Prismatisch","プリズマチック","분광","Prismático","Радужное","Prismático","Prismatic","三相的"
3,3798,1,[11091],0,"Clear","Limpide","Klar","澄んだ","투명","Claro","Прозрачное","Claro","Clear","清透"
4,3799,2,[11091],0,"Sepia","Sépia","Sepiafarben","セピア色","적갈빛","Sépia","Коричневое","Sepia","Sepia","深褐"
5,3800,3,[11091],0,"Amber","Ambrée","Bernsteinfarben","琥珀色","호박색","Âmbar","Янтарное","Ámbar","Amber","琥珀"
6,3801,4,[11091],0,"Verdant","Émeraude","Grün","新緑色","신록빛","Verdejante","Изумрудное","Verde","Verdant","翠綠"
7,3802,5,[11091],0,"Teal","Turquoise","Blaugrün","青緑色","청록빛","Cerceta","Бирюзовое","Verde azulado","Teal","清綠"
8,3803,6,[11091],0,"Azure","Azurée","Azurblau","淡青色","담청색","Azul-Celeste","Лазурное","Azur","Azure","碧藍"
9,3804,7,[11091],0,"Indigo","Indigo","Indigofarben","藍色","남색","Índigo","Индиго","Índigo","Indigo","靛青"
10,3805,8,[11091],0,"Violet","Violette","Violett","スミレ色","보랏빛","Violeta","Фиолетовое","Violeta","Violet","奼紫"
11,3806,9,[11091],0,"Crimson","Carmin","Blutrot","深紅色","진홍색","Carmesim","Алое","Carmín","Crimson","緋紅"
12,3807,10,[11091],0,"Black","Ébène","Schwarz","黒色","검은색","Negro","Чёрное","Negro","Black","漆黑"
13,3808,11,[11091],0,"Opalescent","Opalescente","Opalisierend","乳白色","오팔색","Opalescente","Перламутровое","Opalescente","Opalescent","乳白"
14,3809,12,[11091],0,"Silver","Argentée","Silbern","銀色","은","Prateado","Серебряное","Plateado","Silver","純銀"
15,3810,13,[11091],0,"Golden","Dorée","Golden","金色","황금","Dourado","Золотое","Dorado","Golden","金黃"
