"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterAbilities (French)","MonsterAbilities (German)","MonsterAbilities (Japanese)","MonsterAbilities (Korean)","MonsterAbilities (Portuguese)","MonsterAbilities (Russian)","MonsterAbilities (Spanish)","MonsterAbilities (Thai)","MonsterAbilities (Traditional Chinese)","MonsterCategory"
0,4791,10088,"Fires Barrage of Arrows\r\nFires Hail of Arrows","Tire des Barrages de flèches\r\nTire des Rafales de flèches","Feuert ein Sperrfeuer aus Pfeilen\r\nFeuert einen Pfeilhagel","矢の連射を放つ\r\n矢の雨を放つ","화살 연발 사격 발사\r\n화살 세례 발사","Dispara uma Barragem de Flechas\r\nDispara uma Saraivada de Flechas","Выпускает очередь стрел\r\nВыпускает град стрел","Dispara Aluvión de flechas\r\nDispara Andanada de flechas","ยิง ศรเป็นชุด\r\nยิง ศรเป็นฝน","發射彈幕箭矢\r\n發射冰雹箭矢",0
1,4792,10089,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow","Tire des Barrages de flèches\r\nTire des Rafales de flèches\r\nTire une Flèche scindante","Feuert ein Sperrfeuer aus Pfeilen\r\nFeuert einen Pfeilhagel\r\nFeuert einen sich gabelnden Pfeil","矢の連射を放つ\r\n矢の雨を放つ\r\n分岐する矢を放つ","화살 연발 사격 발사\r\n화살 세례 발사\r\n갈래 화살 발사","Dispara uma Barragem de Flechas\r\nDispara uma Saraivada de Flechas\r\nDispara Flechas Difundidas","Выпускает очередь стрел\r\nВыпускает град стрел\r\nВыпускает разветвляющуюся стрелу","Dispara Aluvión de flechas\r\nDispara Andanada de flechas\r\nDispara Flecha bifurcada","ยิง ศรเป็นชุด\r\nยิง ศรเป็นฝน\r\nยิง ศรแบ่งตัว","發射彈幕箭矢\r\n發射冰雹箭矢\r\n發射分裂箭矢",0
2,4793,10090,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred","Tire des Barrages de flèches\r\nTire des Rafales de flèches\r\nTire une Flèche scindante\r\nUtilise Haine","Feuert ein Sperrfeuer aus Pfeilen\r\nFeuert einen Pfeilhagel\r\nFeuert einen sich gabelnden Pfeil\r\nZaubert Hass","矢の連射を放つ\r\n矢の雨を放つ\r\n分岐する矢を放つ\r\nヘイトレッドをキャストする","화살 연발 사격 발사\r\n화살 세례 발사\r\n갈래 화살 발사\r\n증오 시전","Dispara uma Barragem de Flechas\r\nDispara uma Saraivada de Flechas\r\nDispara Flechas Difundidas\r\nConjura Ódio","Выпускает очередь стрел\r\nВыпускает град стрел\r\nВыпускает разветвляющуюся стрелу\r\nСотворяет Холодную ненависть","Dispara Aluvión de flechas\r\nDispara Andanada de flechas\r\nDispara Flecha bifurcada\r\nLanza Odio","ยิง ศรเป็นชุด\r\nยิง ศรเป็นฝน\r\nยิง ศรแบ่งตัว\r\nร่าย เกลียดชัง (Hatred)","發射彈幕箭矢\r\n發射冰雹箭矢\r\n發射分裂箭矢\r\n施放憎恨",0
3,4794,10091,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered","Utilise Déferlement de glace\r\nUtilise Armure arctique\r\nUtilise Marteau de glace\r\nGagne en Puissance s'il y a un Cannibale ardent à proximité\r\nDéferlement de glace déclenche Nova de glace au toucher tant qu'il gagne en Puissance","Zaubert Frostwelle\r\nZaubert Arktische Rüstung\r\nNutzt Frosthammer\r\nWird ermächtigt, während sich ein verbündeter feuriger Kannibale im Umkreis befindet\r\nFrostwelle löst Eisnova bei Treffer während Ermächtigung aus\r\nFrosthammer löst Eishieb bei Treffer während Ermächtigung aus\r\nZaubert Reinheit des Eises","グレイシャルカスケードをキャストする\r\nアークティックアーマーをキャストする\r\nグレイシャルハンマーを使用する\r\n近くに味方の火のカニバルがいる場合に強化される\r\n強化中ヒット時にグレイシャルカスケードはアイスノヴァをトリガーする","빙하 폭포 시전\r\n한기의 방어구 시전\r\n빙하 망치 사용\r\n아군 불타는 식인종이 주변에 있으면 강화됨\r\n강화된 동안 빙하 폭포 명중 시 얼음 폭발 발동","Conjura Cascata Glacial\r\nConjura Armadura Ártica\r\nÉ Empoderado se um Canibal Ardente Aliado estiver próximo\r\nCascata Glacial Ativa Nova Gélida ao acertar enquanto Empoderado","Сотворяет Ледяной каскад\r\nСотворяет Северную броню\r\nИспользует Леденящий молот\r\nУсиливается, если рядом союзный огненный людоед\r\nУсиленный Ледяной каскад при попадании вызывает Кольцо льда","Lanza Cascada glacial\r\nLanza Armadura ártica\r\nUsa Martillo glacial\r\nSe potencia si hay un caníbal ardiente aliado cerca\r\nCascada glacial activa Nova de hielo con cada golpe mientras está potenciado","ร่าย เยือกแข็งเรียงหลั่น (Glacial Cascade)\r\nร่าย เกราะน้ำแข็ง (Arctic Armour)\r\nใช้ ค้อนเยือกแข็ง (Glacial Hammer)\r\nได้รับการเพิ่มพลัง หากอยู่ใกล้ Fiery Cannibal ที่เป็นเพื่อน\r\nเยือกแข็งเรียงหลั่น ทริกเกอร์ น้ำแข็งกระจาย (Ice Nova) ขณะที่ได้รับการเพิ่มพลัง","施放冰川之刺\r\n施放極地護甲\r\n使用冰霜之錘\r\n若與附近烈焰食人族結盟，則被賦予\r\n被賦予時，冰川之刺擊中時觸發冰霜新星",5
4,4795,10092,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered","Utilise Déferlement de glace\r\nUtilise Armure arctique\r\nUtilise Marteau de glace\r\nGagne en Puissance s'il y a un Cannibale ardent à proximité\r\nDéferlement de glace déclenche Nova de glace au toucher tant qu'il gagne en Puissance\r\nMarteau de glace déclenche Fracas de glace au toucher tant qu'il gagne en Puissance","Zaubert Frostwelle\r\nZaubert Arktische Rüstung\r\nNutzt Frosthammer\r\nWird ermächtigt, während sich ein verbündeter feuriger Kannibale im Umkreis befindet\r\nFrostwelle löst Eisnova bei Treffer während Ermächtigung aus\r\nFrosthammer löst Eishieb bei Treffer während Ermächtigung aus\r\nZaubert Reinheit des Eises","グレイシャルカスケードをキャストする\r\nアークティックアーマーをキャストする\r\nグレイシャルハンマーを使用する\r\n近くに味方の火のカニバルがいる場合に強化される\r\n強化中ヒット時にグレイシャルカスケードはアイスノヴァをトリガーする\r\n強化中ヒット時にグレイシャルハンマーはアイスクラッシュをトリガーする","빙하 폭포 시전\r\n한기의 방어구 시전\r\n빙하 망치 사용\r\n아군 불타는 식인종이 주변에 있으면 강화됨\r\n강화된 동안 빙하 폭포 명중 시 얼음 폭발 발동\r\n강화된 동안 빙하 망치 명중 시 얼음 충격 발동","Conjura Cascata Glacial\r\nConjura Armadura Ártica\r\nUsa Martelo Glacial\r\nÉ Empoderado se um Canibal Ardente Aliado estiver próximo\r\nCascata Glacial Ativa Nova Gélida ao acertar enquanto Empoderado\r\nMartelo Glacial Ativa Pancada Gélida ao acertar enquanto Empoderado","Сотворяет Ледяной каскад\r\nСотворяет Северную броню\r\nИспользует Леденящий молот\r\nУсиливается, если рядом союзный огненный людоед\r\nУсиленный Ледяной каскад при попадании вызывает Кольцо льда\r\nУсиленный Леденящий молот при попадании вызывает Ледяное сокрушение","Lanza Cascada glacial\r\nLanza Armadura ártica\r\nUsa Martillo glacial\r\nSe potencia si hay un caníbal ardiente aliado cerca\r\nCascada glacial activa Nova de hielo con cada golpe mientras está potenciado\r\nMartillo glacial activa Choque de hielo con cada golpe mientras está potenciado","ร่าย เยือกแข็งเรียงหลั่น (Glacial Cascade)\r\nร่าย เกราะน้ำแข็ง (Arctic Armour)\r\nใช้ ค้อนเยือกแข็ง (Glacial Hammer)\r\nได้รับการเพิ่มพลัง หากอยู่ใกล้ Fiery Cannibal ที่เป็นเพื่อน\r\nเยือกแข็งเรียงหลั่น ทริกเกอร์ น้ำแข็งกระจาย (Ice Nova) เมื่อปะทะ ขณะที่ได้รับการเพิ่มพลัง\r\nค้อนเยือกแข็ง ทริกเกอร์ ทุบคลื่นน้ำแข็ง (Ice Crash) เมื่อปะทะ ขณะที่ได้รับการเพิ่มพลัง","施放冰川之刺\r\n施放極地護甲\r\n使用冰霜之錘\r\n若與附近烈焰食人族結盟，則被賦予\r\n被賦予時，冰川之刺擊中時觸發冰霜新星\r\n被賦予時，冰霜之錘擊中時觸發寒冰衝擊",5
5,4796,10093,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice","Utilise Déferlement de glace\r\nUtilise Armure arctique\r\nUtilise Marteau de glace\r\nGagne en Puissance s'il y a un Cannibale ardent à proximité\r\nDéferlement de glace déclenche Nova de glace au toucher tant qu'il gagne en Puissance\r\nMarteau de glace déclenche Fracas de glace au toucher tant qu'il gagne en Puissance\r\nUtilise Pureté de la glace","Zaubert Frostwelle\r\nZaubert Arktische Rüstung\r\nNutzt Frosthammer\r\nWird ermächtigt, während sich ein verbündeter feuriger Kannibale im Umkreis befindet\r\nFrostwelle löst Eisnova bei Treffer während Ermächtigung aus\r\nFrosthammer löst Eishieb bei Treffer während Ermächtigung aus\r\nZaubert Reinheit des Eises","グレイシャルカスケードをキャストする\r\nアークティックアーマーをキャストする\r\nグレイシャルハンマーを使用する\r\n近くに味方の火のカニバルがいる場合に強化される\r\n強化中ヒット時にグレイシャルカスケードはアイスノヴァをトリガーする\r\n強化中ヒット時にグレイシャルハンマーはアイスクラッシュをトリガーする\r\nピュリティオブアイスをキャストする","빙하 폭포 시전\r\n한기의 방어구 시전\r\n빙하 망치 사용\r\n아군 불타는 식인종이 주변에 있으면 강화됨\r\n강화된 동안 빙하 폭포 명중 시 얼음 폭발 발동\r\n강화된 동안 빙하 망치 명중 시 얼음 충격 발동\r\n얼음의 순수함 시전","Conjura Cascata Glacial\r\nConjura Armadura Ártica\r\nUsa Martelo Glacial\r\nÉ Empoderado se um Canibal Ardente Aliado estiver próximo\r\nCascata Glacial Ativa Nova Gélida ao acertar enquanto Empoderado\r\nMartelo Glacial Ativa Pancada Gélida ao acertar enquanto Empoderado\r\nConjura Pureza Glacial","Сотворяет Ледяной каскад\r\nСотворяет Северную броню\r\nИспользует Леденящий молот\r\nУсиливается, если рядом союзный огненный людоед\r\nУсиленный Ледяной каскад при попадании вызывает Кольцо льда\r\nУсиленный Леденящий молот при попадании вызывает Ледяное сокрушение\r\nСотворяет Спасение от холода","Lanza Cascada glacial\r\nLanza Armadura ártica\r\nUsa Martillo glacial\r\nSe potencia si hay un caníbal ardiente aliado cerca\r\nCascada glacial activa Nova de hielo con cada golpe mientras está potenciado\r\nMartillo glacial activa Choque de hielo con cada golpe mientras está potenciado\r\nLanza Pureza de hielo","ร่าย เยือกแข็งเรียงหลั่น (Glacial Cascade)\r\nร่าย เกราะน้ำแข็ง (Arctic Armour)\r\nใช้ ค้อนเยือกแข็ง (Glacial Hammer)\r\nได้รับการเพิ่มพลัง หากอยู่ใกล้ Fiery Cannibal ที่เป็นเพื่อน\r\nเยือกแข็งเรียงหลั่น ทริกเกอร์ น้ำแข็งกระจาย (Ice Nova) เมื่อปะทะ ขณะที่ได้รับการเพิ่มพลัง\r\nค้อนเยือกแข็ง ทริกเกอร์ ทุบคลื่นน้ำแข็ง (Ice Crash) เมื่อปะทะ ขณะที่ได้รับการเพิ่มพลัง\r\nร่าย น้ำแข็งพิสุทธิ์ (Purity of Ice)","施放冰川之刺\r\n施放極地護甲\r\n使用冰霜之錘\r\n若與附近烈焰食人族結盟，則被賦予\r\n被賦予時，冰川之刺擊中時觸發冰霜新星\r\n被賦予時，冰霜之錘擊中時觸發寒冰衝擊\r\n施放冰霜淨化",5
6,4797,10094,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered","Utilise Tempête de feu\r\nUtilise Irruption enflammée\r\nGagne en Puissance s'il y a un Cannibale gelé à proximité\r\nUtilise Crémation tant qu'il gagne en Puissance\r\n","Zaubert Feuerregen\r\nZaubert Flammenspurt\r\nWird ermächtigt, während sich ein verbündeter gefrorener Kannibale im Umkreis befindet\r\nZaubert Einäscherung während Ermächtigung","ファイヤーストームをキャストする\r\nフレイムダッシュをキャストする\r\n近くに味方の凍ったカニバルがいる場合に強化される\r\n強化中にクリメーションをキャストする","화염 폭풍 시전\r\n화염 질주 시전\r\n아군 얼어붙은 식인종이 주변에 있으면 강화됨\r\n강화된 동안 시체 소각 시전","Conjura Tormenta Flamejante\r\nConjura Avanço Ardente\r\nÉ Empoderado se um Canibal Congelado aliado estiver próximo\r\nConjura Cremação enquanto Empoderado","Сотворяет Огненный шторм\r\nСотворяет Огненный рывок\r\nУсиливается, если рядом союзный мёрзлый людоед\r\nБудучи усиленным, сотворяет Кремацию","Lanza Tormenta de fuego\r\nLanza Embestida de llamas\r\nSe potencia si hay un caníbal helado aliado cerca\r\nLanza Cremación mientras está potenciado","ร่าย พายุไฟ (Firestorm)\r\nร่าย พุ่งไฟ (Flame Dash)\r\nได้รับการเพิ่มพลัง หากอยู่ใกล้ Frozen Cannibal ที่เป็นเพื่อน\r\nร่าย ฌาปนกิจ (Cremation) ขณะที่ได้รับการเพิ่มพลัง","施放烈炎風暴\r\n施放烈焰衝刺\r\n若與附近冰凍食人族結盟，則被賦予\r\n被賦予時，施放熔炎送葬",5
7,4798,10095,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered","Utilise Tempête de feu\r\nUtilise Irruption enflammée\r\nGagne en Puissance s'il y a un Cannibale gelé à proximité\r\nUtilise Crémation tant qu'il gagne en Puissance\r\nUtilise Frappe volcanique tant qu'il gagne en Puissance","Zaubert Feuerregen\r\nZaubert Flammenspurt\r\nWird ermächtigt, während sich ein verbündeter gefrorener Kannibale im Umkreis befindet\r\nZaubert Einäscherung während Ermächtigung\r\nNutzt Lavaschlag während Ermächtigung","ファイヤーストームをキャストする\r\nフレイムダッシュをキャストする\r\n近くに味方の凍ったカニバルがいる場合に強化される\r\n強化中にクリメーションをキャストする\r\n強化中にモルテンストライクを使用する","화염 폭풍 시전\r\n화염 질주 시전\r\n아군 얼어붙은 식인종이 주변에 있으면 강화됨\r\n강화된 동안 시체 소각 시전\r\n강화된 동안 용암 타격 사용","Conjura Tormenta Flamejante\r\nConjura Avanço Ardente\r\nÉ Empoderado se um Canibal Congelado aliado estiver próximo\r\nConjura Cremação enquanto Empoderado\r\nUsa Golpe Vulcânico","Сотворяет Огненный шторм\r\nСотворяет Огненный рывок\r\nУсиливается, если рядом союзный мёрзлый людоед\r\nБудучи усиленным, сотворяет Кремацию\r\nБудучи усиленным, использует Магмовый удар","Lanza Tormenta de fuego\r\nLanza Embestida de llamas\r\nSe potencia si hay un caníbal helado aliado cerca\r\nLanza Cremación mientras está potenciado\r\nUsa Golpe fundido mientras está potenciado","ร่าย พายุไฟ (Firestorm)\r\nร่าย พุ่งไฟ (Flame Dash)\r\nได้รับการเพิ่มพลัง หากอยู่ใกล้ Frozen Cannibal ที่เป็นเพื่อน\r\nร่าย ฌาปนกิจ (Cremation) ขณะที่เพิ่มพลัง\r\nใช้ ฟาดหลอมละลาย (Molten Strike) ขณะที่ได้รับการเพิ่มพลัง","施放烈炎風暴\r\n施放烈焰衝刺\r\n若與附近冰凍食人族結盟，則被賦予\r\n被賦予時，施放熔炎送葬\r\n被賦予時，使用熔岩之擊",5
8,4799,10096,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire","Utilise Tempête de feu\r\nUtilise Irruption enflammée\r\nGagne en Puissance s'il y a un Cannibale gelé à proximité\r\nUtilise Crémation tant qu'il gagne en Puissance\r\nUtilise Frappe volcanique tant qu'il gagne en Puissance\r\nUtilise Pureté du feu","Zaubert Feuerregen\r\nZaubert Flammenspurt\r\nWird ermächtigt, während sich ein verbündeter gefrorener Kannibale im Umkreis befindet\r\nZaubert Einäscherung während Ermächtigung\r\nNutzt Lavaschlag während Ermächtigung\r\nZaubert Reinheit des Feuers","ファイヤーストームをキャストする\r\nフレイムダッシュをキャストする\r\n近くに味方の凍ったカニバルがいる場合に強化される\r\n強化中にクリメーションをキャストする\r\n強化中にモルテンストライクを使用する\r\nピュリティオブファイヤーをキャストする","화염 폭풍 시전\r\n화염 질주 시전\r\n아군 얼어붙은 식인종이 주변에 있으면 강화됨\r\n강화된 동안 시체 소각 시전\r\n강화된 동안 용암 타격 사용\r\n불의 순수함 시전","Conjura Tormenta Flamejante\r\nConjura Avanço Ardente\r\nÉ Empoderado se um Canibal Congelado aliado estiver próximo\r\nConjura Cremação enquanto Empoderado\r\nUsa Golpe Vulcânico\r\nConjura Pureza Ardente","Сотворяет Огненный шторм\r\nСотворяет Огненный рывок\r\nУсиливается, если рядом союзный мёрзлый людоед\r\nБудучи усиленным, сотворяет Кремацию\r\nБудучи усиленным, использует Магмовый удар\r\nСотворяет Спасение от огня","Lanza Tormenta de fuego\r\nLanza Embestida de llamas\r\nSe potencia si hay un caníbal helado aliado cerca\r\nLanza Cremación mientras está potenciado\r\nUsa Golpe fundido mientras está potenciado\r\nLanza Pureza de fuego","ร่าย พายุไฟ (Firestorm)\r\nร่าย พุ่งไฟ (Flame Dash)\r\nได้รับการเพิ่มพลัง หากอยู่ใกล้ Frozen Cannibal ที่เป็นเพื่อน\r\nร่าย ฌาปนกิจ (Cremation) ขณะที่เพิ่มพลัง\r\nใช้ ฟาดหลอมละลาย (Molten Strike) ขณะที่ได้รับการเพิ่มพลัง\r\nร่าย ไฟพิสุทธิ์ (Purity of Fire)","施放烈炎風暴\r\n施放烈焰衝刺\r\n若與附近冰凍食人族結盟，則被賦予\r\n被賦予時，施放熔炎送葬\r\n被賦予時，使用熔岩之擊\r\n施放火焰淨化",5
9,4800,10097,"Reforms after being killed","Se reforme après avoir été tué","Setzt sich nach dem Tod wieder zusammen","死亡後に再構築する","죽은 후 재구성","É Reformado após ser morto","Возрождается после смерти","Se reconstruye después de morir","คืนร่าง หลังจากที่ถูกสังหาร","被擊殺後復活",2
