"rownum","QuestFlag","CompletionString","Boss","bool_40"
0,184,4903,"Atziri",""
1,977,4904,"UberAtziri",""
2,978,4905,"Shaper",""
3,979,4906,"Elder",""
4,980,4907,"UberElder",""
5,1897,6183,"Sirus",""
6,981,4943,"SiriusAL8",""
7,2182,5250,"Oshabi",""
8,2357,5601,"Maven",""
9,2611,6184,"SearingExarch",""
10,2612,6185,"EaterOfWorlds",""
11,2613,6186,"SotABossEvent",""
12,2618,6375,"UberEater",""
13,2619,6376,"UberExarch",""
14,2620,6377,"UberMaven",""
15,2624,6381,"UberShaper",""
16,2621,6378,"UberSirus",""
17,2623,6380,"UberUberElder",""
18,2622,6379,"UberVenarius",""
19,2617,6374,"UberUberBossEvent",""
20,42,"","Nessa",""
21,5,"","Brutus",1
22,47,"","Fairgraves",""
23,115,"","Dweller",""
24,530,"","Fairgraves2",""
25,492,"","Siosa",""
26,222,"","Dominus",1
27,645,"","Descent2Boss1",1
28,646,"","Descent2Boss2",1
29,647,"","Descent2Boss3",1
30,648,"","Descent2Boss4",1
31,653,"","Descent2Boss5",1
32,9,"","Merveil",1
33,85,"","VaalOversoul",1
34,216,"","Piety",1
35,693,"","Kaom",1
36,809,"","Daresso",1
37,664,"","Malachai",1
38,975,"","DescentKilledBoss1",1
39,976,"","Izaro",1
