"rownum","Key","SpawnWeight_TagsKeys","SpawnWeight_Values","ModsKey","MinLevel","MaxLevel","IsPrefix"
0,"ProxyKey1",[0],[45],10117,2,39,1
1,"ProxyKey2",[0],[45],10116,40,100,1
2,"ProxyKey3",[0],[45],10118,40,100,1
3,"ProxyKey4","[158,0]","[0,94]",10119,2,100,1
4,"ProxyKey5","[162,0]","[0,0]",10120,40,100,1
5,"ProxyKey6","[152,0]","[0,45]",10121,56,100,1
6,"ProxyKey7","[57,0]","[45,0]",10122,68,100,1
7,"ProxyKey8","[57,0]","[1,0]",10123,68,100,1
8,"ProxyKey9",[0],[94],10125,2,39,1
9,"ProxyKey10",[0],[94],10124,40,100,1
10,"ProxyKey11","[158,0]","[0,94]",10127,2,39,1
11,"ProxyKey12","[158,0]","[0,94]",10126,40,100,1
12,"ProxyKey13",[0],[94],10129,2,39,1
13,"ProxyKey14",[0],[94],10128,40,100,1
14,"ProxyKey15",[0],[94],10131,2,39,1
15,"ProxyKey16",[0],[94],10130,40,100,1
16,"ProxyKey17",[0],[45],10132,2,100,1
17,"ProxyKey18",[0],[94],10134,2,39,1
18,"ProxyKey19",[0],[94],10133,40,100,1
19,"ProxyKey20",[0],[94],10135,40,100,1
20,"ProxyKey21",[0],[45],10136,56,100,1
21,"ProxyKey22",[0],[94],10137,40,100,1
22,"ProxyKey23","[57,0]","[9,0]",10138,68,100,1
23,"ProxyKey24",[0],[94],10139,40,100,1
24,"ProxyKey25",[0],[45],10140,56,100,1
25,"ProxyKey26",[0],[45],10141,40,100,1
26,"ProxyKey27",[0],[45],10142,40,100,1
27,"ProxyKey28",[0],[9],10144,23,39,1
28,"ProxyKey29",[0],[9],10143,40,100,1
29,"ProxyKey30","[61,0]","[9,0]",10145,40,100,1
30,"ProxyKey31",[0],[45],10146,40,100,1
31,"ProxyKey32",[0],[45],10147,40,100,1
32,"ProxyKey33",[0],[94],10148,2,100,1
33,"ProxyKey34",[0],[94],10149,40,100,1
34,"ProxyKey35",[0],[94],10150,2,100,1
35,"ProxyKey36",[0],[94],10151,40,100,1
36,"ProxyKey37",[0],[94],10152,2,100,1
37,"ProxyKey38",[0],[94],10153,40,100,1
38,"ProxyKey39",[0],[0],10154,2,100,1
39,"ProxyKey40",[0],[0],10155,40,100,1
40,"ProxyKey41",[0],[94],10156,2,100,1
41,"ProxyKey42",[0],[94],10157,40,100,1
42,"ProxyKey43",[0],[94],10158,40,100,1
43,"ProxyKey44","[57,0]","[4,0]",10159,68,100,1
44,"ProxyKey45",[0],[45],10160,2,100,1
45,"ProxyKey46",[0],[9],10162,2,39,1
46,"ProxyKey47",[0],[9],10161,40,100,1
47,"ProxyKey48",[0],[94],10163,2,100,1
48,"ProxyKey49",[0],[45],10164,2,100,1
49,"ProxyKey50",[0],[94],10165,2,100,1
50,"ProxyKey51",[0],[94],10166,2,100,1
51,"ProxyKey52",[0],[45],10167,2,100,1
52,"ProxyKey53",[0],[5000],9477,40,100,""
53,"ProxyKey54","[164,0]","[0,2500]",10170,40,100,""
54,"ProxyKey55",[0],[5000],10171,40,100,""
55,"ProxyKey56",[0],[5000],10172,40,100,""
56,"ProxyKey57",[0],[5000],10173,40,100,""
57,"ProxyKey58",[0],[5000],10174,40,100,""
58,"ProxyKey59",[0],[2500],10179,56,100,""
59,"ProxyKey60",[0],[500],10180,56,100,""
60,"ProxyKey61","[57,0]","[500,0]",10181,68,100,""
61,"ProxyKey62","[164,57,0]","[0,250,0]",10182,68,100,""
62,"ProxyKey63","[164,57,0]","[0,250,0]",10183,68,100,""
63,"ProxyKey64",[0],[2500],10184,40,100,""
64,"ProxyKey65",[0],[5000],10185,40,100,""
65,"ProxyKey66",[0],[5000],10186,40,100,""
66,"ProxyKey67",[0],[5000],10187,40,100,""
67,"ProxyKey68",[0],[2500],10188,56,100,""
68,"ProxyKey69","[164,57,0]","[0,500,0]",10189,40,100,""
69,"ProxyKey70","[164,57,0]","[0,500,0]",10190,68,100,""
70,"ProxyKey71","[164,57,0]","[0,500,0]",10191,68,100,""
71,"ProxyKey72","[57,0]","[3,0]",10192,68,100,""
72,"ProxyKey73","[57,0]","[5000,0]",10175,68,100,""
73,"ProxyKey74","[57,0]","[5000,0]",10176,68,100,""
74,"ProxyKey75","[57,0]","[5000,0]",10177,68,100,""
75,"ProxyKey76","[57,0]","[5000,0]",10178,68,100,""
76,"ProxyKey77","[164,57,0]","[0,250,0]",10193,68,100,""
