"rownum","Item","TriggeredQuestFlag","rid_32","i32_48","[rid]_52","bool_68","bool_69","HelpText","Description","Script","rid_110","rid_126","i32_142"
0,4116,2284,"",225,[],"","","","","","","",1899
1,4117,1870,"",351,[],"","","","","","","",1899
2,4118,1869,"",352,[],"","","","","","","",1899
3,4131,2301,"",979,[],"",1,893,"","","","",1899
4,4132,2302,"",980,[],"",1,893,"","","","",1899
5,4133,2303,"",981,[],"",1,893,"","","","",1899
6,4134,2304,"",982,[],"",1,893,"","","","",1899
7,1625,2583,"",1156,[],"","",908,"","","","",1899
8,1626,2584,"",1157,[],"","",909,"","","","",1899
9,1627,2594,"",1160,[],"","",910,"","","","",1899
10,4673,953,"",207,[],"",1,895,"","","","",1899
11,4675,954,"",212,[],"",1,6169,"","","","",1899
12,4677,955,"",323,[],"",1,896,"","","","",1899
13,4679,956,"",328,[],"",1,6170,"","","","",1899
14,4681,3282,"",702,[],"",1,7762,"","","","",1899
15,4683,3283,"",703,[],"",1,7763,"","","","",1899
16,4685,3284,"",704,[],"",1,7764,"","","","",1899
17,1522,2007,"",662,[],"","",891,905,"skill_book","","",1899
18,1523,2008,"",663,[],"","",891,905,"skill_book","","",1899
19,1524,2009,"",664,[],"","",891,905,"skill_book","","",1899
20,1525,2010,"",665,[],"","",891,905,"skill_book","","",1899
21,1526,2012,"",675,[],"","",891,905,"skill_book","","",1899
22,1527,2013,"",676,[],"","",891,905,"skill_book","","",1899
23,1528,3542,"",1736,[],"","",891,8223,"skill_book","","",1899
24,1529,3543,"",1737,[],"","",891,8223,"skill_book","","",1899
25,1530,3544,"",1738,[],"","",891,8223,"skill_book","","",1899
26,1628,1518,1516,1899,[],"","",911,"","sentinel_controller","","",1899
27,4818,2160,"",416,[],"","",913,"","","","",1899
28,1623,3220,"",1899,[],"","",7393,"","","","",1899
29,1624,3221,"",1899,[],"","",7393,"","","","",1899
30,1629,3334,"",1601,[],"","","","","","","",1899
31,1630,3335,"",1602,[],"","","","","","","",1899
32,1631,3336,"",1603,[],"","","","","","","",1899
33,1632,3337,"",1604,[],"","","","","","","",1899
34,1633,3338,"",1605,[],"","","","","","","",1899
35,1634,3339,"",1606,[],"","","","","","","",1899
36,1635,3340,"",1607,[],"","","","","","","",1899
37,1636,3341,"",1608,[],"","","","","","","",1899
38,1637,3342,"",1609,[],"","","","","","","",1899
39,1638,3343,"",1610,[],"","","","","","","",1899
40,5426,3563,"",1824,[],"","",8321,"","","","",1899
41,5427,3564,"",1825,[],"","",8321,"","","","",1899
42,5428,3565,"",1826,[],"","",8321,"","","","",1899
43,5429,3566,"",1827,[],"","",8321,"","","","",1899
44,5430,3567,"",1828,[],"","",8321,"","","","",1899
45,1536,3583,"",1859,[],"","","","","","","",1899
46,1537,3607,"",1885,[],"","",8433,"","","","",1899
