"rownum","Id","MiscAnimated","f32_24","PreloadGroupsKeys","i32_44"
0,"SoulEaterBeam",284,200,[],3
1,"VaalOversoulBeam",96,435,[],4
2,"AtziriOversoulBeam",97,435,[],4
3,"Arc",2180,508.41,[],4
4,"PietyArc",169,508.41,[],4
5,"GuardianArc",168,145,[],4
6,"ArcPurpleMTX",1246,508.41,[],4
7,"SearingBond",191,500,[],4
8,"SearingBondGreen",195,500,[],4
9,"SearingBondBlue",455,500,[],4
10,"PulseBeamFire",465,500,[1],4
11,"PulseBeamCold",466,500,[1],4
12,"PulseBeamLightning",467,500,[1],4
13,"BallLightningBeam",156,145,[],4
14,"SummonStormsBeam",478,200,[],4
15,"AnimatedGuardianBeam",485,435,[1],4
16,"PhylacteralLinkBeam",487,435,[1],4
17,"ChillingBondBeam",197,500,[],4
18,"SeawitchLightningBeam",311,500,[],4
19,"BallLightningBeamPlayer",392,145,[],4
20,"BallLightningGroundBeam",157,145,[],4
21,"InfernalSwarmBeam",385,200,[],4
22,"ColdChargedBeam",514,500,[],4
23,"CorruptedBallLightningBeam",538,145,[],4
24,"CorruptedLightningBeam",539,300,[],4
25,"ElementalStrikeLightningBeam",606,508.41,[],4
26,"TempestShieldBeam",610,508.41,[],4
27,"EyeBallLightningBeam",617,145,[],4
28,"StaticTetherBolt",661,145,[],4
29,"StormCloudBeam",697,500,[],4
30,"VinktarLightningBond",311,500,[],4
31,"IzaroGargoyleBeam",882,500,[],4
32,"LightningGolemOrbBeam",890,145,[],4
33,"PerandusChestBeam",917,200,[4],4
34,"GoddessBeam",1007,500,[],4
35,"MinotaurArcTrapBeam",1032,508.41,[],4
36,"ZanaDisruptionBeam",1081,500,[],4
37,"FireBeam",1114,290,[],4
38,"SkeletalChainsBeam",1133,280,[],4
39,"BreachLightningBeam",1136,604,[],4
40,"SolarisBackflipBeam",1191,580,[],4
41,"SolarisSkyBeamBeam",1192,300,[],4
42,"AvariusDivineBeam",1205,710,[],4
43,"BenevolenceDivineBeam",1208,710,[],4
44,"TukohamaShieldBeam",1214,500,[],4
45,"BrutusChainBeam",1228,500,[],4
46,"ShavronneLevitationBeam",1229,500,[],4
47,"ShavronneEmpoweringBeam",1230,500,[],4
48,"FireBeamMonster",1239,290,[],4
49,"TemplarBallLightningBeam",1243,145,[],4
50,"TemplarBallLightningGroundBeam",1244,100,[],4
51,"KitavaBeam",1332,800,[],4
52,"RighteousFireSacrificeBeam",455,500,[],4
53,"SpiderGodLaserBeam",1365,200,[],4
54,"SignOfPurityBeam",1371,600,[],4
55,"ArakaaliLaserBeam",1414,100,[],4
56,"SpecialBeamCannon",1477,700,[],4
57,"FireBeamDivine",1485,290,[],4
58,"InfernalSwarmBeamCold",1505,200,[],4
59,"SinBeam",1560,600,[],4
60,"SinDeathBeam",1562,600,[],4
61,"InnocenceDeathBeam",1564,600,[],4
62,"KitavaBeamBallBeam",1578,350,[],4
63,"GeneralAdusCharge",1585,500,[],4
64,"StoneGaze",1609,500,[],4
65,"HarbingerChill",1610,500,[],4
66,"HarbingerShock",1611,500,[],4
67,"HarbingerSpecialBeamCannon",1617,700,[],4
68,"HarbingerSkyBeamBeam",1619,300,[],4
69,"LightningTendrilsChannelledBeam",1627,1050,[],4
70,"StormCloudBeamCelestial",1643,400,[],4
71,"UnholyTrioBallLightningBolt",1648,150,[],4
72,"UnholyTrioBallLightningGroundBolt",1648,150,[],4
73,"BallLightningCelestialBeam",1653,145,[],4
74,"SpiritChargeBeam",1684,600,[],4
75,"KitavaBeamBallBeamLightning",1767,350,[],4
76,"ElderGuardianLightningBeam",1774,1050,[],4
77,"ElderGuardianLightningBoltBeam",1777,1050,[],4
