"rownum","Id","MonsterPacksKey","MonsterVarietiesKey","MonsterSpawnerId"
0,"Tiger",1966,6496,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsTiger"
1,"HellionFire",1964,6484,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsHellionFire"
2,"HellionIce",1967,6486,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsHellionIce"
3,"Lynx",1968,6491,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsLynx"
4,"Chieftain",1969,6567,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsChieftain"
5,"Monkey",1970,6570,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsMonkey"
6,"Goatman",1971,6573,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsGoatman"
7,"Wolf",1972,6504,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsWolf"
8,"Hound",1973,6577,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsFuryHound"
9,"Pitbull",1974,6580,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsPitbull"
10,"Beast",1975,6586,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsBeast"
11,"Ursa",1976,6589,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsUrsa"
12,"Bull",1977,6547,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsBull"
13,"Spiker",1978,6542,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsSpiker"
14,"Kiweth",1979,6462,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsKiweth"
15,"Vulture",1980,6459,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsVulture"
16,"Rhoa",1965,6456,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsRhoa"
17,"Rhex",1981,6449,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsRhex"
18,"ForestSnake",1982,6468,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsForestSnake"
19,"SandSnake",1983,6475,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsSandSnake"
20,"Iguana",1984,6478,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsIguana"
21,"CarrionQueen",1985,6511,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsCarrionQueen"
22,"SandLeaper",1986,6514,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsSandLeaper"
23,"Devourer",1987,6518,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsDevourer"
24,"PlagueSpider",1988,6527,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsPlagueSpider"
25,"PlatedSpider",1989,6532,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsPlatedSpider"
26,"Spider",1990,6539,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsSpider"
27,"Scorpion",1991,6523,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsScorpion"
28,"ParasiticSquid",1992,6611,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsParasiticSquid"
29,"SirenSpawn",1993,6615,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsSirenSpawn"
30,"Squid",1994,6619,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsSquid"
31,"SandSpitter",1995,6592,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsSandSpitter"
32,"ShieldCrab",1996,6595,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsShieldCrab"
33,"Crab",1997,6598,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsCrab"
34,"Crab2",1998,6601,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsCrab2"
35,"Frog",1999,6604,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsFrog"
36,"GemFrog",2000,6607,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsGemFrog"
37,"TigerSpiritBoss",2001,6501,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsTigerSpiritBoss"
38,"RhexSpiritBoss",2002,6454,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsRhexSpiritBoss"
39,"ScorpionSpiritBoss",2003,6535,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsScorpionSpiritBoss"
40,"CrabSpiritBoss",2004,6509,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerDepthsCrabSpiritBoss"
41,"Parasite","","","Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerCavernsParasite"
42,"RoosterDemon","","","Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerSandsCockerel"
43,"PurgeHound",2005,6583,"Metadata/Monsters/LeagueBestiary/MenagerieSpawners/SpawnerWildsHound"
44,"HarvestBeastAtlasRed",2006,8485,""
45,"HarvestBeastAtlasHellionRed",2007,8477,""
46,"HarvestBeastAtlasBrambleHulkRed",2008,8480,""
47,"HarvestBeastAtlasSquidGreen",2009,8518,""
48,"HarvestBeastAtlasParasiteGreen",2010,8521,""
49,"HarvestBeastAtlasPlatedScorpionGreen",2011,8525,""
50,"HarvestBeastAtlasRhexBlue",2012,8552,""
51,"HarvestBeastAtlasNessaCrabBlue",2013,8555,""
52,"HarvestBeastAtlasGoatmanBlue",2014,8560,""
53,"HarvestBeastRed",2006,8485,""
54,"HarvestHellionRed",2007,8477,""
