"rownum","Id","BuffVisualOrbTypesKey","BuffVisualOrbArtKeys","Player_BuffVisualOrbArtKeys","BuffVisualOrbArtKeys2"
0,"ChargeEndurance",0,[0],[],[]
1,"ChargeEnduranceElder",0,[3],[],[]
2,"ChargeFrenzy",0,[1],[],[]
3,"ChargeFrenzyElder",0,[4],[],[]
4,"ChargeFrenzyBloodDance",0,[7],[],[]
5,"ChargeFrenzySuper",0,[8],[],[]
6,"ChargePower",0,[2],[],[]
7,"ChargePowerElder",0,[5],[],[]
8,"ChargePowerAlternate",0,[6],[],[]
9,"ChargeSpirit",0,[9],[],[]
10,"ChargeSiphoning",0,[10],[],[]
11,"ChargeVoid",0,[11],[],[]
12,"ChargeDivine",0,[12],[],[]
13,"ChargeInspiration",0,[13],[],[]
14,"ChargeBrutal",0,[14],[],[]
15,"ChargeAffliction",0,[15],[],[]
16,"ChargeAbsorption",0,[16],[],[]
17,"BloodlinesChargeZeal",0,[17],[],[]
18,"BloodlinesChargeVigor",0,[18],[],[]
19,"CurseTemporalChains",1,[20],[],[]
20,"IzaroTemporalChains",1,[21],[],[]
21,"IzaroDeathTemporalChains",1,[22],[],[]
22,"CurseEnfeeble",1,[93],[],[]
23,"CurseVulnerability",1,[99],[],[]
24,"IzaroVulnerabilityOrb",1,[25],[],[]
25,"IzaroDeathVulnerabilityOrb",1,[26],[],[]
26,"CurseElementalWeakness",1,[98],[],[]
27,"IzaroElementalWeaknessOrb",1,[28],[],[]
28,"IzaroDeathElementalWeaknessOrb",1,[29],[],[]
29,"CurseFireWeakness",1,[95],[],[]
30,"CurseColdWeakness",1,[96],[],[]
31,"CurseLightningWeakness",1,[97],[],[]
32,"CurseChaosWeakness",1,[100],[],[]
33,"CursePunishment",1,[94],[],[]
34,"CurseSilence",1,[35],[],[]
35,"CursePacifyActive",1,[37],[],[]
36,"CursePacifyInactive",1,[38],[],[]
37,"CurseMinionSacrifice",1,[36],[],[]
38,"CurseWarlordsMark",3,[39],[],[]
