"rownum","Id","DDSFile","AOFile","InventorySoundEffect","HASH16","AOFile2","MarauderSMFiles","RangerSMFiles","WitchSMFiles","DuelistDexSMFiles","TemplarSMFiles","ShadowSMFiles","ScionSMFiles","MarauderShape","RangerShape","WitchShape","DuelistShape","TemplarShape","ShadowShape","ScionShape","i32_218","i32_222","Pickup_AchievementItemsKeys","SMFiles","Identify_AchievementItemsKeys","EPKFile","Corrupt_AchievementItemsKeys","IsAlternateArt","bool_299","CreateCorruptedJewelAchievementItemsKey","AnimationLocation","string_324","string_332","string_340","string_348","string_356","string_364","string_372","string_380","string_388","string_396","string_404","string_412","IsAtlasOfWorldsMapIcon","IsTier16Icon","[i32]_422","bool_438","[rid]_439","string_455","Composition","rid_467","rid_483","rid_499","rid_515","[rid]_531","[rid]_547","bool_563","string_564","string_572","string_580"
0,"CurrencyWeaponQuality","Art/2DItems/Currency/CurrencyWeaponQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",37,24441,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
1,"CurrencyIdentification","Art/2DItems/Currency/CurrencyIdentification.dds","Metadata/Items/Currency/CurrencyScroll.ao",27,2083,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
2,"CurrencyRerollRare","Art/2DItems/Currency/CurrencyRerollRare.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,29204,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
3,"CurrencyRerollRareVeiled","Art/2DItems/Currency/VeiledExaltedOrb.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,28206,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
4,"CurrencyRerollRareVeiledChaos","Art/2DItems/Currency/VeiledChaosOrb.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,-7889,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
5,"CurrencyArmourQuality","Art/2DItems/Currency/CurrencyArmourQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",29,-20678,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
6,"CurrencyMapQuality","Art/2DItems/Currency/CurrencyMapQuality.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,-9622,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
7,"CurrencyMapQualityRarity","Art/2DItems/Currency/MavenChisel1.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,16163,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
8,"CurrencyMapQualityPackSize","Art/2DItems/Currency/MavenChisel2.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,2381,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
9,"CurrencyMapQualityDivinationCards","Art/2DItems/Currency/MavenChisel5.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,-4010,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
10,"CurrencyMapQualityScarabs","Art/2DItems/Currency/MavenChisel3.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,-12783,"",[],[],[],[],[],[],[],"","","","","","","",9,13,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],"",0,"","","","",[],[],"","","",""
