"rownum","string_0","[rid]_8","i32_24","i32_28","rid_32"
0,"storm_rain_ground_object",[550],3,0,""
1,"earthshatter_spike",[385],3,0,""
2,"earthshatter_spike",[385],3,1,""
3,"earthshatter_spike",[385],3,2,""
4,"earthshatter_spike_ancestral",[385],3,0,11852
5,"earthshatter_spike_ancestral",[385],3,1,11852
6,"earthshatter_spike_ancestral",[385],3,2,11852
7,"toxic_rain_spore",[192],3,0,""
8,"toxic_rain_spore",[193],3,1,""
9,"toxic_rain_spore",[352],3,2,""
10,"toxic_rain_spore",[194],3,3,""
11,"toxic_rain_spore",[497],3,4,""
12,"toxic_rain_spore",[520],3,5,""
13,"toxic_rain_spore",[594],3,6,""
14,"toxic_rain_spore",[620],3,7,""
15,"hydrosphere_sphere",[456],3,0,""
16,"hydrosphere_sphere",[624],3,1,""
17,"ring_of_ice_statue",[1180],3,0,""
18,"fire_wake_object",[299],3,0,""
19,"fire_wake_object",[1497],3,1,""
