"rownum","Id","ItemClassesKey","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool_229","rid_230","rid_246","bool_262","TradeMarketCategory","Unmodifiable","Achievement","[rid]_296","IgnoreQuantBonus","bool_313","rid_314"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Pierre à aiguiser de forgeron","Schleifstein","鍛冶屋の砥石","대장장이의 숫돌","Amolador do Ferreiro","Точильный камень","Piedra de afilar","Blacksmith's Whetstone","磨刀石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,35,"[348,1187]",39,1,0,1154719587,[],"","F","M","","","M","","F","","","","",[],[],"","","","","","","",[],[],"","",""
1,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Parchemin de sagesse","Identifikationsrolle","叡智の巻物","감정 주문서","Pergaminho da Sabedoria","Свиток мудрости","Pergamino de sabiduría","Scroll of Wisdom","知識卷軸","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],39,1,1,1351093167,[7243],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
2,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Orbe du chaos","Chaossphäre","混沌のオーブ","카오스 오브","Orbe do Caos","Сфера хаоса","Orbe de caos","Chaos Orb","混沌石","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],39,1,2,1934876153,[9318],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
3,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Orb","Orbe crypté","Verhüllte Sphäre","秘匿のオーブ","장막의 오브","Orbe Oculto","Скрытая сфера","Orbe encriptado","Veiled Orb","隱匿石","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],39,1,3,-1550851543,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
4,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Ferraille d'armurier","Plattnerstück","鎧鍛冶の端材","방어구 장인의 고철","Sucata do Armeiro","Деталь доспеха","Restos de armaduras","Armourer's Scrap","護甲片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,"[348,1187]",39,1,4,-66826851,[],"","F","N","","","F","","M","","","","",[],[],"","","","","","","",[],[],"","",""
5,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Miroir de Kalandra","Spiegel von Kalandra","カランドラの鏡","칼란드라의 거울","Espelho de Kalandra","Зеркало Каландры","Espejo de Kalandra","Mirror of Kalandra","卡蘭德的魔鏡","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,1,11,2042772245,[],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
6,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Orbe d'alchimie","Sphäre der Alchemie","錬金術のオーブ","연금술의 오브","Orbe da Alquimia","Сфера алхимии","Orbe de alquimia","Orb of Alchemy","點金石","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],39,1,12,-1861203649,[9544],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
7,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Orbe de chance","Sphäre der Möglichkeiten","可能性のオーブ","기회의 오브","Orbe da Chance","Сфера удачи","Orbe de azar","Orb of Chance","機會石","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[1187],39,1,13,-982307707,[9317],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
8,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Orbe de regret","Sphäre der Reue","後悔のオーブ","후회의 오브","Orbe do Remorso","Сфера раскаяния","Orbe de arrepentimiento","Orb of Regret","後悔石","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],39,1,14,-1689566555,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
9,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Orbe de démantèlement","Sphäre der Umkehr","解除のオーブ","취소의 오브","Orbe da Restituição","Сфера небытия","Orbe de destrucción","Orb of Unmaking","撤銷石","Metadata/Items/Currency/StackableCurrency",70,"",[],1,34,[],39,1,15,-402031475,[],"","M","F","","","M","","M","","","","",[],[],"",1,"","","","","",[],[],"","",""
10,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Orbe de transmutation","Umwandlungssphäre","変成のオーブ","진화의 오브","Orbe da Transmutação","Сфера превращения","Orbe de transmutación","Orb of Transmutation","蛻變石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[1187],39,1,16,1315720499,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
11,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Orbe d'altération","Veränderungssphäre","改変のオーブ","변화의 오브","Orbe da Alteração","Сфера перемен","Orbe de alteración","Orb of Alteration","改造石","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[1187],39,1,17,-684555689,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
12,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Orbe de suppression","Sphäre der Läuterung","洗浄のオーブ","정제의 오브","Orbe do Expurgo","Сфера очищения","Orbe de purga","Orb of Scouring","重鑄石","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],39,1,18,2131686967,"[148,8506]","","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
13,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Orbe exalté","Erhabene Sphäre","高貴なオーブ","엑잘티드 오브","Orbe Exaltado","Сфера возвышения","Orbe exaltado","Exalted Orb","崇高石","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,1,20,-1068542423,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
14,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Orbe royal","Hoheitliche Sphäre","王者のオーブ","제왕의 오브","Orbe Régio","Сфера царей","Orbe regio","Regal Orb","富豪石","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],39,1,21,-658682019,[10447],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
15,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Orbe d'augmentation","Aufwertungssphäre","増強のオーブ","확장의 오브","Orbe Ampliador","Сфера усиления","Orbe de aumento","Orb of Augmentation","增幅石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[1187],39,1,22,-172267806,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
16,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Parchemin de portail","Portalrolle","ポータルの巻物","포탈 주문서","Pergaminho de Portal","Свиток портала","Pergamino de portal","Portal Scroll","傳送卷軸","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],39,1,23,1328218349,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
17,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Bulle de souffleur de verre","Kugel des Glasbläsers","ガラス吹きの飾り玉","유리직공의 방울","Bolha do Vidreiro","Стекольная масса","Baratija de vidrio","Glassblower's Bauble","玻璃彈珠","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[348],39,1,24,-579550017,[9889],"","F","F","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
