"rownum","Id","[rid]_8","[i32]_24","rid_40","rid_56","i32_72","bool_76","i32_77","bool_81"
0,"CultistSpiritWeapon",[16836],[1],179,40,1,1,16777216,1
1,"MercenarySpiritWeapon",[16837],[1],180,40,1,1,16777216,1
2,"PyromaniacSpiritWeapon",[16838],[1],181,40,1,1,16777216,1
3,"TemplarZealotSpiritWeapon",[16839],[1],182,40,1,1,16777216,1
4,"PredatoryFarrulsFurApparition",[16904],[1],183,0,3,1,16777216,""
5,"OshabisHeaddressStrApparition",[16912],[1],184,3,3,1,16777216,""
6,"OshabisHeaddressDexApparition",[16913],[1],185,3,3,1,16777216,""
7,"OshabisHeaddressIntApparition",[16914],[1],186,3,3,1,16777216,""
8,"HateforgeAtziriApparition",[17370],[1],194,4,2,1,0,""
9,"VentorsGambleBoxCars",[17430],[1],195,3,2,1,16777216,1
10,"VentorsGambleSnakeEyes",[17430],[1],196,3,2,1,16777216,1
