"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GrantedEffect","GrantedEffectHardmode","GrantedEffect2","GrantedEffect2Hardmode","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","SupportName (French)","SupportName (German)","SupportName (Japanese)","SupportName (Korean)","SupportName (Portuguese)","SupportName (Russian)","SupportName (Spanish)","SupportName (Thai)","SupportName (Traditional Chinese)","GemTags","Consumed_ModsKey","ItemColor"
0,"Fireball","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,5,4,14,0]","",5
1,"FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX","[DNT] FireballAltX",1,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,5,4,14]","",1
2,"FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY","[DNT] FireballAltY",2,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,5,4,14,0]","",2
3,"VaalFireball","","","","","","","","","","",3334,"",0,"","","","","","","","","","","","","","","","","","","","","","[11,25,5,4,14,24,0]","",5
4,"VaalFireballAltX","Vaal Fireball","Boule de feu vaal","Vaal-Feuerball","ヴァールファイヤーボール","바알 화염구","Bola de Fogo Vaal","Огненный шар ваал","Bola de fuego vaal","วาล์ บอลไฟ (Vaal Fireball)","瓦爾．火球",3334,"",1,"","","","","","","","","","","","","","","","","","","","","","[11,25,5,4,14,24,0]","",1
5,"VaalFireballAltY","Vaal Fireball","Boule de feu vaal","Vaal-Feuerball","ヴァールファイヤーボール","바알 화염구","Bola de Fogo Vaal","Огненный шар ваал","Bola de fuego vaal","วาล์ บอลไฟ (Vaal Fireball)","瓦爾．火球",3334,"",2,"","","","","","","","","","","","","","","","","","","","","","[11,25,5,4,14,24,0]","",2
6,"IceNova","","","","","","","","","","",64,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,1,38]","",5
7,"IceNovaAltX","Ice Nova of Frostbolts","Nova de glace des Globes de givre","Eisnova der Frostkugeln","フロストボルトのアイスノヴァ","서리 구체의 얼음 폭발","Nova Glacial dos Disparos Congelantes","Кольцо льда морозных шаров","Nova de hielo de descarga de escarcha","น้ำแข็งกระจายแห่งบอลเยือกแข็ง (Ice Nova of Frostbolts)","冰霜新星．寒冰彈",65,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,1,38]","",1
8,"IceNovaAltY","Ice Nova of Deep Freeze","Nova de glace du Gel intense","Eisnova der Tiefkühlung","急速冷凍のアイスノヴァ","결빙의 얼음 폭발","Nova Glacial do Congelamento Profundo","Кольцо льда замораживания","Nova de hielo de ultracongelación","น้ำแข็งกระจายแห่งการแช่แข็ง (Ice Nova of Deep Freeze)","冰霜新星．深層冰凍",66,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,1,38]","",2
9,"Icefire","","","","","","","","","","",5826,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,5]","",5
10,"VaalIceNova","","","","","","","","","","",76,"",64,"","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,24,1,38]","",5
11,"VaalIceNovaAltX","Vaal Ice Nova","Nova de glace vaal","Vaal-Eisnova","ヴァールアイスノヴァ","바알 얼음 폭발","Nova Glacial Vaal","Кольцо льда ваал","Nova de hielo vaal","วาล์ น้ำแข็งกระจาย (Vaal Ice Nova)","瓦爾．冰霜新星",76,"",65,"","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,24,1,38]","",1
12,"VaalIceNovaAltY","Vaal Ice Nova","Nova de glace vaal","Vaal-Eisnova","ヴァールアイスノヴァ","바알 얼음 폭발","Nova Glacial Vaal","Кольцо льда ваал","Nova de hielo vaal","วาล์ น้ำแข็งกระจาย (Vaal Ice Nova)","瓦爾．冰霜新星",76,"",66,"","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,24,1,38]","",2
13,"LeapSlam","","","","","","","","","","",108,111,"","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,22,35,40]","",5
14,"LeapSlamAltX","Leap Slam of Groundbreaking","Bond percutant de la Dévastation","Sprunghieb der Erdspaltung","鍬入れのリープスラム","땅 분쇄의 도약 강타","Salto Impactante Quebra-solo","Наскок сотрясения","Salto con impacto de quebrantamiento","กระโจนทุบแห่งการทลายปฐพี (Leap Slam of Groundbreaking)","躍擊．地破",109,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,22,35,40]","",1
15,"LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY","[DNT] LeapSlamAltY",110,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,22,35,40]","",2
16,"Riptide","","","","","","","","","","",5789,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,5,1]","",5
17,"ChargedDash","","","","","","","","","","",9278,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,22,14,30,13,7,2]","",5
18,"ChargedDashAltX","Charged Dash of Projection","Charge fulgurante de la Projection","Geladener Sprint der Projektion","投影のチャージドダッシュ","투영의 충전 질주","Impulso Energizado da Projeção","Заряженный рывок проекции","Embestida cargada de proyección","ชาร์จพลังพุ่งตัวแห่งการถอดจิต (Charged Dash)","雷霆衝鋒．投射",9279,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,14,30,13,7,2]","",1
