"rownum","i32_0","[rid]_4","[rid]_20","i32_36","i32_40","i32_44","i32_48","i32_52","bool_56","i32_57","i32_61","i32_65","bool_69","bool_70","[rid]_71","i32_87","i32_91","i32_95","i32_99","i32_103","i32_107","bool_111","bool_112","i32_113","i32_117","bool_121","i32_122","bool_126","rid_127","[i32]_143","i32_159","bool_163","bool_164","rid_165","bool_181","[i32]_182","bool_198","bool_199","rid_200","bool_216","bool_217","[rid]_218","bool_234","bool_235","bool_236","bool_237","i32_238","bool_242","bool_243","i32_244","i32_248","i32_252","bool_256","rid_257","rid_273","[rid]_289"
0,0,[],[],100,2,3,25,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",210,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
1,1,[],[],100,2,3,25,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",180,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
2,2,[],[],100,2,3,25,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",210,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
3,3,[],[],100,2,3,25,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",270,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
4,4,[],[],250,2,3,20,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",350,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
5,5,[],[],250,2,3,20,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
6,6,[],[],0,2,3,20,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
7,7,[],[],0,2,3,20,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
8,8,[],[],0,2,3,15,0,1,3,2,0,1,"",[],1,0,7,0,1,0,"","",140,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
9,9,[],[],0,2,2,30,0,1,6,2,100,1,"",[],1,0,7,0,1,0,"","",150,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
10,10,[],[],0,1,3,17,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
11,11,[],[],0,3,3,0,7,1,4,2,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
12,12,[783],[],0,1,4,10,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
13,13,[],[],0,1,2,10,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
14,14,[1956],[],0,1,2,10,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
15,15,[],[],0,2,2,15,0,1,4,2,0,1,"",[],1,0,7,0,1,0,"","",120,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
16,16,[],[],0,1,2,15,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
17,17,[1862],[],100,1,2,20,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
18,18,[],[],250,2,2,40,0,1,3,13,0,1,"",[],1,0,4,0,1,0,"","",350,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
19,19,[1981],[],0,1,3,15,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
20,20,[],[],0,2,2,30,0,1,6,2,100,1,"",[],1,0,7,0,1,0,"","",270,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
21,21,[2103],[],0,2,2,20,0,1,6,2,10,1,"",[],1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
22,22,[2105],[],250,3,3,55,10,1,3,2,0,1,"",[],1,0,4,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[100],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
23,23,[2104],[],0,3,3,10,15,1,3,2,10,1,"",[],1,0,4,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[160],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
24,24,[],[],0,1,4,10,0,1,13,13,0,"","",[],1,0,4,0,1,0,"","",0,7,"",0,"","",[],1,"","","","",[],"","","","","",[],"","","","",0,"","",0,0,0,1,"","",[]
25,25,[2110],[],0,1,4,20,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"","","","","",[],"","","","",0,"","",0,0,0,1,"","",[]
26,26,[2111],[],0,1,4,12,0,1,13,13,0,1,"",[],1,0,7,0,1,0,"","",0,7,"",0,"","",[],1,1,1,"","",[],"","","","","",[],"","","","",0,"","",0,0,0,1,"","",[]
27,27,[2135],[],750,2,3,50,0,1,6,2,100,1,"",[],3,0,4,0,1,0,"","",150,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
28,28,[2103],[],0,2,3,20,0,1,3,2,0,1,"",[],1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
29,29,[2103],[],0,2,3,20,0,1,3,2,0,1,1,[],1,0,4,0,1,0,"","",160,7,"",0,"","",[],1,1,1,"","",[],"",1,"","","",[],"","","","",0,"","",0,0,0,1,"","",[]
