"rownum","Id","i32_8","BuffVisual","i32_28"
0,"Delirium1",0,1246,14
1,"Delirium2",0,1252,1
2,"Delirium3",0,1248,1
3,"Delirium4",0,1249,1
4,"Delirium5",0,1250,1
5,"Delirium6",0,1251,1
6,"Delirium7",0,1253,1
7,"Delirium8",0,1254,3
8,"Delirium9",0,1255,3
9,"Delirium10",0,1256,3
10,"Delirium11",0,1271,3
11,"Delirium12",0,1272,3
12,"Delirium13",0,1273,3
13,"Delirium14",0,1274,3
14,"Delirium15",0,1275,3
15,"Delirium16",0,1276,3
16,"Delirium17",0,1277,3
17,"DeliriumOnDeathMod1",1,1282,14
18,"DeliriumOnDeathMod2",1,1283,1
19,"DeliriumOnDeathMod3",1,1284,1
20,"DeliriumOnDeathMod4",1,1285,1
21,"DeliriumOnDeathMod5",1,1286,1
22,"DeliriumOnDeathMod6",1,1287,1
23,"DeliriumOnDeathMod7",1,1288,1
24,"DeliriumOnDeathMod8",1,1289,3
25,"DeliriumOnDeathMod9",1,1290,3
26,"DeliriumOnDeathMod10",1,1291,3
27,"DeliriumOnDeathMod11",1,1292,3
28,"DeliriumOnDeathMod12",1,1293,3
29,"DeliriumOnDeathMod13",1,1294,3
30,"DeliriumOnDeathMod14",1,1295,3
31,"DeliriumOnDeathMod15",1,1296,3
32,"DeliriumOnDeathMod16",1,1297,3
33,"DeliriumOnDeathMod17",1,1298,3
