"rownum","Id","i32_8","BuffVisual","i32_28"
0,"Delirium1",0,1232,14
1,"Delirium2",0,1238,1
2,"Delirium3",0,1234,1
3,"Delirium4",0,1235,1
4,"Delirium5",0,1236,1
5,"Delirium6",0,1237,1
6,"Delirium7",0,1239,1
7,"Delirium8",0,1240,3
8,"Delirium9",0,1241,3
9,"Delirium10",0,1242,3
10,"Delirium11",0,1257,3
11,"Delirium12",0,1258,3
12,"Delirium13",0,1259,3
13,"Delirium14",0,1260,3
14,"Delirium15",0,1261,3
15,"Delirium16",0,1262,3
16,"Delirium17",0,1263,3
17,"DeliriumOnDeathMod1",1,1268,14
18,"DeliriumOnDeathMod2",1,1269,1
19,"DeliriumOnDeathMod3",1,1270,1
20,"DeliriumOnDeathMod4",1,1271,1
21,"DeliriumOnDeathMod5",1,1272,1
22,"DeliriumOnDeathMod6",1,1273,1
23,"DeliriumOnDeathMod7",1,1274,1
24,"DeliriumOnDeathMod8",1,1275,3
25,"DeliriumOnDeathMod9",1,1276,3
26,"DeliriumOnDeathMod10",1,1277,3
27,"DeliriumOnDeathMod11",1,1278,3
28,"DeliriumOnDeathMod12",1,1279,3
29,"DeliriumOnDeathMod13",1,1280,3
30,"DeliriumOnDeathMod14",1,1281,3
31,"DeliriumOnDeathMod15",1,1282,3
32,"DeliriumOnDeathMod16",1,1283,3
33,"DeliriumOnDeathMod17",1,1284,3
