"rownum","rid_0","i32_16","Status","Status (French)","Status (German)","Status (Japanese)","Status (Korean)","Status (Portuguese)","Status (Russian)","Status (Spanish)","Status (Thai)","Status (Traditional Chinese)","Stat","StatValue"
0,0,0,"Idling","Inactif","Untätig","待機","미배정","Atoa","Бездействует","Inactivo","ว่างงาน","閒置","",0
1,1,0,"Mining Crimson Iron","Mine du Fer écarlate","Baut Bluteisen ab","クリムゾンアイアンの採掘","진홍철 채광","Minerando Ferro Carmesim","Добывает алое железо","Extrayendo hierro carmesí","กำลังขุดเหล็กเลือดนก","開採緋紅鍛鐵",20569,1
2,1,1,"Mining Orichalcum","Mine de l'Orichalque","Baut Oreichalkos ab","オリハルコンの採掘","오리칼쿰 채광","Minerando Oricálco","Добывает орихалк","Extrayendo oricalco","กำลังขุดโอริคัลคุม","開採山銅",20569,2
3,1,2,"Mining Petrified Amber","Mine de l'Ambre pétrifié","Baut Amberium ab","石化琥珀の採掘","석화 호박 채광","Minerando Âmbar Petrificado","Добывает окаменевший янтарь","Extrayendo ámbar petrificado","กำลังขุดหินอำพัน","開採石化琥珀",20569,3
4,1,3,"Mining Bismuth","Mine du Bismuth","Baut Bismut ab","ビスマスの採掘","비스무트 채광","Minerando Bismuto","Добывает висмут","Extrayendo bismuto","กำลังขุดบิสมัท","開採鉍",20569,4
5,1,4,"Mining Verisium","Mine du Vérisium","Baut Verisium ab","ヴェリシウムの採掘","베리시움 채광","Minerando Verísio","Добывает веризий","Extrayendo verisium","กำลังขุดเวรีเซียม","開採維里西姆",20569,5
6,2,0,"Smelting Crimson Iron","Fait fondre du Fer écarlate","Verhüttet Bluteisen","クリムゾンアイアンの製錬","진홍철 제련","Derretendo Ferro Carmesim","Выплавляет алое железо","Fundiendo hierro carmesí","กำลังถลุงเหล็กเลือดนก","冶煉緋紅鍛鐵",20571,1
7,2,1,"Smelting Orichalcum","Fait fondre de l'Orichalque","Verhüttet Oreichalkos","オリハルコンの製錬","오리칼쿰 제련","Derretendo Oricálco","Выплавляет орихалк","Fundiendo oricalco","กำลังถลุงโอริคัลคุม","冶煉山銅",20571,2
8,2,2,"Smelting Petrified Amber","Fait fondre de l'Ambre pétrifié","Verhüttet Amberium","石化琥珀の製錬","석화 호박 제련","Derretendo Âmbar Petrificado","Выплавляет твёрдый янтарь","Fundiendo ámbar petrificado","กำลังถลุงหินอำพัน","冶煉石化琥珀",20571,3
9,2,3,"Smelting Bismuth","Fait fondre du Bismuth","Verhüttet Bismut","ビスマスの製錬","비스무트 제련","Derretendo Bismuto","Выплавляет висмут","Fundiendo bismuto","กำลังถลุงบิสมัท","冶煉鉍",20571,4
10,2,4,"Smelting Verisium","Fait fondre du Vérisium","Verhüttet Verisium","ヴェリシウムの製錬","베리시움 제련","Derretendo Verísio","Выплавляет веризий","Fundiendo verisium","กำลังถลุงเวรีเซียม","冶煉維里西姆",20571,5
11,3,0,"","","","","","","","","","",20574,1
12,3,1,"","","","","","","","","","",20574,2
13,3,2,"","","","","","","","","","",20574,3
14,3,3,"","","","","","","","","","",20574,4
15,3,4,"","","","","","","","","","",20574,5
16,3,5,"","","","","","","","","","",20574,6
17,4,0,"Disenchanting","Désenchante","Entzaubert","解呪","인챈트 해제","Desencantando","Распыляет","Desencantando","กำลังสลายไอเทม","破幻","",0
18,5,0,"Mapping","Explore une Carte","Läuft Karte","マッピング","지도 탐험","Mapeando","Ходит на карты","Explorando mapas","กำลังบุกแผนที่","刷圖",20580,1
19,5,1,"Mapping","Explore une Carte","Läuft Karte","マッピング","지도 탐험","Mapeando","Ходит на карты","Explorando mapas","กำลังบุกแผนที่","刷圖",20580,2
20,5,2,"Mapping","Explore une Carte","Läuft Karte","マッピング","지도 탐험","Mapeando","Ходит на карты","Explorando mapas","กำลังบุกแผนที่","刷圖",20580,3
21,6,0,"","","","","","","","","","",20577,1
22,6,1,"","","","","","","","","","",20577,2
23,6,2,"","","","","","","","","","",20577,3
24,7,0,"Fishing","Pêche","Angelt","釣り","낚시","Pescando","Рыбачит","Pescando","กำลังตกปลา","釣魚","",0
25,8,0,"Missing","Perdu","Vermisst","行方不明","실종","Perdido","Пропал(а)","Perdido","หายสาบสูญ","失蹤","",0
26,8,1,"Missing","Perdu","Vermisst","行方不明","실종","Perdido","Пропал(а)","Perdido","หายสาบสูญ","失蹤","",0
27,8,2,"Missing","Perdu","Vermisst","行方不明","실종","Perdido","Пропал(а)","Perdido","หายสาบสูญ","失蹤","",0
28,9,0,"Slain in the Atlas","Tué dans l'Atlas","Im Atlas gefallen","アトラスで殺された","아틀라스에서 사망","Morto no Atlas","Убит(а) в Атласе","Derrotado en el Atlas","ถูกคร่าชีวิตในแอตลาส","在輿圖中被殺害","",0
29,9,1,"Slain in the Atlas","Tué dans l'Atlas","Im Atlas gefallen","アトラスで殺された","아틀라스에서 사망","Morto no Atlas","Убит(а) в Атласе","Derrotado en el Atlas","ถูกคร่าชีวิตในแอตลาส","在輿圖中被殺害","",0
30,9,2,"Slain in the Atlas","Tué dans l'Atlas","Im Atlas gefallen","アトラスで殺された","아틀라스에서 사망","Morto no Atlas","Убит(а) в Атласе","Derrotado en el Atlas","ถูกคร่าชีวิตในแอตลาส","在輿圖中被殺害","",0
