"rownum","Id","FlagStat"
0,"Attack",2985
1,"Spell",437
2,"Projectile",6458
3,"DualWieldOnly",""
4,"Buff",""
5,"Minion",6327
6,"Damage",""
7,"Area",9874
8,"Duration",""
9,"RequiresShield",""
10,"ProjectileSpeed",""
11,"HasReservation",""
12,"ReservationBecomesCost",""
13,"Trappable",""
14,"Totemable",""
15,"Mineable",""
16,"ElementalStatus",""
17,"MinionsCanExplode",""
18,"Chains",15342
19,"Melee",6749
20,"MeleeSingleTarget",10817
21,"Multicastable",""
22,"TotemCastsAlone",""
23,"Multistrikeable",""
24,"CausesBurning",""
25,"SummonsTotem",""
26,"TotemCastsWhenNotDetached",""
27,"Physical",9419
28,"Fire",2815
29,"Cold",2816
30,"Lightning",2817
31,"Triggerable",9406
32,"Trapped",""
33,"Movement",3187
34,"DamageOverTime",""
35,"RemoteMined",""
36,"Triggered",""
37,"Vaal",2978
38,"Aura",3000
39,"CanTargetUnusableCorpse",""
40,"RangedAttack",8224
41,"Chaos",2871
42,"FixedSpeedProjectile",""
43,"ThresholdJewelArea",""
44,"ThresholdJewelProjectile",""
45,"ThresholdJewelDuration",""
46,"ThresholdJewelRangedAttack",""
47,"Channel",6448
48,"DegenOnlySpellDamage",""
49,"InbuiltTrigger",""
50,"Golem",""
51,"Herald",11041
52,"AuraAffectsEnemies",""
53,"NoRuthless",""
54,"ThresholdJewelSpellDamage",""
55,"Cascadable",""
56,"ProjectilesFromUser",""
57,"MirageArcherCanUse",""
58,"ProjectileSpiral",""
59,"SingleMainProjectile",""
60,"MinionsPersistWhenSkillRemoved",""
61,"ProjectileNumber",6458
62,"Warcry",3450
63,"Instant",""
64,"Brand",8722
65,"DestroysCorpse",""
66,"NonHitChill",""
67,"ChillingArea",""
68,"AppliesCurse",2529
69,"CanRapidFire",""
70,"AuraDuration",""
71,"AreaSpell",""
72,"OR",""
73,"AND",""
74,"NOT",""
75,"AppliesMaim",""
76,"CreatesMinion",17137
77,"Guard",9882
78,"Travel",9883
79,"Blink",""
80,"CanHaveBlessing",""
81,"ProjectilesNotFromUser",""
82,"AttackInPlaceIsDefault",""
83,"Nova",10833
84,"InstantNoRepeatWhenHeld",""
85,"InstantShiftAttackForLeftMouse",""
86,"AuraNotOnCaster",11072
87,"Banner",11073
88,"Rain",11111
89,"Cooldown",""
90,"ThresholdJewelChaining",""
91,"Slam",12016
92,"Stance",12152
93,"NonRepeatable",""
94,"OtherThingUsesSkill",""
95,"Steel",12584
96,"Hex",12724
97,"Mark",13224
98,"Aegis",15754
99,"Orb",""
100,"KillNoDamageModifiers",""
101,"RandomElement",14444
102,"LateConsumeCooldown",""
103,"Arcane",""
104,"FixedCastTime",""
105,"RequiresOffHandNotWeapon",""
106,"Link",15312
107,"Blessing",15755
108,"ZeroReservation",""
109,"DynamicCooldown",""
110,"Microtransaction",""
111,"OwnerCannotUse",""
112,"ProjectilesNumberModifiersNotApplied",""
113,"TotemsAreBallistae",""
114,"SkillGrantedBySupport",""
115,"PreventHexTransfer",""
116,"MinionsAreUndamagable",""
117,"InnateTrauma",""
118,"DualWieldRequiresDifferentTypes",""
119,"NoVolley",""
120,"Retaliation",4028
121,"NeverExertable",""
122,"DisallowTriggerSupports",""
123,"ProjectileCannotReturn",""
124,"Offering",21502
125,"SupportedByBane",""
126,"WandAttack",22178
127,"GainsIntensity",""
128,"CreatesSentinelMinion",""
129,"SupportedByAutoExertion",""
