"rownum","Id","i32_16","i32_20","ItemVisualIdentity","bool_40","Icon","bool_49","Text","Type"
0,0,0,0,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingRing/TrackingRingFootstepsIcon",1,"",0
1,1,0,1,17,1,"","","",0
2,1,1,2,23,1,"","","",0
3,1,2,3,18,1,"","","",0
4,1,3,4,22,1,"","","",0
5,1,4,5,14,1,"","","",0
6,1,5,6,13,1,"","","",0
7,1,6,7,2,1,"","","",0
8,1,7,8,21,1,"","","",0
9,1,8,9,44,1,"","","",0
10,1,9,10,45,1,"","","",0
11,1,10,11,41,1,"","","",0
12,1,11,12,43,1,"","","",0
13,1,12,13,42,1,"","","",0
14,1,13,14,15,1,"","","",0
15,1,14,15,19,1,"","","",0
16,1,15,16,50,1,"","","",0
17,1,16,17,12908,"","","","",0
18,1,17,18,46,1,"","","",0
19,1,20,101,160,1,"","","",0
20,1,19,104,63,1,"","","",0
21,1,18,19,12,1,"","","",0
22,2,0,20,"",1,"Art/2DArt/UIImages/InGame/MTX/KrampusTradeWindow/KrampusPlayerTradeIcon","","",0
23,3,0,21,"",1,"","","",0
24,3,1,22,"",1,"","","",0
25,3,2,23,"",1,"","","",0
26,3,3,24,"",1,"","","",0
27,3,4,25,"",1,"","","",0
28,3,5,26,"",1,"","","",0
29,3,6,27,"",1,"","","",0
30,3,7,28,"",1,"","","",0
31,3,8,29,"",1,"","","",0
32,3,9,30,"",1,"","","",0
33,3,10,21,"",1,"","","",1
34,3,11,22,"",1,"","","",1
35,3,12,23,"",1,"","","",1
36,3,13,24,"",1,"","","",1
37,3,14,25,"",1,"","","",1
38,3,15,26,"",1,"","","",1
39,3,16,27,"",1,"","","",1
40,3,17,28,"",1,"","","",1
41,3,18,29,"",1,"","","",1
42,3,19,30,"",1,"","","",1
43,4,0,31,"",1,"","","",0
44,4,1,32,"",1,"","","",0
45,4,2,31,"",1,"","","",1
46,4,3,32,"",1,"","","",1
47,5,0,36,"",1,"Art/2DArt/UIImages/InGame/MTX/RotShamanKillCounter/RotShamanKillTrackerIcon","","",0
48,5,1,36,"",1,"Art/2DArt/UIImages/InGame/MTX/RotShamanKillCounter/RotShamanKillTrackerIcon","","",1
49,6,0,37,"",1,"","",7801,0
50,6,1,38,"",1,"","",7802,0
51,6,2,39,"",1,"","",7803,0
52,6,3,40,"",1,"","",7804,0
53,6,4,41,"",1,"","",7805,0
54,6,5,42,"",1,"","",7806,0
55,6,6,37,"",1,"","",7801,1
56,6,7,38,"",1,"","",7802,1
57,6,8,39,"",1,"","",7803,1
58,6,9,40,"",1,"","",7804,1
59,6,10,41,"",1,"","",7805,1
60,6,11,42,"",1,"","",7806,1
61,7,0,43,"",1,"","",7844,0
62,7,1,44,"",1,"","",7845,0
63,7,2,45,"",1,"","",7846,0
64,7,3,46,"",1,"","",7847,0
65,7,4,47,"",1,"","",7848,0
66,7,5,48,"",1,"","",7849,0
67,7,6,49,"",1,"","",7850,0
68,7,7,41,"",1,"","",7851,0
69,7,8,50,"",1,"","",7852,0
70,7,9,51,"",1,"","",7853,0
71,7,10,43,"",1,"","",7844,1
72,7,11,44,"",1,"","",7845,1
73,7,12,45,"",1,"","",7846,1
74,7,13,46,"",1,"","",7847,1
75,7,14,47,"",1,"","",7848,1
76,7,15,48,"",1,"","",7849,1
77,7,16,49,"",1,"","",7850,1
78,7,17,41,"",1,"","",7851,1
79,7,18,50,"",1,"","",7852,1
80,7,19,51,"",1,"","",7853,1
81,8,0,52,"",1,"","",7859,0
82,8,1,52,"",1,"","",7859,1
83,8,2,53,"",1,"","",7860,0
84,8,3,53,"",1,"","",7860,1
85,9,0,44,"",1,"","",7933,0
86,9,1,44,"",1,"","",7933,1
87,10,0,54,"",1,"","",8010,0
88,10,1,55,"",1,"","",8011,0
89,10,2,56,"",1,"","",8012,0
90,10,3,57,"",1,"","",8013,0
91,10,4,54,"",1,"","",8010,1
92,10,5,55,"",1,"","",8011,1
93,10,6,56,"",1,"","",8012,1
94,10,7,57,"",1,"","",8013,1
95,11,0,22,"",1,"","","",0
96,11,1,22,"",1,"","","",1
97,12,0,58,17,1,"","","",0
98,12,1,59,23,1,"","","",0
99,12,2,60,18,1,"","","",0
100,12,3,61,22,1,"","","",0
101,12,4,62,14,1,"","","",0
102,12,5,63,13,1,"","","",0
103,12,6,64,2,1,"","","",0
104,12,7,65,21,1,"","","",0
105,12,8,66,44,1,"","","",0
106,12,9,67,45,1,"","","",0
107,12,10,68,41,1,"","","",0
108,12,11,69,43,1,"","","",0
109,12,12,70,42,1,"","","",0
110,12,13,71,15,1,"","","",0
111,12,14,72,19,1,"","","",0
112,12,15,73,50,1,"","","",0
113,12,16,74,12908,"","","","",0
114,12,17,75,46,1,"","","",0
115,12,20,102,160,1,"","","",0
116,12,19,105,63,1,"","","",0
117,12,18,76,12,1,"","","",0
118,13,0,73,"",1,"","",8168,0
119,13,1,73,"",1,"","",8168,1
120,14,0,64,"",1,"","",8169,0
121,14,1,64,"",1,"","",8169,1
122,15,0,63,"",1,"","",8170,0
123,15,1,63,"",1,"","",8170,1
124,16,0,80,"",1,"","",8234,0
125,16,1,81,"",1,"","",8235,0
126,16,2,82,"",1,"","",8236,0
127,16,3,80,"",1,"","",8234,1
128,16,4,81,"",1,"","",8235,1
129,16,5,82,"",1,"","",8236,1
130,17,0,77,"",1,"","",8237,0
131,17,1,78,"",1,"","",8238,0
132,17,2,79,"",1,"","",8239,0
133,17,3,77,"",1,"","",8237,1
134,17,4,78,"",1,"","",8238,1
135,17,5,79,"",1,"","",8239,1
136,18,0,83,17,1,"","","",0
137,18,1,84,23,1,"","","",0
138,18,2,85,18,1,"","","",0
139,18,3,86,22,1,"","","",0
140,18,4,87,14,1,"","","",0
141,18,5,88,13,1,"","","",0
142,18,6,89,2,1,"","","",0
143,18,7,90,21,1,"","","",0
144,18,8,91,44,1,"","","",0
145,18,9,92,45,1,"","","",0
146,18,10,93,41,1,"","","",0
147,18,11,94,43,1,"","","",0
148,18,12,95,42,1,"","","",0
149,18,13,96,15,1,"","","",0
150,18,14,97,19,1,"","","",0
151,18,15,98,50,1,"","","",0
152,18,16,99,46,1,"","","",0
153,18,19,103,160,1,"","","",0
154,18,18,106,63,1,"","","",0
155,18,17,100,12,1,"","","",0
156,20,0,107,"","","Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryEldritch","","",0
157,20,1,108,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryDemon","","",0
