"rownum","Area","PosX","PosY","Tags","[i32]_40","bool_56","TextAudio","CompletionAchievements"
0,0,0,0,[732],[1],"",11922,[]
1,1785,981,797,"[719,733]","[1,3]","",11913,"[8144,8315]"
2,1786,1078,700,"[718,733]","[1,3]","",11912,"[8145,8315]"
3,1787,962,587,"[719,733]","[1,3]","",11913,"[8146,8315]"
4,1788,1273,421,"[720,733]","[1,3]","",11913,"[8147,8315]"
5,1789,1181,611,"[725,733]","[1,3]","",11915,"[8148,8315]"
6,1790,1248,862,"[715,733]","[1,3]","",11914,"[8149,8315]"
7,1791,1020,314,"[721,733]","[1,3]","",11913,"[8150,8315]"
8,1792,857,259,"[722,733]","[1,3]","",11913,"[8151,8315]"
9,1793,938,198,"[723,733]","[1,3]","",11910,"[8152,8315]"
10,1794,1093,501,"[726,733]","[1,3]","",11916,"[8153,8315]"
11,1797,1282,212,"[724,733]","[1,3]","",11910,"[8156,8315]"
12,1795,1132,310,"[716,733]","[1,3]",1,11911,"[8154,8315]"
13,1796,1209,333,"[716,733]","[1,3]",1,11911,"[8155,8315]"
14,1798,1397,229,"[727,733]","[1,3]","",11917,"[8157,8315]"
15,1799,868,922,"[718,733]","[1,3]","",11912,"[8158,8315]"
