"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CharactersKey","Level","PassiveSkillsKeys","CharacterStartStateSetKey","rid_68","CharacterStartQuestStateKeys","bool_100","InfoText","rid_109"
0,"StrDefault","","","","","","","","","","",0,1,[],0,"",[],"","",""
1,"IntDefault","","","","","","","","","","",1,1,[],0,"",[],"","",""
2,"StrDexIntDefault","","","","","","","","","","",2,1,[],0,"",[],"","",""
3,"DexDefault","","","","","","","","","","",3,1,[],0,"",[],"","",""
4,"StrDexDefault","","","","","","","","","","",4,1,[],0,"",[],"","",""
5,"DexIntDefault","","","","","","","","","","",5,1,[],0,"",[],"","",""
6,"StrIntDefault","","","","","","","","","","",6,1,[],0,"",[],"","",""
7,"StrAct2Race","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Merodeador","Marauder","野蠻人",0,12,[],2,21,[0],"","",""
8,"DexAct2Race","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Exploradora","Ranger","遊俠",3,12,[],2,21,[0],"","",""
9,"IntAct2Race","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,12,[],2,21,[0],"","",""
10,"DexIntAct2Race","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,12,[],2,21,[0],"","",""
11,"StrDexAct2Race","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,12,[],2,21,[0],"","",""
12,"StrIntAct2Race","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖騎士",6,12,[],2,21,[0],"","",""
13,"StrDexIntAct2Race","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,12,[],2,21,[0],"","",""
14,"StrAct3Race","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Merodeador","Marauder","野蠻人",0,22,[],3,41,"[0,1]","","",""
15,"DexAct3Race","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Exploradora","Ranger","遊俠",3,22,[],3,41,"[0,1]","","",""
16,"IntAct3Race","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,22,[],3,41,"[0,1]","","",""
17,"DexIntAct3Race","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,22,[],3,41,"[0,1]","","",""
18,"StrDexAct3Race","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,22,[],3,41,"[0,1]","","",""
19,"StrIntAct3Race","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖騎士",6,22,[],3,41,"[0,1]","","",""
20,"StrDexIntAct3Race","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,22,[],3,41,"[0,1]","","",""
21,"StrAct4Race","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Merodeador","Marauder","野蠻人",0,32,[],4,"","[0,1,5]","","",""
22,"DexRangedAct4Race","Ranger (Bow)","Rôdeuse (Arc)","Waldläuferin (Bogen)","レンジャー（弓）","레인저 (활)","Caçadora (Arco)","Охотница (лук)","Exploradora (arco)","Ranger (Bow)","遊俠 (弓)",3,32,[],4,"","[0,1,5]","","",""
23,"DexMeleeAct4Race","Ranger (Melee)","Rôdeuse (Mêlée)","Waldläuferin (Nahkampf)","レンジャー（近接）","레인저 (근접 무기)","Caçadora (Corpo a Corpo)","Охотница (ближний бой)","Exploradora (cuerpo a cuerpo)","Ranger (Melee)","遊俠 (近戰)",3,32,[],4,"","[0,1,5]","","",""
24,"IntAct4Race","Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,32,[],4,"","[0,1,5]","","",""
25,"DexIntAct4Race","Shadow","Ombre","Schatten","シャドウ","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",5,32,[],4,"","[0,1,5]","","",""
26,"StrDexAct4Race","Duelist","Duelliste","Duellant","デュエリスト","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",4,32,[],4,"","[0,1,5]","","",""
27,"StrIntCasterAct4Race","Templar","Templier","Templer","テンプラー","템플러","Templário","Жрец","Templario","Templar","聖騎士",6,32,[],4,"","[0,1,5]","","",""
28,"StrIntMeleeAct4Race","Templar (Melee)","Templier (Mêlée)","Templer (Nahkampf)","テンプラー（近接）","템플러 (근접 무기)","Templário (Corpo a Corpo)","Жрец (ближний бой)","Templario (cuerpo a cuerpo)","Templar (Melee)","聖騎士 (近戰)",6,32,[],6,"","[0,1,5]","","",""
29,"StrDexIntAct4Race","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",2,32,[],4,"","[0,1,5]","","",""
30,"StrBLAMTRace","Marauder","Maraudeur","Marodeur","マローダー","머라우더","Marauder","Дикарь","Merodeador","Marauder","野蠻人",0,1,[],7,5,[],"","",""
31,"DexBLAMTRace","Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Caçadora","Охотница","Exploradora","Ranger","遊俠",3,1,[],7,5,[],"","",""
