"rownum","Id","i32_8"
0,"Sweep",102193
1,"GroundSlam",85057
2,"VaalGroundSlam",76451
3,"DistanceScaledGroundSlam",74640
4,"VaalDistanceScaledGroundSlam",117288
5,"Cleave",84624
6,"TableCharge",77305
7,"ShieldCharge",125231
8,"NewShieldCharge",117347
9,"NewNewShieldCharge",76736
10,"EnduringCry",115488
11,"InspiringCry",94638
12,"AbyssalCry",79105
13,"LeapSlam",104313
14,"DoubleStrike",127008
15,"VaalDoubleStrikeTwo",100405
16,"VaalDoubleStrike",109761
17,"ElementalHit",69789
18,"ImmortalCall",65865
19,"DualStrike",130261
20,"BladeFlurry",98651
21,"Frenzy",84483
22,"CausticArrow",98935
23,"VaalCausticArrow",120600
24,"Backstab",116069
25,"DetonateDead",100463
26,"DetonateDeadNew",103926
27,"RepeatingVaalDetonateDead",73340
28,"FlickerStrike",90962
29,"BloodRage",80568
30,"SplitArrow",79268
31,"ColdSnap",124675
32,"VaalColdSnap",67386
33,"NewColdSnap",81097
34,"IceNova",75592
35,"Ignite",118428
36,"Fireball",109134
37,"Arc",110896
38,"RaiseZombie",126115
39,"RighteousFire",96180
40,"VaalRighteousFireDuration",76824
41,"VaalRighteousFire",109795
42,"FireWeapon",71121
43,"DamageInfusion",98205
44,"Discharge",119073
45,"TownPortal",107472
46,"VaalBreach",109807
47,"Melee",110984
48,"SandSpitterProjectile",66410
49,"SeaWitchWave",81566
50,"MonsterProjectileWeapon",119873
51,"CobraLash",66138
52,"BloodChieftainSummonMonkeys",81766
53,"BloodChieftainSummonGhostMonkeys",76766
54,"SkeletonProjectileFire",76462
55,"SkeletonProjectileCold",120815
56,"SkeletonProjectileLightning",88743
57,"Spark",96345
58,"IceSpear",85728
59,"RaiseSpectre",123928
60,"InfernalBlow",85329
61,"InfernalBlowNew",119414
62,"GlacialHammer",117248
63,"VaalGlacialHammer",116325
64,"FrostWall",74720
65,"FreezingPulse",84259
66,"ShockNova",116067
67,"ViperStrike",77063
68,"PhaseRun",109048
69,"FuseArrow",106547
70,"ExplosiveArrow",99315
71,"IncaBossExplosion",81048
72,"IncaBossSummon",129650
73,"IncaBossLaser",84560
74,"IncaBossTravel",85194
75,"IncaBossSpray",76695
76,"IncaBossRocks",86671
77,"IncaBossBallLightning",89604
78,"IncaBossIcestorm",124219
79,"TemporalChains",116674
80,"ElementalWeakness",119941
81,"DrainEssence",88666
82,"Punishment",72216
83,"Enfeeble",66809
84,"CriticalWeakness",91399
85,"ProjectileWeakness",101218
86,"Vulnerability",85893
87,"IncaMinionProjectile",71519
88,"LightningWarp",89978
89,"VaalLightningWarp",130206
90,"RaiseSkeleton",111963
91,"VaalSummonSkeletons",94617
92,"HeavyStrike",119491
93,"VaalHeavyStrike",125771
94,"ConversionStrike",99489
95,"UpgradeMinion",107622
96,"AliraRainOfArrows",85521
97,"OakRainOfArrows",79548
98,"RainOfArrows",128011
99,"ExpandingRainOfArrows",101136
100,"FireStorm",115819
101,"LightningStrike",67365
102,"VaalNewLightningStrike",89704
103,"VaalLightningStrike",94670
104,"LightningShield",89889
105,"FireShield",117050
106,"PowerShot",87123
107,"MassFrenzy",126957
108,"MassEndurance",96212
109,"MassPower",68204
110,"Puncture",108026
111,"LightningArrow",85166
112,"VaalLightningArrow",108473
113,"Taunt",87858
114,"CastAuraDamage",102773
115,"CastAuraSpeed",115130
116,"VaalAuraSpeed",97459
117,"CastAuraElementalResistances",110242
118,"CastAuraLifeRegen",117698
119,"VaalAuraLifeRegen",105375
120,"CastAuraEnergyShield",97361
121,"VaalAuraEnergyShield",67345
122,"CastAuraAccuracyAndCrit",67881
123,"CastAuraEvasion",101531
124,"VaalAuraDodge",76716
125,"CastAuraArmour",101098
126,"VaalAuraArmour",67559
127,"CastAuraFireDamage",100800
128,"CastAuraColdDamage",99378
129,"CastAuraLightningDamage",98760
130,"BurningArrow",66581
131,"CastAuraManaRegen",72806
132,"VaalAuraNoManaCost",76471
133,"SpawnInsect",96332
134,"DetonateMines",115753
135,"TotemEarthquake",119846
136,"TotemAuraLifeRegen",115398
137,"TrapConvert",119625
138,"TrapBeartrap",65706
139,"MineFreeze",96592
140,"TrapGroundFire",74194
141,"TrapGroundCausticCloud",109422
142,"TrapGroundIce",78237
143,"TotemTaunt",67451
144,"TotemConsumeCorpse",126881
145,"ReviveSkeleton",106844
146,"SuicideExplosion",110090
147,"SuicideExplosionSelf",106099
148,"SummonSpawn",65981
149,"ShadowProjectiles",124395
150,"InsectSpawnerSpit",80310
151,"ScavengerThrowFire",114464
152,"IceShot",89682
153,"VaalIceShot",114040
154,"ArcticBreath",124057
155,"IceShield",91324
156,"TotemFireSpray",107838
157,"BrutusHook",114911
158,"FireWeakness",82090
159,"ColdWeakness",71400
160,"LightningWeakness",70780
161,"LightningThorns",113441
162,"RangedDemonFemaleProjectile",118792
