"rownum","CurrencyItem","Code","bool_24","bool_25"
0,5,"chaos",1,1
1,29,"divine",1,1
2,10,"alch",1,1
3,15,"exalted",1,1
4,13,"alt",1,1
5,1,"mirror",1,1
6,26,"chrome",1,1
7,30,"blessed",1,1
8,27,"fusing",1,1
9,28,"jewellers",1,1
10,16,"regal",1,1
11,39,"vaal",1,1
12,8,"chance",1,1
13,226,"annul",1,1
14,12,"aug","",1
15,3,"regret",1,1
16,14,"scour",1,1
17,9,"transmute","",1
18,2,"wisdom","",1
19,17,"portal","",1
20,0,"scrap","",1
21,11,"whetstone","",1
22,19,"gcp",1,1
23,18,"bauble","",1
24,308,"offer","",1
25,311,"offer-dedication","",""
26,310,"offer-gift","",""
27,309,"offer-tribute","",""
28,1188,"lesser-ember",1,""
29,1189,"greater-ember",1,""
30,1190,"grand-ember",1,""
31,1191,"excep-ember",1,""
32,1192,"lesser-echor",1,""
33,1193,"greater-echor",1,""
34,1194,"grand-echor",1,""
35,1195,"excep-echor",1,""
36,441,"facetors","",""
37,230,"engineers","",""
38,231,"infused-engineers-orb","",""
