"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","f32_60","IncrementalEffectiveness"
0,"Fireball","[501,13396]",[613],[25],2.921,0,0.0495
1,"FireballAltX","[501,13396]",[613],[25],3.5,0,0.058
2,"FireballAltY","[501,13396,14841]","[613,19871]","[25,50]",2.921,0,0.0495
3,"FireballMercenary",[501],[613],[25],2.921,0,0.0474
4,"FireballMercenaryEncounter",[501],[613],[25],2.4,0,0.038
5,"FireballAltMercenary","[501,14841]",[19871],[50],2.921,0,0.0474
6,"FireballAltMercenaryEncounter","[501,14841]",[19871],[50],2.4,0,0.038
7,"FireballRoyale","[501,13396]","[613,5869,18548]","[25,35,9]",3.4315,0,0.0412
8,"MonsterFireball",[501],"[662,18548]","[-50,9]",2.5,0,0.0394
9,"MonsterFireballContactPos","[501,7213,4655,5943]","[662,18548]","[-50,9]",2.5,0,0.0394
10,"BlightMonsterFireball",[501],[18548],[9],2.5,0,0.045
11,"GemlingFireball1",[501],[18548],[9],1.7889,0,0.0394
12,"GemlingFireball2",[501],"[175,8779,6322,1217,319,6981,18548]","[2,100,-100,20,-35,20,9]",1.7889,0,0.0394
13,"GemlingFireball3",[501],"[319,18548]","[-35,9]",1.1889,0,0.0394
14,"FireballSuperNovaCitystalker","[501,1816]","[175,5869,18548]","[8,-80,9]",0.6111,0,0.0394
15,"MonsterFireball3Parallel",[501],"[175,8779,6322,6981,18548]","[2,100,-100,20,9]",1.1889,0,0.0394
16,"HolyFireElementalFireball",[501],"[662,18548]","[-50,9]",1.1889,0,0.0394
17,"LegionTemplarFireball",[501],"[662,18548]","[-50,9]",2.75,0,0.04
18,"HolyCitystalkerFireball",[501],"[662,18548]","[-50,9]",1.1889,0,0.0394
19,"AbberathMinionFireball","[501,7213,4655,5943]",[18548],[9],1.7833,0,0.0394
20,"AbberathMinionFireballMap","[501,7213,4655,5943]",[18548],[9],1.605,0,0.0394
21,"ExileShadowFireball","[1816,501,2366]","[662,175,218,216,177,18548]","[-50,18,50,3,-80,9]",0.9444,0,0.0394
22,"AvariusFireball","[501,4655]","[6275,18548]","[1,9]",4.4444,0,0.03
23,"AvariusWickermanFireball","[501,4655]","[6275,18548]","[1,9]",2,0,0.03
24,"AvariusJudgeFireball",[501],"[662,18548]","[-50,9]",1.1889,0,0.0394
25,"BlackguardClericBossFireball",[501],"[662,18548]","[-50,9]",1.1889,0,0.0394
26,"VaalSideAreaBossHolyFireball","[501,857,1816]","[662,863,865,175,177,18548]","[-50,20000,80,6,-30,9]",1.1889,0,0.0394
27,"PhoenixMinionFireball",[501],"[177,662,18548]","[-35,-50,9]",4.6444,0,0.0394
28,"IzaroDaemonFireball",[501],"[662,18548]","[-50,9]",1.1889,0,0.0394
29,"MonsterFireballSideArea","[857,501]","[863,865,18548]","[20000,80,9]",1.1889,0,0.0394
30,"ProphecyFireballBurst",[501],"[218,216,18548]","[100,3,9]",1.5222,0,0.0414
31,"EssenceFireballBurst",[501],"[218,18548]","[100,9]",1.5222,0,0.0414
32,"ProphecyMultiFireball",[501],"[175,18548]","[4,9]",1.1889,0,0.0394
33,"MonsterFireballStrMissionBoss",[501],"[177,1828,18548]","[-60,30,9]",0.5889,0,0.0394
34,"MonsterFireballKaomsChest",[501],[18548],[9],1.5222,0,0.0414
35,"MonsterMultiFireball",[501],"[662,175,18548]","[-50,2,9]",0.7778,0,0.0394
36,"MonsterMultiFireballSpectre",[501],"[662,175,18548]","[-50,2,9]",0.7778,0,0.0394
37,"MonsterSplitFireball","[1119,501]","[662,18548]","[-50,9]",0.9556,0,0.0394
38,"MonsterSplitFireballSpectre","[1119,501]","[662,18548]","[-50,9]",0.9556,0,0.0394
39,"MonsterLesserMultiFireball",[501],"[662,175,18548]","[-50,1,9]",0.8889,0,0.0394
40,"MonsterLesserMultiFireballSpectre",[501],"[662,175,18548]","[-50,1,9]",0.8889,0,0.0394
41,"MonsterFireballGoatmanBoss","[501,7213,4655,5943]","[1828,18548]","[30,9]",1.0222,0,0.0339
42,"MonsterFireballVaalSummonedSkeleton",[501],"[662,18548]","[-50,9]",0.9749,0,0.0475
43,"PyroFireball",[501],"[662,18548]","[-50,9]",1.1889,0,0.0394
44,"PyroFireballInvasion",[],"[662,18548]","[-50,9]",1.1889,0,0.0394
45,"BloodlinesYellowElementalPyroFireball",[501],"[662,2166,2167,2168,2520,18548]","[-50,8,800,30,-15,9]",0.4467,0,0.034
46,"PyroFireballBossSideArea",[501],"[662,218,18548]","[-50,120,9]",1.0222,0,0.0394
47,"PyroChaosFireball",[501],"[662,18548]","[-50,9]",1.3556,0,0.0285
48,"WbAnimatedItemChaosFireball","[501,2521,12602]","[1493,2166,2167,2168,1217,18548]","[35,3,700,20,-60,9]",1.3556,0,0.0285
49,"GladiatorBossFireball",[501],"[662,175,18548]","[-50,2,9]",0.9444,0,0.048
50,"ExileFireball",[501],"[662,18548]","[-50,9]",0.9444,0,0.048
51,"GemlingFireball",[501],"[662,613,175,18548]","[-50,100,2,9]",0.7778,0,0.04
52,"ProphecyDragonFireball",[501],"[662,177,175,5869,18548]","[-50,-50,2,75,9]",1.7778,0,0.0414
53,"FrostfireMageDragonFireball",[501],"[662,177,175,5869,18548]","[-50,-50,2,75,9]",1.7778,0,0.0414
54,"WestFireball","[501,4655,7213,5943]","[175,1217,177,18548]","[2,150,-70,9]",3,0,0.0414
55,"KitavaClericFireball",[501],"[662,177,613,5869,18548]","[-50,20,25,50,9]",1.7778,0,0.041
56,"MonsterFireballRepeat",[501],"[662,18548]","[-50,9]",1.1889,0,0.0394
57,"ReliquaryMonsterFireball","[501,197]","[2166,2167,2168,2520,1828,211,5869,18548]","[3,65,30,-15,80,167,-40,9]",3.8889,0,0.04
58,"FireballIncusionFire",[501],"[662,18548]","[-40,9]",0.9722,0,0.05
59,"FireballIncusionLightning",[501],"[662,18548]","[-40,9]",1.0938,0,0.05
60,"FireballIncursionChaos",[501],"[662,18548]","[-40,9]",2,0,0.025
61,"FireballIncursionChaosAtlasUber",[501],"[662,18548,177]","[-40,9,-50]",2,0,0.025
62,"FireballTaowuDash","[501,4655,197]","[7945,5869,18548]","[150,300,9]",6.2,0,0.04
63,"FireballTaowuCombo","[501,4655]",[18548],[9],2.33,0,0.038
64,"IceNovaMercenary",[620],[18548],[26],2.26,0,0.0436
65,"IceNovaMercenaryEncounter",[620],[18548],[26],2.26,0,0.038
66,"IceNovaProjectedMercenary","[620,10860]",[18548],[20],2.26,0,0.0436
67,"IceNovaProjectedMercenaryEncounter","[620,10860]",[18548],[20],2.26,0,0.038
68,"IceNova",[620],"[18548,457]","[26,25]",2.501,0,0.044
69,"IceNovaAltX",[620],"[18548,457,8552,19334]","[18,25,2,50]",1.35,0,0.0436
70,"IceNovaAltY",[620],"[457,18548]","[100,28]",1.82,0,0.044
71,"IceNovaTriggered",[620],"[18548,18073]","[26,100]",2.501,0,0.044
72,"IceNovaRoyale",[620],"[18548,8552,8625]","[26,2,-20]",1.76,0,0.0364
73,"BloodNovaStrIntBoss",[620],"[18548,2748,5869]","[26,-25,15]",1.7727,0,0.042
74,"IceNovaOnDamageTakenInvasion","[620,6662]","[18548,1887,1888,2748]","[26,100,35,-25]",1.7727,0,0.042
75,"IceNovaOnHitCannibalMaleMapBoss",[620],"[18548,2440,5869]","[26,100,73]",1.7727,0,0.042
76,"IceNovaOnDeathWaterElemental","[620,1872,1993,10024]","[18548,1820,2748,5869]","[26,100,-25,15]",1.7727,0,0.042
77,"IceNovaOnDeathStrMission","[620,1872,1993]","[18548,1820,2748,5869]","[26,100,-25,15]",2.7273,0,0.03
78,"DarkSeawitchIceNova",[620],"[18548,2748,5869]","[26,-25,246]",1.7727,0,0.042
79,"ProphecyBloodNova",[620],"[18548,2748,5869]","[26,-25,27]",1.95,0,0.042
80,"VaalIceNova","[620,9671,20742]","[18548,2170,2171,457]","[26,5,-15,25]",1.87,0,0.043
81,"TormentSpiritVaalIceNova","[620,10024]","[18548,2170,2171,2748,5869]","[26,5,-20,-25,15]",1.98,0,0.045
82,"StrMissionIceNovaTotem","[620,1975,10024]","[18548,216,218,2748,5869]","[26,4,100,-25,73]",1.2727,0,0.0455
83,"WbIceNova","[620,10024]","[18548,2748,5869]","[26,-25,73]",1.2727,0,0.0455
84,"NecropolisIceNova","[620,10024]",[18548],[24],1,0,0
85,"GhostIceNova",[620],"[18548,218,2748,5869]","[26,-40,-25,56]",2.7273,0,0.035
86,"EssenceDaemonIceNovaRepeat",[620],"[18548,2748,5869]","[26,-25,73]",1.2727,0,0.0455
87,"ProphecyIceNovaTotems","[620,1824,857]","[18548,863,865,1227]","[26,8000,50,5]",0.9727,0,0.0333
88,"TotemMapBossIceNovaTotems","[620,1824,857]","[18548,863,865,2272]","[26,8000,50,6]",0.9727,0,0.0333
89,"IceNovaTrapSideAreaBoss","[1822,620,331,8075,5968,2608]","[18548,870,1217,1185,2748]","[26,6000,-40,9,-25]",1.8182,0,0.034
90,"IceNovaWaterElementalMap",[620],"[18548,2748,8552,5869]","[26,-25,1,15]",1.0873,0,0.034
91,"IceNovaWaterElemental","[12730,620]","[18548,2748,5869]","[26,-25,15]",0.8364,0,0.0304
92,"IceNovaWaterElementalHellscape","[12730,620]",[5869],[15],0.8364,0,0.0304
93,"IceNovaWaterElementalInvasion",[620],"[18548,2748,5869]","[26,-25,15]",0.8364,0,0.0304
94,"MonsterTotemIceNova","[10024,620]","[18548,2748,5869]","[26,-25,15]",0.9727,0,0.0333
95,"PopUpTotemIceNova","[10024,620]","[18548,2748,218,5869]","[26,-25,30,15]",1.4545,0,0.052
96,"WbIceNovaSupport",[620],"[18548,2748,5869]","[26,-25,15]",0.9727,0,0.0333
97,"WbIceNovaSupport2","[620,1890]","[18548,358,2748,5869]","[26,4000,-25,15]",0.9727,0,0.0333
98,"TotemBossTeamAAtollIceNovaChilledGround","[620,1890]","[18548,358,2748,4891,8552,5869]","[26,4000,-25,100,1,62]",2.9455,0,0.06
99,"IzaroDaemonIceNova",[620],"[18548,2748,5869]","[26,-25,15]",1.3636,0,0.035
100,"TempestDaemonIceNova",[620],"[18548,2748,5869]","[26,-25,15]",4.5,0,0.06
101,"ShrineIceNova","[620,1890,10024]","[18548,358,2748,5869]","[26,4000,-25,15]",0.9727,0,0.0333
