"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","NodeIcon","Stats","StatValues","HASH16","PassiveBG","Effect","Type","Limit","RequiresAdjacent","MaxAdjacent","AllocatedPassiveSkill"
0,"Ngamahu1","Tattoo of the Ngamahu Firewalker","Tatouage du Marchefeu de Ngamahu","Tätowierung des Ngamahu-Feuerläufers","ナマフの火歩きのタトゥー","나마후 화염보행자의 문신","Tatuagem do Andarilho Flamejante de Ngamahu","Татуировка Огненного ходока Нгамаху","Tatuaje del caminante de fuego Ngamahu","ลายสัก ผู้ก้าวเพลิงนามาฮู","努葛瑪呼火行者的紋身","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[144],[6],23594,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
1,"Ngamahu2","Tattoo of the Ngamahu Shaman","Tatouage du Chaman de Ngamahu","Tätowierung des Ngamahu-Schamanen","ナマフのシャーマンのタトゥー","나마후 주술사의 문신","Tatuagem do Xamã de Ngamahu","Татуировка Шамана Нгамаху","Tatuaje de chamán de Ngamahu","ลายสัก คนทรงนามาฮู","努葛瑪呼薩滿的紋身","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[207],[10],40078,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
2,"Ngamahu3","Tattoo of the Ngamahu Warrior","Tatouage du Guerrier de Ngamahu","Tätowierung des Ngamahu-Kriegers","ナマフの戦士のタトゥー","나마후 전사의 문신","Tatuagem do Guerreiro de Ngamahu","Татуировка Воина Нгамаху","Tatuaje de guerrero de Ngamahu","ลายสัก นักรบนามาฮู","努葛瑪呼戰士的紋身","Art/2DArt/SkillIcons/passives/firedamage.dds",[42],[5],23459,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
3,"Ngamahu4","Tattoo of the Ngamahu Warmonger","Tatouage du Belliciste de Ngamahu","Tätowierung des Ngamahu-Kriegstreibers","ナマフのウォーモンガーのタトゥー","나마후 전쟁광의 문신","Tatuagem do Guerrilheiro de Ngamahu","Татуировка Зачинщика войны Нгамаху","Tatuaje de belicista de Ngamahu","ลายสัก ผู้ก่อศึกนามาฮู","努葛瑪呼戰鬥王的紋身","Art/2DArt/SkillIcons/passives/firedamage.dds",[610],[5],2750,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
4,"Ngamahu5","Tattoo of the Ngamahu Woodcarver","Tatouage du Sculpteur sur bois de Ngamahu","Tätowierung des Ngamahu-Holzschnitzers","ナマフの木彫り師のタトゥー","나마후 목각사의 문신","Tatuagem do Talhador de Ngamahu","Татуировка Резчика по дереву Нгамаху","Tatuaje de tallador de madera de Ngamahu","ลายสัก นักสลักไม้นามาฮู","努葛瑪呼木工的紋身","Art/2DArt/SkillIcons/passives/totemandbrandlife.dds",[166],[5],25283,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,0,""
5,"Ngamahu6","Loyalty Tattoo of Kaom","Tatouage de Loyauté de Kaom","Stammestätowierung von Kaom","カオムの忠誠のタトゥー","카옴의 충성 문신","Tatuagem de Lealdade a Kaom","Татуировка верности Каому","Tatuaje de lealtad a Kaom","ลายสักภักดี คอมม์","岡姆的忠誠紋身","Art/2DArt/SkillIcons/NgamahuTribeSkill.dds","[18776,18808]","[1,1]",53029,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG",75541,1,0,0,0,""
6,"Ngamahu7","Tattoo of the Ngamahu Makanga","Tatouage du Makanga de Ngamahu","Tätowierung des Ngamahu-Makangas","ナマフのマカンガのタトゥー","나마후 마캉가의 문신","Tatuagem da Makanga de Ngamahu","Татуировка Маканги Нгамаху","Tatuaje de makanga de Ngamahu","ลายสัก มาคันกะนามาฮู","努葛瑪呼鑄造的紋身","Art/2DArt/SkillIcons/passives/FireResistNode.dds",[941],[1],48045,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/NgamahuTribePassiveBG","",2,"",0,1,""
7,"Kitava1","Tattoo of the Kitava Blood Drinker","Tatouage du Buveur de sang de Kitava","Tätowierung des Kitava-Bluttrinkers","キタヴァの血飲みのタトゥー","키타바 피 흡수자의 문신","Tatuagem Hematofágica de Kitava","Татуировка Кровопийцы Китавы","Tatuaje de bebedor de sangre de Kitava","ลายสัก ผู้ดื่มเลือดคิทาวา","奇塔弗飲血者的紋身","Art/2DArt/SkillIcons/passives/lifegainpertarget.dds",[2690],[50],9722,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
8,"Kitava2","Tattoo of the Kitava Rebel","Tatouage du Rebelle de Kitava","Tätowierung des Kitava-Rebels","キタヴァの反逆者のタトゥー","키타바 반란자의 문신","Tatuagem do Rebelde de Kitava","Татуировка Смутьяна Китавы","Tatuaje de rebelde de Kitava","ลายสัก กบฏคิทาวา","奇塔弗叛亂的紋身","Art/2DArt/SkillIcons/passives/Blood2.dds",[4428],[10],39618,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
9,"Kitava3","Tattoo of the Kitava Warrior","Tatouage du Guerrier de Kitava","Tätowierung des Kitava-Kriegers","キタヴァの戦士のタトゥー","키타바 전사의 문신","Tatuagem do Guerreiro de Kitava","Татуировка Воина Китавы","Tatuaje de guerrero de Kitava","ลายสัก นักรบคิทาวา","奇塔弗戰士的紋身","Art/2DArt/SkillIcons/passives/damage.dds",[26],[5],48056,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
