"rownum","MonsterVarietiesKey","BestiaryGroupsKey","BestiaryEncountersKey","bool_48","IconSmall","Icon","Boss_MonsterVarietiesKey","BestiaryGenusKey","bool_97","BestiaryCapturableMonstersKey","IsDisabled","i32_107","bool_111"
0,107,3,10,"","","","",0,"","","",1470,1
1,109,3,10,"","","","",0,"","","",1470,1
2,110,3,10,"","","","",0,"",1,"",1470,1
3,123,3,10,"","","","",0,"","","",1470,1
4,124,3,10,"","","","",0,"","","",1470,1
5,125,3,10,"","","","",0,"","","",1470,1
6,126,3,10,"","","","",0,"","","",1470,1
7,127,3,10,"","","","",0,"","","",1470,1
8,131,3,10,"","","","",0,"","","",1470,1
9,135,3,10,"","","",127,0,"",7,1,1470,""
10,142,3,10,"","","","",0,"","","",1470,1
11,143,3,10,"","","","",0,"","","",1470,1
12,227,1,6,"","","","",1,"","","",1470,1
13,228,1,6,"","","","",1,"","",1,1470,""
14,230,1,6,"","","","",1,"","","",1470,1
15,246,1,6,"","","","",1,"","",1,1470,""
16,247,1,6,"","","","",1,"","","",1470,1
17,248,1,6,"","","","",1,"",16,"",1470,1
18,249,1,6,"","","","",1,"",15,"",1470,1
19,274,1,6,"","","","",2,"","","",1470,1
20,289,1,6,"","","","",2,"","","",1470,1
21,290,1,6,"","","","",2,"","","",1470,1
22,292,1,6,"","","","",2,"","","",1470,1
23,293,1,6,"","","","",2,"","","",1470,1
24,294,1,6,"","","","",2,"",23,"",1470,1
25,295,1,6,"","","","",1,"","","",1470,1
26,296,1,6,"","","","",1,"","","",1470,1
27,318,2,7,"","","","",4,"","","",1470,1
28,319,2,7,"","","","",4,"","","",1470,1
29,320,2,7,"","","","",4,"","","",1470,1
30,322,2,7,"","","","",4,"","",1,1470,""
31,335,0,1,"","","","",3,"","",1,1470,""
32,338,0,1,"","","","",3,"","","",1470,1
33,342,0,1,"","","","",3,"","","",1470,1
34,343,0,1,"","","","",3,"","","",1470,1
35,346,0,2,"","","","",3,"","","",1470,1
36,349,0,2,"","","","",3,"","","",1470,1
37,351,0,1,"","","","",3,"","","",1470,1
38,353,0,1,"","","","",3,"",37,"",1470,1
39,359,0,1,"","","","",3,"","","",1470,1
40,361,0,1,"","","",359,3,"",39,1,1470,""
41,362,0,1,"","","",359,3,"",39,1,1470,""
42,363,0,1,"","","",359,3,"",39,1,1470,""
43,365,1,5,"","","","",5,"","","",1470,1
44,368,1,5,"","","","",5,"","","",1470,1
45,369,1,5,"","","","",5,"",44,"",1470,1
46,370,1,5,"","","","",5,"","","",1470,1
47,376,1,5,"","","","",5,"","","",1470,1
48,377,1,5,"","","","",5,"",47,"",1470,1
49,378,1,4,"","","","",28,"","","",1470,1
50,382,1,4,"","","","",28,"","","",1470,1
51,383,1,4,"","","","",28,"","","",1470,1
52,389,1,4,"","","","",28,"","","",1470,1
53,390,1,4,"","","","",28,"",52,"",1470,1
54,392,1,5,"","","","",5,"","","",1470,1
55,394,1,5,"","","","",5,"","","",1470,1
56,445,5,16,"","","","",6,"","","",1470,1
57,446,5,16,"","","","",6,"","",1,1470,""
58,453,5,16,"","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/AlbinoRhoa","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/AlbinoRhoa","",6,"","",1,1470,""
59,455,5,16,"","","","",6,"","","",1470,1
60,456,5,16,"","","","",6,"","","",1470,1
61,463,5,16,"","","","",6,"","","",1470,1
62,468,5,16,"","","","",6,"","","",1470,1
63,471,5,16,"","","","",6,"","",1,1470,""
64,474,5,16,"","","","",6,"","",1,1470,""
65,477,5,16,"","","","",6,"","","",1470,1
66,478,5,16,"","","","",6,"",65,"",1470,1
67,479,10,31,"","","","",7,"","","",1470,1
68,485,10,31,"","","","",7,"","",1,1470,""
69,487,10,31,"","","","",7,"","","",1470,1
70,488,10,31,"","","","",7,"","","",1470,1
71,489,10,31,"","","","",7,"","","",1470,1
72,490,10,31,"","","","",7,"","",1,1470,""
73,491,10,31,"","","","",7,"",72,1,1470,""
74,492,10,31,"","","",489,7,"",71,"",1470,1
75,493,10,31,"","","","",7,"","",1,1470,""
76,494,10,31,"","","","",7,"","",1,1470,""
77,496,10,31,"","","","",7,"",76,"",1470,1
78,499,10,31,"","","","",7,"",71,1,1470,""
