"rownum","StatSet","GemLevel","PlayerLevelReq","SpellCritChance","AttackCritChance","BaseMultiplier","DamageEffectiveness","BaseResolvedValues","AdditionalStatsValues","GrantedEffects","AdditionalFlags","FloatStats","InterpolationBases","AdditionalStats","StatInterpolations","FloatStatsValues"
0,0,1,1,600,0,0,16000,"[9,14]",[9],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
1,0,2,2,600,0,0,16000,"[10,16]",[9],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
2,0,3,4,600,0,0,16000,"[13,20]",[10],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
3,0,4,7,600,0,0,17000,"[19,28]",[10],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
4,0,5,11,600,0,0,17000,"[28,42]",[10],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
5,0,6,16,600,0,0,18000,"[43,65]",[11],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
6,0,7,20,600,0,0,18000,"[60,91]",[11],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
7,0,8,24,600,0,0,19000,"[83,124]",[11],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
8,0,9,28,600,0,0,20000,"[111,167]",[11],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
9,0,10,32,600,0,0,20000,"[148,222]",[12],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
10,0,11,36,600,0,0,21000,"[195,292]",[12],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
11,0,12,40,600,0,0,22000,"[255,383]",[12],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
12,0,13,44,600,0,0,22000,"[332,498]",[12],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
13,0,14,48,600,0,0,23000,"[429,643]",[13],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
14,0,15,52,600,0,0,24000,"[552,828]",[13],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
15,0,16,56,600,0,0,24000,"[707,1061]",[13],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
16,0,17,60,600,0,0,25000,"[903,1354]",[13],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
17,0,18,64,600,0,0,26000,"[1149,1723]",[14],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
18,0,19,67,600,0,0,26000,"[1374,2061]",[14],[0],[],"[1474,1475]","[0,0]",[18406],"[3,3,1]","[0.8,1.2]"
