"rownum","StatSet","GemLevel","PlayerLevelReq","SpellCritChance","AttackCritChance","BaseMultiplier","DamageEffectiveness","BaseResolvedValues","AdditionalStatsValues","GrantedEffects","AdditionalFlags","FloatStats","InterpolationBases","AdditionalStats","StatInterpolations","FloatStatsValues"
0,0,1,1,600,0,0,16000,"[9,14]",[9],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
1,0,2,2,600,0,0,16000,"[10,16]",[9],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
2,0,3,4,600,0,0,16000,"[13,20]",[10],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
3,0,4,7,600,0,0,17000,"[19,28]",[10],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
4,0,5,11,600,0,0,17000,"[28,42]",[10],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
5,0,6,16,600,0,0,18000,"[43,65]",[11],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
6,0,7,20,600,0,0,18000,"[60,91]",[11],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
7,0,8,24,600,0,0,19000,"[83,124]",[11],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
8,0,9,28,600,0,0,20000,"[111,167]",[11],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
9,0,10,32,600,0,0,20000,"[148,222]",[12],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
10,0,11,36,600,0,0,21000,"[195,292]",[12],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
11,0,12,40,600,0,0,22000,"[255,383]",[12],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
12,0,13,44,600,0,0,22000,"[332,498]",[12],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
13,0,14,48,600,0,0,23000,"[429,643]",[13],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
14,0,15,52,600,0,0,24000,"[552,828]",[13],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
15,0,16,56,600,0,0,24000,"[707,1061]",[13],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
16,0,17,60,600,0,0,25000,"[903,1354]",[13],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
17,0,18,64,600,0,0,26000,"[1149,1723]",[14],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
18,0,19,67,600,0,0,26000,"[1374,2061]",[14],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
19,0,20,70,600,0,0,27000,"[1640,2460]",[14],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
20,0,21,72,600,0,0,27000,"[1845,2767]",[14],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
21,0,22,74,600,0,0,27000,"[2073,3110]",[15],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
22,0,23,76,600,0,0,27000,"[2328,3493]",[15],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
23,0,24,78,600,0,0,27000,"[2614,3921]",[15],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
24,0,25,80,600,0,0,27000,"[2933,4400]",[15],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
25,0,26,82,600,0,0,27000,"[3289,4934]",[15],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
26,0,27,84,600,0,0,27000,"[3687,5531]",[16],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
27,0,28,86,600,0,0,27000,"[4131,6197]",[16],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
28,0,29,88,600,0,0,27000,"[4627,6940]",[16],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
29,0,30,90,600,0,0,27000,"[5180,7770]",[16],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
30,0,31,91,600,0,0,27000,"[5480,8219]",[16],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
31,0,32,92,600,0,0,27000,"[5796,8694]",[16],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
32,0,33,93,600,0,0,27000,"[6131,9196]",[16],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
33,0,34,94,600,0,0,27000,"[6484,9726]",[17],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
34,0,35,95,600,0,0,27000,"[6856,10285]",[17],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
35,0,36,96,600,0,0,27000,"[7250,10875]",[17],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
36,0,37,97,600,0,0,27000,"[7665,11498]",[17],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
37,0,38,98,600,0,0,27000,"[8104,12156]",[17],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
38,0,39,99,600,0,0,27000,"[8567,12850]",[17],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
39,0,40,100,600,0,0,27000,"[9055,13583]",[17],[0],[],"[1476,1477]","[0,0]",[18505],"[3,3,1]","[0.8,1.2]"
40,1,1,1,20,0,0,51000,"[11,16]","[9,-60]",[1],[],"[1476,1477]","[0,0]","[18505,177]","[3,3,1,1]","[0.8,1.2]"
41,1,2,2,20,0,0,51000,"[13,19]","[9,-59]",[1],[],"[1476,1477]","[0,0]","[18505,177]","[3,3,1,1]","[0.8,1.2]"
42,1,3,4,20,0,0,51000,"[16,25]","[10,-58]",[1],[],"[1476,1477]","[0,0]","[18505,177]","[3,3,1,1]","[0.8,1.2]"
43,1,4,7,20,0,0,51000,"[24,36]","[10,-57]",[1],[],"[1476,1477]","[0,0]","[18505,177]","[3,3,1,1]","[0.8,1.2]"
