"rownum","Projectile","Variant","[rid]_12","i32_28","rid_32"
0,"default_ranged",0,[60],3,""
1,"default_ranged",1,[214],3,""
2,"default_ranged",2,[342],3,""
3,"default_ranged",3,[577],3,""
4,"default_ranged",4,[578],3,""
5,"default_ranged",5,[615],3,""
6,"default_ranged",6,[632],3,""
7,"default_ranged",7,[633],3,""
8,"default_ranged",8,[634],3,""
9,"default_ranged",9,[635],3,""
10,"default_ranged",10,[636],3,""
11,"default_ranged",11,[637],3,""
12,"default_ranged",12,[638],3,""
13,"default_ranged",13,[639],3,""
14,"default_ranged",14,[640],3,""
15,"default_ranged",15,[641],3,""
16,"default_ranged",16,[642],3,""
17,"default_ranged",17,[643],3,""
18,"default_ranged",18,[726],3,""
19,"default_ranged",19,[701],3,""
20,"default_ranged",20,[710],3,""
21,"default_ranged",21,[727],3,""
22,"default_ranged",22,[734],3,""
23,"default_ranged",23,[735],3,""
24,"default_ranged",24,[736],3,""
25,"default_ranged",25,[836],3,""
26,"default_ranged",26,[839],3,""
27,"default_ranged",27,[847],3,""
28,"default_ranged",28,[946],3,""
29,"default_ranged",29,[994],3,""
30,"default_ranged",30,[1001],3,""
31,"default_ranged",31,[1085],3,""
32,"default_ranged",32,[1096],3,""
33,"default_ranged",33,[1097],3,""
34,"default_ranged",34,[1098],3,""
35,"default_ranged",35,[61],3,""
36,"cremation_projectile",0,[384],3,""
37,"cremation_projectile",1,[384],3,""
38,"cremation_projectile",2,[427],3,""
39,"cremation_projectile",3,[431],3,""
40,"cremation_projectile",4,[385],3,""
41,"cremation_projectile",5,[1079],3,""
42,"cremation_projectile",6,[1095],3,""
43,"cremation_projectile",7,[1099],3,""
44,"cremation_projectile",8,[1283],3,""
45,"soulfeast_primary",0,[1101],3,""
46,"soulfeast_secondary",0,[1102],3,""
47,"soulfeast_primary_short",0,[1103],3,""
48,"soulfeast_secondary_short",0,[1104],3,""
49,"soulfeast_primary",1,[1199],3,""
50,"soulfeast_secondary",1,[1200],3,""
51,"soulfeast_primary_short",1,[1201],3,""
52,"soulfeast_secondary_short",1,[1202],3,""
53,"igniting_flask",0,[1118],3,""
54,"spark",0,[17],3,""
55,"spark",1,[18],3,""
56,"spark",2,[19],3,""
57,"spark",3,[265],3,""
58,"spark",4,[365],3,""
59,"spark",5,[368],3,""
60,"spark",6,[17],3,""
61,"spark",7,[444],3,""
62,"spark",8,[459],3,""
63,"spark",9,[486],3,""
64,"spark",10,[499],3,""
65,"spark",11,[548],3,""
66,"spark",12,[627],3,""
67,"spark",13,[737],3,""
68,"spark",14,[744],3,""
69,"spark",15,[796],3,""
70,"spark",16,[943],3,""
71,"spark",17,[1062],3,""
72,"spark",18,[1063],3,""
73,"spark",19,[1119],3,""
74,"spark",20,[1221],3,""
75,"spark_monster",1,[96],3,""
76,"spark_monster",2,[97],3,""
77,"spark_monster",3,[889],3,""
78,"spark_monster",4,[890],3,""
79,"spark_tornado",0,[368],3,""
80,"spark_tornado",2,[371],3,""
81,"spark_tornado",17,[369],3,""
82,"spark_tornado",18,[370],3,""
83,"spark_tornado",19,[372],3,""
84,"lightning_strike_projectile",0,[30],3,""
85,"lightning_strike_projectile_lite",0,[1143],3,""
86,"lightning_strike_projectile",1,[30],3,""
87,"lightning_strike_projectile_lite",1,[1143],3,""
88,"lightning_strike_projectile",2,[1127],3,""
89,"lightning_strike_projectile_lite",2,[1127],3,""
90,"lightning_strike_projectile",3,[1190],3,""
91,"lightning_strike_projectile_lite",3,[1190],3,""
92,"lightning_strike_projectile",4,[1214],3,""
93,"lightning_strike_projectile_lite",4,[1214],3,""
94,"lightning_strike_projectile",5,[1251],3,""
95,"lightning_strike_projectile_lite",5,[1251],3,""
96,"burning_arrow",0,[64],3,""
97,"burning_arrow_vaal",0,[65],3,""
98,"burning_arrow",1,[1132],3,""
99,"burning_arrow_vaal",1,[1133],3,""
100,"eye_of_winter_ball",0,[1120],3,""
101,"eye_of_winter_ball",1,[1147],3,""
