"rownum","i32_0","[rid]_4","[rid]_20","[i32]_36","bool_52","i32_53","i32_57","i32_61","i32_65","bool_69","[i32]_70","bool_86","i32_87","bool_91"
0,0,[95],[94],[7],1,2,0,0,120,"",[],"",10,""
1,1,[],[172],[71],1,2,0,0,120,"",[],"",10,""
2,2,[],[191],[66],1,1,0,0,120,"",[],"",10,""
3,3,[],[221],[50],1,2,10,4,120,"",[],"",10,""
4,4,[],[221],[75],1,2,0,0,120,"",[],"",10,""
5,5,[],[242],[0],1,3,0,0,120,"",[],"",10,""
6,6,[],[245],[0],1,3,0,0,120,"",[],"",10,""
7,7,[],[246],[0],1,3,0,0,120,"",[],"",10,""
8,8,[],[248],[0],1,3,0,0,120,"",[],"",10,""
9,9,[],"[249,250,251,252,253,254]","[36,66,67,57,55,68,54,51]",1,2,15,14,120,"",[],"",10,""
10,10,[],"[255,256,257,258,259]",[49],1,2,30,25,120,"",[],"",10,1
11,11,[],"[260,261,262,263,264]",[53],1,2,30,25,120,"",[],"",10,1
12,12,[],"[285,286,287,288]","[44,45,48,49]","",2,10,22,120,"",[],"",10,1
13,13,[],[320],"[42,43,44,45,46,47,48,49,50]",1,2,0,0,120,"",[],"",10,""
14,14,[],[310],[0],"",2,0,0,120,"",[],"",10,""
15,15,[],[366],[2],1,2,0,0,120,"",[],"",10,1
16,16,[],[371],[35],1,2,0,0,120,"",[],"",10,""
17,17,[],[371],[37],1,2,0,0,120,"",[],"",10,""
18,18,[372],[373],[2],1,2,0,0,200,1,[1],1,5,""
19,19,[],[404],[16],1,2,0,0,120,"",[],"",10,""
20,20,[],[405],[17],1,2,0,0,120,"",[],"",10,""
21,21,[],[406],[18],1,2,0,0,120,"",[],"",10,""
22,22,[],[423],[1],1,2,0,0,120,1,[1],1,7,""
23,23,[],[475],[29],1,2,8,3,60,"",[],"",4,""
24,24,[],[475],[26],1,2,8,3,60,"",[],"",4,""
25,25,[],[493],[36],1,2,4,2,120,"",[],"",2,""
26,26,[],[523],[29],1,2,8,3,60,"",[],"",4,""
27,27,[],[523],[26],1,2,8,3,60,"",[],"",4,""
28,28,[],[532],[84],1,2,40,15,70,"",[],"",5,1
29,29,[],"[542,543,544,545]","[44,45,48,49]","",2,10,22,70,"",[],"",10,1
30,30,[],[551],"[1,2]",1,2,0,0,120,"",[],"",2,1
31,31,[],[580],[50],"",3,13,4,60,"",[],"",0,""
32,32,[],[624],"[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",1,2,0,0,120,"",[],"",10,""
33,33,[],[627],[82],1,3,30,5,120,"",[],"",2,""
34,34,[],[641],[29],1,2,8,3,60,"",[],"",4,""
35,35,[],[641],[26],1,2,8,3,60,"",[],"",4,""
36,36,[],[636],[0],1,3,0,0,120,1,[8],1,0,""
37,37,[],[640],[0],1,3,0,0,120,1,[8],1,0,""
38,38,[],[642],[158],1,2,5,0,85,"",[],"",4,""
