"rownum","Id","DGRFile","i32_16","i32_20","i32_24","[i32]_28","i32_44"
0,"TwilightStrand4","Metadata/Terrain/Act1/Area1/Graphs/macro_beach4.tgr",105,70,100,[0],59
1,"TwilightStrand5","Metadata/Terrain/Act1/Area1/Graphs/macro_beach5.tgr",105,70,100,[0],59
2,"TwilightStrand6","Metadata/Terrain/Act1/Area1/Graphs/macro_beach6.tgr",105,70,100,[0],59
3,"ShoreEncampTownNormal","Metadata/Terrain/Act1/Town/Graphs/beachtown.dgr",105,150,100,[0],59
4,"Coast1_1_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_1_1.tgr",105,100,100,[0],59
5,"Coast1_1_4","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_1_4.tgr",105,100,100,[0],59
6,"Coast1_2_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_2_1.tgr",105,100,100,[0],59
7,"Coast1_2_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_2_2.tgr",105,100,100,[0],59
8,"Coast1_3_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_3_1.tgr",105,100,100,[0],59
9,"Coast1_4_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_4_1.tgr",105,100,100,[0],59
10,"Coast1_4_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_4_2.tgr",105,100,100,[0],59
11,"Coast1_5_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_5_1.tgr",105,100,100,[0],59
12,"Coast1_5_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_5_2.tgr",105,100,100,[0],59
13,"Island1_1","Metadata/Terrain/Act1/Area2a/Graphs/island1_1.tgr",105,100,100,[0],59
14,"Island1_2","Metadata/Terrain/Act1/Area2a/Graphs/island1_2.tgr",105,100,100,[0],59
15,"Island1_3","Metadata/Terrain/Act1/Area2a/Graphs/island1_3.tgr",105,100,100,[0],59
16,"Island1_4","Metadata/Terrain/Act1/Area2a/Graphs/island1_4.tgr",105,100,100,[0],59
17,"Island1_5","Metadata/Terrain/Act1/Area2a/Graphs/island1_5.tgr",105,100,100,[0],59
18,"Island2_1","Metadata/Terrain/Act1/Area2a/Graphs/island2_1.tgr",105,100,100,[0],59
19,"Island2_2","Metadata/Terrain/Act1/Area2a/Graphs/island2_2.tgr",105,100,100,[0],59
20,"Island2_3","Metadata/Terrain/Act1/Area2a/Graphs/island2_3.tgr",105,100,100,[0],59
21,"Island3_1","Metadata/Terrain/Act1/Area2a/Graphs/island3_1.tgr",105,100,100,[0],59
22,"Island3_2","Metadata/Terrain/Act1/Area2a/Graphs/island3_2.tgr",105,100,100,[0],59
23,"Island3_3","Metadata/Terrain/Act1/Area2a/Graphs/island3_3.tgr",105,100,100,[0],59
24,"Island3_4","Metadata/Terrain/Act1/Area2a/Graphs/island3_4.tgr",105,100,100,[0],59
25,"Island4_1","Metadata/Terrain/Act1/Area2a/Graphs/island4_1.tgr",105,100,100,[0],59
26,"Island4_2","Metadata/Terrain/Act1/Area2a/Graphs/island4_2.tgr",105,100,100,[0],59
27,"Island4_3","Metadata/Terrain/Act1/Area2a/Graphs/island4_3.tgr",105,100,100,[0],59
28,"MudFlats1_1","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_1.tgr",120,100,100,[0],59
29,"MudFlats1_2","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_2.tgr",120,100,100,[0],59
30,"MudFlats1_3","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_3.tgr",120,100,100,[0],59
31,"MudFlats2_1","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp2_1.tgr",120,100,100,[0],59
32,"MudFlats2_2","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp2_2.tgr",120,100,100,[0],59
33,"MudFlats2_3","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp2_3.tgr",120,100,100,[0],59
34,"MudFlats3_2","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp3_2.tgr",120,100,100,[0],59
35,"MudFlatsA1","Metadata/Terrain/Act1/Area3a/Graphs/fetid_1.dgr",120,100,50,[0],59
36,"MudFlatsA2","Metadata/Terrain/Act1/Area3a/Graphs/fetid_2.dgr",120,100,50,[0],59
37,"MudFlatsA3","Metadata/Terrain/Act1/Area3a/Graphs/fetid_3.dgr",120,100,50,[0],59
38,"MudFlatsA4","Metadata/Terrain/Act1/Area3a/Graphs/fetid_4.dgr",120,100,50,[0],59
39,"FloodedDepths1","Metadata/Terrain/Act1/Area4Level0/Graphs/cavetest.dgr",105,30,50,[0],59
40,"FloodedDepths2","Metadata/Terrain/Act1/Area4Level0/Graphs/cavetest2.dgr",105,30,50,[0],59
41,"FloodedDepths3","Metadata/Terrain/Act1/Area4Level0/Graphs/cavetest3.dgr",105,30,50,[0],59
