"rownum","Id","ArtString_SMFile"
0,"BlackguardZombie","Art\\Models\\MONSTERS\\ZombieBlackguard\\Zombie_BlackGuard_arrows1.sm ! Art\\Models\\MONSTERS\\ZombieBlackguard\\Zombie_BlackGuard_arrows2.sm ! Art\\Models\\MONSTERS\\ZombieBlackguard\\Zombie_BlackGuard_arrows3.sm"
1,"BanditCaster","Art\\Models\\MONSTERS\\Bandits\\HelmetDexInt8Bandit2.sm"
2,"BanditBow","Art\\Models\\Items\\Armours\\BodyArmours\\BodyStr2A\\BodyStr2AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStr4A\\BodyStr4AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrDex1A\\BodyStrDex1AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrInt1A\\BodyStrInt1AmBandit.sm ~ bandit_upperbody_0Shape1 & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm & Art\\Models\\Items\\Armours\\Helmets\\HelmetStr1\\HelmetStr1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStr3\\HelmetStr3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex1\\HelmetStrDex1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex2\\HelmetStrDex2mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex3\\HelmetStrDex3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt1\\HelmetStrInt1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt2\\HelmetStrInt2mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt3\\HelmetStrInt3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2"
3,"BanditBowParasiteFace","Art\\Models\\Items\\Armours\\BodyArmours\\BodyStr2A\\BodyStr2AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStr4A\\BodyStr4AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrDex1A\\BodyStrDex1AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrInt1A\\BodyStrInt1AmBandit.sm ~ bandit_upperbody_0Shape1 & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm & Art\\Models\\MONSTERS\\Bandits\\BanditParasiteHelmet.sm"
4,"BanditBowBoss2","Art\\Models\\Items\\Armours\\BodyArmours\\Unique\\KintsugiBodyArmour\\KintsugiBodyBandit.sm & Art\\Models\\Items\\Armours\\Helmets\\Microtransactions\\DragonSet\\DragonSetHelmetBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\Microtransactions\\GloomArmour\\GloomArmourGlovesBandit.sm & Art\\Models\\Items\\Armours\\Boots\\Microtransactions\\GloomArmour\\GloomArmourBootsBandit.sm bandit_head_0Shape2 -bandit_head_0Shape3 -bandit_head_0Shape5 -bandit_legs_0Shape1 -bandit_legs_0Shape2 -bandit_legs_0Shape3 -bandit_legs_0Shape5 -bandit_Lhand_0Shape1 -bandit_Lhand_0Shape2 -bandit_Lhand_0Shape3 -bandit_Lhand_0Shape5 -bandit_Rhand_0Shape1 -bandit_Rhand_0Shape2 -bandit_Rhand_0Shape3 -bandit_Rhand_0Shape5 -bandit_upperbody_0Shape1 -bandit_upperbody_0Shape2 -bandit_upperbody_0Shape3 -bandit_upperbody_0Shape5"
5,"BanditChampionMelee","Art\\Models\\MONSTERS\\Bandits\\BodyStr2BBandit.sm & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm & Art\\Models\\Items\\Armours\\Helmets\\HelmetStr1\\HelmetStr1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStr3\\HelmetStr3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex1\\HelmetStrDex1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex2\\HelmetStrDex2mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex3\\HelmetStrDex3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt1\\HelmetStrInt1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt2\\HelmetStrInt2mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt3\\HelmetStrInt3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2"
6,"BanditChampionMeleeParasiteFace","Art\\Models\\MONSTERS\\Bandits\\BodyStr2BBandit.sm & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm & Art\\Models\\MONSTERS\\Bandits\\BanditParasiteHelmet.sm"
7,"BanditChampionBow","Art\\Models\\MONSTERS\\Bandits\\BanditArmour08.sm & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm & Art\\Models\\Items\\Armours\\Helmets\\HelmetStr1\\HelmetStr1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStr3\\HelmetStr3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex1\\HelmetStrDex1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex2\\HelmetStrDex2mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrDex3\\HelmetStrDex3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt1\\HelmetStrInt1mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt2\\HelmetStrInt2mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2 ! Art\\Models\\Items\\Armours\\Helmets\\HelmetStrInt3\\HelmetStrInt3mBandit.sm ~ bandit_head_0Shape5 bandit_head_0Shape3 bandit_head_0Shape2"
8,"BanditBoss","Art\\Models\\MONSTERS\\Bandits\\BodyStr2CBandit.sm ~ bandit_upperbody_0Shape1 & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm"
9,"BanditStag","Art\\Models\\Items\\Armours\\BodyArmours\\BodyStr2A\\BodyStr2AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrDex1A\\BodyStrDex1AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrInt1A\\BodyStrInt1AmBandit.sm ~ bandit_upperbody_0Shape1 & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm & Art\\Models\\Monsters\\Bandits\\HoodedStag.sm"
10,"BanditBear","Art\\Models\\Items\\Armours\\BodyArmours\\BodyStr2A\\BodyStr2AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrDex1A\\BodyStrDex1AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrInt1A\\BodyStrInt1AmBandit.sm ~ bandit_upperbody_0Shape1 & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm & Art\\Models\\Monsters\\Bandits\\HoodedBear.sm"
