"rownum","Currency","i32_16","i32_20","i32_24","Cost","i32_32","[rid]_36","[rid]_52","NPCAudio","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","bool_96","i32_97","i32_101","i32_105","bool_109"
0,15,0,2,2,1500,1899,[],[],"",0,"<augmented>{Augment this item with a new random modifier}","<augmented>{Augmente cet objet avec un nouveau modificateur aléatoire}","<augmented>{Ergänzt diesen Gegenstand durch einen neuen zufälligen Modifikator.}","<augmented>{このアイテムにランダムなモッドを1個追加する。}","<augmented>{이 아이템에 무작위로 새로운 속성 부여}","<augmented>{Aprimora este item com um novo modificador aleatório}","<augmented>{Усиливает предмет новым случайным свойством}","<augmented>{Mejora este objeto agregándole un nuevo modificador aleatorio}","<augmented>{เพิ่ม​ม็อด 1 อย่าง​แบบสุ่ม​ ให้​กับ​ไอเทม​นี้}","<augmented>{為此物品添加一條新的隨機詞綴}",1,8,12,3750,""
1,15,1,3,3,1875,1876,[],[],"",0,"<augmented>{Augment this item with a new random modifier}","<augmented>{Augmente cet objet avec un nouveau modificateur aléatoire}","<augmented>{Ergänzt diesen Gegenstand durch einen neuen zufälligen Modifikator.}","<augmented>{このアイテムにランダムなモッドを1個追加する。}","<augmented>{이 아이템에 무작위로 새로운 속성 부여}","<augmented>{Aprimora este item com um novo modificador aleatório}","<augmented>{Усиливает предмет новым случайным свойством}","<augmented>{Mejora este objeto agregándole un nuevo modificador aleatorio}","<augmented>{เพิ่ม​ม็อด 1 อย่าง​แบบสุ่ม​ ให้​กับ​ไอเทม​นี้}","<augmented>{為此物品添加一條新的隨機詞綴}",1,8,12,4688,""
2,15,2,4,4,2250,1877,[],[],"",0,"<augmented>{Augment this item with a new random modifier}","<augmented>{Augmente cet objet avec un nouveau modificateur aléatoire}","<augmented>{Ergänzt diesen Gegenstand durch einen neuen zufälligen Modifikator.}","<augmented>{このアイテムにランダムなモッドを1個追加する。}","<augmented>{이 아이템에 무작위로 새로운 속성 부여}","<augmented>{Aprimora este item com um novo modificador aleatório}","<augmented>{Усиливает предмет новым случайным свойством}","<augmented>{Mejora este objeto agregándole un nuevo modificador aleatorio}","<augmented>{เพิ่ม​ม็อด 1 อย่าง​แบบสุ่ม​ ให้​กับ​ไอเทม​นี้}","<augmented>{為此物品添加一條新的隨機詞綴}",1,8,12,5625,""
3,5,0,2,2,200,1899,[],[],"",0,"<augmented>{Reforge this item with new random modifiers}","<augmented>{Remodèle cet objet avec de nouveaux modificateurs aléatoires}","<augmented>{Stattet diesen Gegenstand mit neuen zufälligen Modifikatoren aus.}","<augmented>{このアイテムをリフォージして新しいランダムなモッドにする}","<augmented>{이 아이템을 재련해 무작위 신규 속성 부여}","<augmented>{Reforja este item com novos modificadores aleatórios}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами}","<augmented>{Reforja este objeto con nuevos modificadores aleatorios}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่}","<augmented>{以新的隨機詞綴重鑄此物品}","",5,8,500,""
4,5,1,3,3,250,1876,[],[],"",0,"<augmented>{Reforge this item with new random modifiers}","<augmented>{Remodèle cet objet avec de nouveaux modificateurs aléatoires}","<augmented>{Stattet diesen Gegenstand mit neuen zufälligen Modifikatoren aus.}","<augmented>{このアイテムをリフォージして新しいランダムなモッドにする}","<augmented>{이 아이템을 재련해 무작위 신규 속성 부여}","<augmented>{Reforja este item com novos modificadores aleatórios}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами}","<augmented>{Reforja este objeto con nuevos modificadores aleatorios}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่}","<augmented>{以新的隨機詞綴重鑄此物品}","",5,8,625,""
5,5,2,4,4,300,1877,[],[],"",0,"<augmented>{Reforge this item with new random modifiers}","<augmented>{Remodèle cet objet avec de nouveaux modificateurs aléatoires}","<augmented>{Stattet diesen Gegenstand mit neuen zufälligen Modifikatoren aus.}","<augmented>{このアイテムをリフォージして新しいランダムなモッドにする}","<augmented>{이 아이템을 재련해 무작위 신규 속성 부여}","<augmented>{Reforja este item com novos modificadores aleatórios}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами}","<augmented>{Reforja este objeto con nuevos modificadores aleatorios}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่}","<augmented>{以新的隨機詞綴重鑄此物品}","",5,8,750,""
6,10,0,2,2,200,1899,[],[],"",0,"<augmented>{Upgrade this item to a Rare item}","<augmented>{Améliore cet objet en un objet Rare}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand.}","<augmented>{このアイテムをレアアイテムにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para um item raro}","<augmented>{Улучшает предмет до редкого}","<augmented>{Convierte este objeto en un objeto raro}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์}","<augmented>{將此物品升級為稀有物品}","",0,0,500,""
7,10,1,3,3,250,1876,[],[],"",0,"<augmented>{Upgrade this item to a Rare item}","<augmented>{Améliore cet objet en un objet Rare}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand.}","<augmented>{このアイテムをレアアイテムにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para um item raro}","<augmented>{Улучшает предмет до редкого}","<augmented>{Convierte este objeto en un objeto raro}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์}","<augmented>{將此物品升級為稀有物品}","",0,0,625,""
8,10,2,4,4,300,1877,[],[],"",0,"<augmented>{Upgrade this item to a Rare item}","<augmented>{Améliore cet objet en un objet Rare}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand.}","<augmented>{このアイテムをレアアイテムにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para um item raro}","<augmented>{Улучшает предмет до редкого}","<augmented>{Convierte este objeto en un objeto raro}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์}","<augmented>{將此物品升級為稀有物品}","",0,0,750,""
9,230,0,2,2,200,1899,[],[],"",0,"<augmented>{Upgrade this item to a rare item with up to four linked sockets}","<augmented>{Améliore cet objet en un objet Rare ayant jusqu'à quatre châsses reliées}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit bis zu vier verbundenen Fassungen.}","<augmented>{このアイテムを最大4リンクソケットを持つレアアイテムにアップグレードする}","<augmented>{이 아이템을 최대 4개의 홈 연결부가 갖춰진 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para raro com até quatro encaixes conectados}","<augmented>{Улучшает предмет до редкого с максимум четырьмя связанными гнёздами}","<augmented>{Convierte este objeto en un objeto raro con hasta cuatro engarces vinculados}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ และ​มี​รู​เชื่อม​กัน​สูงสุด 4 เชื่อม}","<augmented>{將此物品升級至稀有物品，並且最多有四個相連的插槽}","",0,0,0,1
