"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32_56"
0,"ProxyKey0",1361,0,2729,1
1,"ProxyKey1",1365,0,2747,1
2,"ProxyKey2",1366,0,2747,1
3,"ProxyKey3",1373,0,2697,1
4,"ProxyKey4",1374,0,2697,1
5,"ProxyKey5",1381,0,2770,1
6,"ProxyKey6",1361,1,2712,1
7,"ProxyKey7",1365,1,2761,1
8,"ProxyKey8",1366,1,2761,1
9,"ProxyKey9",1373,1,2747,1
10,"ProxyKey10",1374,1,2747,1
11,"ProxyKey11",1381,1,2770,1
12,"ProxyKey12",1361,3,2686,1
13,"ProxyKey13",1365,3,2697,1
14,"ProxyKey14",1366,3,2697,1
15,"ProxyKey15",1373,3,2761,1
16,"ProxyKey16",1374,3,2761,1
17,"ProxyKey17",1381,3,2770,1
18,"ProxyKey18",1361,6,2747,1
19,"ProxyKey19",1365,6,2712,1
20,"ProxyKey20",1366,6,2712,1
21,"ProxyKey21",1373,6,2729,1
22,"ProxyKey22",1374,6,2729,1
23,"ProxyKey23",1381,6,2770,1
24,"ProxyKey24",1361,4,2697,1
25,"ProxyKey25",1365,4,2729,1
26,"ProxyKey26",1366,4,2729,1
27,"ProxyKey27",1373,4,2686,1
28,"ProxyKey28",1374,4,2686,1
29,"ProxyKey29",1381,4,2770,1
30,"ProxyKey30",1361,5,2761,1
31,"ProxyKey31",1365,5,2686,1
32,"ProxyKey32",1366,5,2686,1
33,"ProxyKey33",1373,5,2712,1
34,"ProxyKey34",1374,5,2712,1
35,"ProxyKey35",1381,5,2770,1
36,"ProxyKey36",1361,2,2712,1
37,"ProxyKey50",1361,2,2686,1
38,"ProxyKey51",1365,2,2729,1
39,"ProxyKey37",1365,2,2761,1
40,"ProxyKey42",1366,2,2729,1
41,"ProxyKey43",1366,2,2761,1
42,"ProxyKey38",1373,2,2747,1
43,"ProxyKey44",1373,2,2697,1
44,"ProxyKey45",1374,2,2747,1
45,"ProxyKey39",1374,2,2697,1
46,"ProxyKey41",1381,2,2770,1
