"rownum","Id","BaseItem","UniqueCraft","bool_40","i32_41","CraftItemType","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CraftTag","bool_85"
0,"PerandusUnique","",0,1,0,23,"","","","","","","","","","","",1
1,"PhreciaUnique","",1,1,0,24,"","","","","","","","","","","",1
2,"VerusoUnique","",2,1,0,25,"","","","","","","","","","","",1
3,"NevaliusUnique","",3,1,0,26,"","","","","","","","","","","",1
4,"GrattusUnique","",4,1,0,27,"","","","","","","","","","","",1
5,"Metadata/Items/Armours/BodyArmours/BodyStr1",1028,"","",1,1,"","","","","","","","","","","",""
6,"Metadata/Items/Armours/BodyArmours/BodyStr2",1029,"","",1,1,"","","","","","","","","","","",""
7,"Metadata/Items/Armours/BodyArmours/BodyStr3",1030,"","",1,1,"","","","","","","","","","","",""
8,"Metadata/Items/Armours/BodyArmours/BodyStr4",1031,"","",1,1,"","","","","","","","","","","",""
9,"Metadata/Items/Armours/BodyArmours/BodyStr5",1032,"","",1,1,"","","","","","","","","","","",""
10,"Metadata/Items/Armours/BodyArmours/BodyStr6",1033,"","",1,1,"","","","","","","","","","","",""
11,"Metadata/Items/Armours/BodyArmours/BodyStr7",1034,"","",1,1,"","","","","","","","","","","",""
12,"Metadata/Items/Armours/BodyArmours/BodyStr8",1035,"","",1,1,"","","","","","","","","","","",""
13,"Metadata/Items/Armours/BodyArmours/BodyStr9",1036,"","",1,1,"","","","","","","","","","","",""
14,"Metadata/Items/Armours/BodyArmours/BodyStr10",1037,"","",1,1,"","","","","","","","","","","",""
15,"Metadata/Items/Armours/BodyArmours/BodyStr11",1038,"","",1,1,"","","","","","","","","","","",""
16,"Metadata/Items/Armours/BodyArmours/BodyStr12",1039,"","",1,1,"","","","","","","","","","","",""
17,"Metadata/Items/Armours/BodyArmours/BodyStr13",1040,"","",1,1,"","","","","","","","","","","",""
18,"Metadata/Items/Armours/BodyArmours/BodyStr14",1041,"","",1,1,"","","","","","","","","","","",""
19,"Metadata/Items/Armours/BodyArmours/BodyStr15",1042,"","",1,1,"","","","","","","","","","","",""
20,"Metadata/Items/Armours/BodyArmours/BodyStr16",1043,"","",1,1,"","","","","","","","","","","",""
21,"Metadata/Items/Armours/BodyArmours/BodyStr17",1044,"","",1,1,"","","","","","","","","","","",""
22,"Metadata/Items/Armours/BodyArmours/BodyDex1",1049,"","",2,1,"","","","","","","","","","","",""
23,"Metadata/Items/Armours/BodyArmours/BodyDex2",1050,"","",2,1,"","","","","","","","","","","",""
24,"Metadata/Items/Armours/BodyArmours/BodyDex3",1051,"","",2,1,"","","","","","","","","","","",""
25,"Metadata/Items/Armours/BodyArmours/BodyDex4",1052,"","",2,1,"","","","","","","","","","","",""
26,"Metadata/Items/Armours/BodyArmours/BodyDex5",1053,"","",2,1,"","","","","","","","","","","",""
27,"Metadata/Items/Armours/BodyArmours/BodyDex6",1054,"","",2,1,"","","","","","","","","","","",""
28,"Metadata/Items/Armours/BodyArmours/BodyDex7",1055,"","",2,1,"","","","","","","","","","","",""
29,"Metadata/Items/Armours/BodyArmours/BodyDex8",1056,"","",2,1,"","","","","","","","","","","",""
30,"Metadata/Items/Armours/BodyArmours/BodyDex9",1057,"","",2,1,"","","","","","","","","","","",""
31,"Metadata/Items/Armours/BodyArmours/BodyDex10",1058,"","",2,1,"","","","","","","","","","","",""
32,"Metadata/Items/Armours/BodyArmours/BodyDex11",1059,"","",2,1,"","","","","","","","","","","",""
33,"Metadata/Items/Armours/BodyArmours/BodyDex12",1060,"","",2,1,"","","","","","","","","","","",""
34,"Metadata/Items/Armours/BodyArmours/BodyDex13",1061,"","",2,1,"","","","","","","","","","","",""
35,"Metadata/Items/Armours/BodyArmours/BodyDex14",1062,"","",2,1,"","","","","","","","","","","",""
36,"Metadata/Items/Armours/BodyArmours/BodyDex15",1063,"","",2,1,"","","","","","","","","","","",""
37,"Metadata/Items/Armours/BodyArmours/BodyDex16",1064,"","",2,1,"","","","","","","","","","","",""
38,"Metadata/Items/Armours/BodyArmours/BodyDex17",1065,"","",2,1,"","","","","","","","","","","",""
39,"Metadata/Items/Armours/BodyArmours/BodyInt1",1069,"","",3,1,"","","","","","","","","","","",""
40,"Metadata/Items/Armours/BodyArmours/BodyInt2",1070,"","",3,1,"","","","","","","","","","","",""
41,"Metadata/Items/Armours/BodyArmours/BodyInt3",1071,"","",3,1,"","","","","","","","","","","",""
42,"Metadata/Items/Armours/BodyArmours/BodyInt4",1072,"","",3,1,"","","","","","","","","","","",""
43,"Metadata/Items/Armours/BodyArmours/BodyInt5",1073,"","",3,1,"","","","","","","","","","","",""
44,"Metadata/Items/Armours/BodyArmours/BodyInt6",1074,"","",3,1,"","","","","","","","","","","",""
45,"Metadata/Items/Armours/BodyArmours/BodyInt7",1075,"","",3,1,"","","","","","","","","","","",""
46,"Metadata/Items/Armours/BodyArmours/BodyInt8",1076,"","",3,1,"","","","","","","","","","","",""
47,"Metadata/Items/Armours/BodyArmours/BodyInt9",1077,"","",3,1,"","","","","","","","","","","",""
48,"Metadata/Items/Armours/BodyArmours/BodyInt10",1078,"","",3,1,"","","","","","","","","","","",""
49,"Metadata/Items/Armours/BodyArmours/BodyInt11",1079,"","",3,1,"","","","","","","","","","","",""
50,"Metadata/Items/Armours/BodyArmours/BodyInt12",1080,"","",3,1,"","","","","","","","","","","",""
51,"Metadata/Items/Armours/BodyArmours/BodyInt13",1081,"","",3,1,"","","","","","","","","","","",""
52,"Metadata/Items/Armours/BodyArmours/BodyInt14",1082,"","",3,1,"","","","","","","","","","","",""
53,"Metadata/Items/Armours/BodyArmours/BodyInt15",1083,"","",3,1,"","","","","","","","","","","",""
54,"Metadata/Items/Armours/BodyArmours/BodyInt16",1084,"","",3,1,"","","","","","","","","","","",""
55,"Metadata/Items/Armours/BodyArmours/BodyInt17",1085,"","",3,1,"","","","","","","","","","","",""
56,"Metadata/Items/Armours/BodyArmours/BodyStrDex1",1089,"","",4,1,"","","","","","","","","","","",""
57,"Metadata/Items/Armours/BodyArmours/BodyStrDex2",1090,"","",4,1,"","","","","","","","","","","",""
58,"Metadata/Items/Armours/BodyArmours/BodyStrDex3",1091,"","",4,1,"","","","","","","","","","","",""
59,"Metadata/Items/Armours/BodyArmours/BodyStrDex4",1092,"","",4,1,"","","","","","","","","","","",""
60,"Metadata/Items/Armours/BodyArmours/BodyStrDex5",1093,"","",4,1,"","","","","","","","","","","",""
61,"Metadata/Items/Armours/BodyArmours/BodyStrDex6",1094,"","",4,1,"","","","","","","","","","","",""
62,"Metadata/Items/Armours/BodyArmours/BodyStrDex7",1095,"","",4,1,"","","","","","","","","","","",""
63,"Metadata/Items/Armours/BodyArmours/BodyStrDex8",1096,"","",4,1,"","","","","","","","","","","",""
64,"Metadata/Items/Armours/BodyArmours/BodyStrDex9",1097,"","",4,1,"","","","","","","","","","","",""
