"rownum","Id","BaseItem","UniqueCraft","bool_40","i32_41","CraftItemType","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CraftTag","bool_85"
0,"PerandusUnique","",0,1,0,23,"","","","","","","","","","","",1
1,"PhreciaUnique","",1,1,0,24,"","","","","","","","","","","",1
2,"VerusoUnique","",2,1,0,25,"","","","","","","","","","","",1
3,"NevaliusUnique","",3,1,0,26,"","","","","","","","","","","",1
4,"GrattusUnique","",4,1,0,27,"","","","","","","","","","","",1
5,"Metadata/Items/Armours/BodyArmours/BodyStr1",1056,"","",1,1,"","","","","","","","","","","",""
6,"Metadata/Items/Armours/BodyArmours/BodyStr2",1057,"","",1,1,"","","","","","","","","","","",""
7,"Metadata/Items/Armours/BodyArmours/BodyStr3",1058,"","",1,1,"","","","","","","","","","","",""
8,"Metadata/Items/Armours/BodyArmours/BodyStr4",1059,"","",1,1,"","","","","","","","","","","",""
9,"Metadata/Items/Armours/BodyArmours/BodyStr5",1060,"","",1,1,"","","","","","","","","","","",""
10,"Metadata/Items/Armours/BodyArmours/BodyStr6",1061,"","",1,1,"","","","","","","","","","","",""
11,"Metadata/Items/Armours/BodyArmours/BodyStr7",1062,"","",1,1,"","","","","","","","","","","",""
12,"Metadata/Items/Armours/BodyArmours/BodyStr8",1063,"","",1,1,"","","","","","","","","","","",""
13,"Metadata/Items/Armours/BodyArmours/BodyStr9",1064,"","",1,1,"","","","","","","","","","","",""
14,"Metadata/Items/Armours/BodyArmours/BodyStr10",1065,"","",1,1,"","","","","","","","","","","",""
15,"Metadata/Items/Armours/BodyArmours/BodyStr11",1066,"","",1,1,"","","","","","","","","","","",""
16,"Metadata/Items/Armours/BodyArmours/BodyStr12",1067,"","",1,1,"","","","","","","","","","","",""
17,"Metadata/Items/Armours/BodyArmours/BodyStr13",1068,"","",1,1,"","","","","","","","","","","",""
18,"Metadata/Items/Armours/BodyArmours/BodyStr14",1069,"","",1,1,"","","","","","","","","","","",""
19,"Metadata/Items/Armours/BodyArmours/BodyStr15",1070,"","",1,1,"","","","","","","","","","","",""
20,"Metadata/Items/Armours/BodyArmours/BodyStr16",1071,"","",1,1,"","","","","","","","","","","",""
21,"Metadata/Items/Armours/BodyArmours/BodyStr17",1072,"","",1,1,"","","","","","","","","","","",""
22,"Metadata/Items/Armours/BodyArmours/BodyDex1",1077,"","",2,1,"","","","","","","","","","","",""
23,"Metadata/Items/Armours/BodyArmours/BodyDex2",1078,"","",2,1,"","","","","","","","","","","",""
24,"Metadata/Items/Armours/BodyArmours/BodyDex3",1079,"","",2,1,"","","","","","","","","","","",""
25,"Metadata/Items/Armours/BodyArmours/BodyDex4",1080,"","",2,1,"","","","","","","","","","","",""
26,"Metadata/Items/Armours/BodyArmours/BodyDex5",1081,"","",2,1,"","","","","","","","","","","",""
27,"Metadata/Items/Armours/BodyArmours/BodyDex6",1082,"","",2,1,"","","","","","","","","","","",""
28,"Metadata/Items/Armours/BodyArmours/BodyDex7",1083,"","",2,1,"","","","","","","","","","","",""
29,"Metadata/Items/Armours/BodyArmours/BodyDex8",1084,"","",2,1,"","","","","","","","","","","",""
30,"Metadata/Items/Armours/BodyArmours/BodyDex9",1085,"","",2,1,"","","","","","","","","","","",""
31,"Metadata/Items/Armours/BodyArmours/BodyDex10",1086,"","",2,1,"","","","","","","","","","","",""
32,"Metadata/Items/Armours/BodyArmours/BodyDex11",1087,"","",2,1,"","","","","","","","","","","",""
33,"Metadata/Items/Armours/BodyArmours/BodyDex12",1088,"","",2,1,"","","","","","","","","","","",""
34,"Metadata/Items/Armours/BodyArmours/BodyDex13",1089,"","",2,1,"","","","","","","","","","","",""
35,"Metadata/Items/Armours/BodyArmours/BodyDex14",1090,"","",2,1,"","","","","","","","","","","",""
36,"Metadata/Items/Armours/BodyArmours/BodyDex15",1091,"","",2,1,"","","","","","","","","","","",""
37,"Metadata/Items/Armours/BodyArmours/BodyDex16",1092,"","",2,1,"","","","","","","","","","","",""
38,"Metadata/Items/Armours/BodyArmours/BodyDex17",1093,"","",2,1,"","","","","","","","","","","",""
39,"Metadata/Items/Armours/BodyArmours/BodyInt1",1097,"","",3,1,"","","","","","","","","","","",""
40,"Metadata/Items/Armours/BodyArmours/BodyInt2",1098,"","",3,1,"","","","","","","","","","","",""
41,"Metadata/Items/Armours/BodyArmours/BodyInt3",1099,"","",3,1,"","","","","","","","","","","",""
42,"Metadata/Items/Armours/BodyArmours/BodyInt4",1100,"","",3,1,"","","","","","","","","","","",""
43,"Metadata/Items/Armours/BodyArmours/BodyInt5",1101,"","",3,1,"","","","","","","","","","","",""
44,"Metadata/Items/Armours/BodyArmours/BodyInt6",1102,"","",3,1,"","","","","","","","","","","",""
45,"Metadata/Items/Armours/BodyArmours/BodyInt7",1103,"","",3,1,"","","","","","","","","","","",""
46,"Metadata/Items/Armours/BodyArmours/BodyInt8",1104,"","",3,1,"","","","","","","","","","","",""
47,"Metadata/Items/Armours/BodyArmours/BodyInt9",1105,"","",3,1,"","","","","","","","","","","",""
48,"Metadata/Items/Armours/BodyArmours/BodyInt10",1106,"","",3,1,"","","","","","","","","","","",""
49,"Metadata/Items/Armours/BodyArmours/BodyInt11",1107,"","",3,1,"","","","","","","","","","","",""
50,"Metadata/Items/Armours/BodyArmours/BodyInt12",1108,"","",3,1,"","","","","","","","","","","",""
51,"Metadata/Items/Armours/BodyArmours/BodyInt13",1109,"","",3,1,"","","","","","","","","","","",""
52,"Metadata/Items/Armours/BodyArmours/BodyInt14",1110,"","",3,1,"","","","","","","","","","","",""
53,"Metadata/Items/Armours/BodyArmours/BodyInt15",1111,"","",3,1,"","","","","","","","","","","",""
54,"Metadata/Items/Armours/BodyArmours/BodyInt16",1112,"","",3,1,"","","","","","","","","","","",""
55,"Metadata/Items/Armours/BodyArmours/BodyInt17",1113,"","",3,1,"","","","","","","","","","","",""
56,"Metadata/Items/Armours/BodyArmours/BodyStrDex1",1117,"","",4,1,"","","","","","","","","","","",""
57,"Metadata/Items/Armours/BodyArmours/BodyStrDex2",1118,"","",4,1,"","","","","","","","","","","",""
58,"Metadata/Items/Armours/BodyArmours/BodyStrDex3",1119,"","",4,1,"","","","","","","","","","","",""
59,"Metadata/Items/Armours/BodyArmours/BodyStrDex4",1120,"","",4,1,"","","","","","","","","","","",""
60,"Metadata/Items/Armours/BodyArmours/BodyStrDex5",1121,"","",4,1,"","","","","","","","","","","",""
61,"Metadata/Items/Armours/BodyArmours/BodyStrDex6",1122,"","",4,1,"","","","","","","","","","","",""
62,"Metadata/Items/Armours/BodyArmours/BodyStrDex7",1123,"","",4,1,"","","","","","","","","","","",""
63,"Metadata/Items/Armours/BodyArmours/BodyStrDex8",1124,"","",4,1,"","","","","","","","","","","",""
64,"Metadata/Items/Armours/BodyArmours/BodyStrDex9",1125,"","",4,1,"","","","","","","","","","","",""
