"rownum","Id","Arm","SkillGem","i32_32","SkillAnimation"
0,"UulNetolGraft1","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_GraftDaemonArmR.ao",816,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolHandSlam.ais"
1,"UulNetolGraft2","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_NailedGraftDaemonArmR.ao",817,6,""
2,"UulNetolGraft3","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedArmourGraftDaemonArmR.ao",818,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolImpaleBuff.ais"
3,"UulNetolGraft4","Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedGraftDaemonArmR.ao",819,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolLowLifeBuff.ais"
4,"XophGraft1","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_GraftDaemonArmR.ao",812,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/XophMoltenShell.ais"
5,"XophGraft2","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_NailedGraftDaemonArmR.ao",813,1,""
6,"XophGraft3","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedArmourGraftDaemonArmR.ao",814,4,""
7,"XophGraft4","Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedGraftDaemonArmR.ao",815,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/XophAilmentBuff.ais"
8,"EshGraft1","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_GraftDaemonArmR.ao",820,1,""
9,"EshGraft2","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_NailedGraftDaemonArmR.ao",821,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/EshLightningClones.ais"
10,"EshGraft3","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedArmourGraftDaemonArmR.ao",822,1,""
11,"EshGraft4","Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedGraftDaemonArmR.ao",823,3,""
12,"TulGraft1","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_GraftDaemonArmR.ao",824,1,""
13,"TulGraft2","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_NailedGraftDaemonArmR.ao",825,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/TulIceMortar.ais"
14,"TulGraft3","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedArmourGraftDaemonArmR.ao",826,5,""
15,"TulGraft4","Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedGraftDaemonArmR.ao",827,12,""
