"rownum","Id","Animation","i32_24","i32_28","Stats"
0,"anger_aura_end",[852],3,2,""
1,"hatred_aura_end",[853],3,2,""
2,"hatred_aura_end",[1496],3,3,""
3,"wrath_aura_end",[851],3,2,""
4,"haste_aura_end",[822],3,2,""
5,"steelskin_block",[3146],1,0,""
6,"steelskin_block",[5195],1,1,""
7,"steelskin_block",[3147],1,2,""
8,"cremation_explosion",[1687],1,0,""
9,"cremation_explosion",[1687],1,1,""
10,"cremation_explosion",[1848],1,2,""
11,"cremation_explosion",[1873],1,3,""
12,"cremation_explosion",[1690],1,4,""
13,"cremation_explosion",[5415],1,5,""
14,"cremation_explosion",[5568],1,6,""
15,"cremation_explosion",[5590],1,7,""
16,"cremation_explosion",[7276],1,8,""
17,"cremation_geyser",[1688],3,0,""
18,"cremation_geyser",[1688],3,1,""
19,"cremation_geyser",[1849],3,2,""
20,"cremation_geyser",[1874],3,3,""
21,"cremation_geyser",[1691],3,4,""
22,"cremation_geyser",[5414],3,5,""
23,"cremation_geyser",[5567],3,6,""
24,"cremation_geyser",[5589],3,7,""
25,"cremation_geyser",[7277],3,8,""
26,"cremation_impact",[1686],1,0,""
27,"cremation_impact",[1686],1,1,""
28,"cremation_impact",[1847],1,2,""
29,"cremation_impact",[1872],1,3,""
30,"cremation_impact",[1689],1,4,""
31,"cremation_impact",[5413],1,5,""
32,"cremation_impact",[5566],1,6,""
33,"cremation_impact",[5588],1,7,""
34,"cremation_impact",[7278],1,8,""
35,"consecrated_path_slam",[2251],1,0,""
36,"consecrated_path_slam",[2590],1,1,""
37,"consecrated_path_slam",[4548],1,2,""
38,"consecrated_path_slam",[4554],1,3,""
39,"consecrated_path_slam",[6906],1,4,""
40,"consecrated_path_teleport",[2252],1,0,""
41,"consecrated_path_teleport",[2591],1,1,""
42,"consecrated_path_teleport",[4549],1,2,""
43,"consecrated_path_teleport",[4555],1,3,""
44,"consecrated_path_teleport",[6907],1,4,""
45,"consecrated_path_range",[2253],1,0,""
46,"consecrated_path_range",[2592],1,1,""
47,"consecrated_path_range",[4550],1,2,""
48,"consecrated_path_range",[4556],1,3,""
49,"consecrated_path_range",[6908],1,4,""
50,"consecrated_path_slam_ancestral",[4240],1,0,12066
51,"consecrated_path_slam_ancestral",[4551],1,2,12066
52,"consecrated_path_slam_ancestral",[4557],1,3,12066
53,"consecrated_path_teleport_ancestral",[4241],1,0,12066
54,"consecrated_path_teleport_ancestral",[4552],1,2,12066
55,"consecrated_path_teleport_ancestral",[4558],1,3,12066
56,"consecrated_path_range_ancestral",[4242],1,0,12066
57,"consecrated_path_range_ancestral",[4553],1,2,12066
58,"consecrated_path_range_ancestral",[4559],1,3,12066
59,"divine_cry",[5610],1,0,""
60,"divine_cry",[6060],1,2,""
61,"divine_cry",[4498],1,3,""
62,"divine_cry_auto",[7659],1,0,""
63,"divine_cry_auto",[7658],1,2,""
64,"divine_cry_auto",[7641],1,3,""
