"rownum","Id","bool_8","IsLocal","IsWeaponLocal","Semantics","bool_15","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool_33","HASH32","BelongsActiveSkillsKey","Category","bool_70","bool_71","IsScalable","ContextFlags","[rid]_89"
0,"level",1,"","",3,1,"","","",1,1043633784,[],18,1,"",1,[],[]
1,"item_drop_slots",1,"","",3,"","","","","",-1300918419,[],"","","",1,[],[]
2,"main_hand_weapon_type",1,"","",3,1,"","","",1,356082681,[],"",1,"",1,[],[]
3,"off_hand_weapon_type",1,"","",3,1,"","","",1,501678916,[],"",1,"",1,[],[]
4,"current_endurance_charges",1,"","",3,1,1,"","",1,-2122390594,[],"","","",1,[],[]
5,"current_frenzy_charges",1,"","",3,1,1,"","",1,623963944,[],"","","",1,[],[]
6,"current_power_charges",1,"","",3,1,1,"","",1,489142904,[],"","","",1,[],[]
7,"cannot_have_life_leeched_from",1,"","",4,"","","","","",-547445160,[],18,"","","",[],[]
8,"cannot_have_mana_leeched_from",1,"","",4,"","","","","",-544265574,[],"","","","",[],[]
9,"monster_slain_experience_+%",1,"","",1,"","","","","",-412187701,[],"","","",1,[],[]
10,"monster_dropped_item_rarity_+%",1,"","",1,"","","","","",-1176759949,[],"","","",1,[],[]
11,"monster_dropped_item_quantity_+%","","","",1,"","","","","",-239722763,[],"","","",1,[],[]
12,"local_flask_life_to_recover",1,1,"",3,"","","","","",-576125868,[],"","","",1,[],[]
13,"local_flask_life_to_recover_+%",1,1,"",1,"","","","","",-1198959115,[],"","","",1,[],[]
14,"local_flask_mana_to_recover",1,1,"",3,"","","","","",1835370919,[],"","","",1,[],[]
15,"local_flask_mana_to_recover_+%",1,1,"",1,"","","","","",395902594,[],"","","",1,[],[]
16,"local_flask_recovery_speed_+%",1,1,"",1,"","","","","",1556748148,[],"","","",1,[],[]
17,"local_flask_deciseconds_to_recover",1,1,"",3,"","","","","",97193766,[],"","","",1,[],[]
18,"local_extra_max_charges","",1,"",3,"","","","","",-383728497,[],"","","",1,[],[]
19,"shield_block_%",1,"","",1,"","","","",1,-1873459806,[],11,"","",1,[],[]
20,"old_do_not_use_spell_block_%_from_assumed_block_value","","","",1,"","","","","",1484398156,[],"","","",1,[],[]
21,"block_while_dual_wielding_%","","","",1,"","","","","",298807534,[],11,"","",1,[],[]
22,"block_recovery_+%",1,"","",1,"","","","",1,-1638902486,[],11,"","",1,[],[]
23,"shield_armour_+%",1,"","",1,"","","","","",1669549715,[],9,"","",1,[],[]
24,"damage_+%",1,"","",1,"","","","",1,-1168998803,[],1,"","",1,[],[]
25,"spell_damage_+%",1,"","",1,"","","","",1,78851980,[],1,"","",1,[],[]
26,"physical_damage_+%",1,"","",1,"","","","",1,-453783483,[],1,"","",1,[],[]
27,"local_physical_damage_+%","",1,1,1,"","",792,814,"",-1544785049,[],"","","",1,[],[]
28,"global_minimum_added_physical_damage","","","",3,"","","","",1,821215114,[],"","","",1,[],[]
29,"global_maximum_added_physical_damage","","","",3,"","","","","",1816224805,[],"","","",1,[],[]
30,"attack_minimum_added_physical_damage","","","",3,"","","","","",-1987301089,[],1,"","",1,[],[]
31,"attack_maximum_added_physical_damage","","","",3,"","","","","",1877497836,[],1,"","",1,[],[]
32,"local_minimum_added_physical_damage","",1,1,3,"","",793,815,"",1855777478,[],"","","",1,[],[]
33,"local_maximum_added_physical_damage","",1,1,3,"","",794,816,"",2141103287,[],"","","",1,[],[]
34,"physical_axe_damage_+%","","","",1,"","","","","",-1256660353,[],1,"","",1,[],[]
35,"physical_staff_damage_+%","","","",1,"","","","","",932143818,[],1,"","",1,[],[]
36,"physical_claw_damage_+%","","","",1,"","","","","",140443962,[],1,"","",1,[],[]
37,"physical_dagger_damage_+%","","","",1,"","","","","",-689652613,[],1,"","",1,[],[]
38,"physical_mace_damage_+%","","","",1,"","","","","",1862394874,[],1,"","",1,[],[]
39,"physical_bow_damage_+%","","","",1,"","","","","",204052327,[],1,"","",1,[],[]
40,"physical_sword_damage_+%","","","",1,"","","","","",2133884384,[],1,"","",1,[],[]
41,"physical_wand_damage_+%","","","",1,"","","","","",1844590324,[],1,"","",1,[],[]
42,"fire_damage_+%",1,"","",1,"","","","",1,191057191,[],1,"","",1,[],[]
43,"global_minimum_added_fire_damage","","","",3,"","","","","",2034740550,[],"","","",1,[],[]
44,"global_maximum_added_fire_damage","","","",3,"","","","","",-902547218,[],"","","",1,[],[]
45,"attack_minimum_added_fire_damage",1,"","",3,"","","","",1,-1181478971,[],"","","",1,[],[]
46,"attack_maximum_added_fire_damage",1,"","",3,"","","","",1,501099642,[],"","","",1,[],[]
47,"local_minimum_added_fire_damage","",1,1,3,"","",795,817,"",318629524,[],"","","",1,[],[]
48,"local_maximum_added_fire_damage","",1,1,3,"","",796,818,"",928714545,[],"","","",1,[],[]
49,"cold_damage_+%",1,"","",1,"","","","",1,78179886,[],1,"","",1,[],[]
50,"global_minimum_added_cold_damage","","","",3,"","","","",1,-619139700,[],"","","",1,[],[]
51,"global_maximum_added_cold_damage","","","",3,"","","","",1,-271567038,[],"","","",1,[],[]
52,"attack_minimum_added_cold_damage",1,"","",3,"","","","",1,171791935,[],"","","",1,[],[]
53,"attack_maximum_added_cold_damage",1,"","",3,"","","","",1,-939811086,[],"","","",1,[],[]
54,"local_minimum_added_cold_damage","",1,1,3,"","",797,819,"",-255408318,[],"","","",1,[],[]
55,"local_maximum_added_cold_damage","",1,1,3,"","",798,820,"",472353268,[],"","","",1,[],[]
56,"lightning_damage_+%",1,"","",1,"","","","",1,-1639944867,[],1,"","",1,[],[]
57,"global_minimum_added_lightning_damage","","","",3,"","","","",1,-1577166020,[],"","","",1,[],[]
58,"global_maximum_added_lightning_damage","","","",3,"","","","",1,-1369359538,[],"","","",1,[],[]
59,"attack_minimum_added_lightning_damage",1,"","",3,"","","","",1,365867665,[],"","","",1,[],[]
60,"attack_maximum_added_lightning_damage",1,"","",3,"","","","",1,513324754,[],"","","",1,[],[]
61,"local_minimum_added_lightning_damage","",1,1,3,"","",799,821,"",-1727629303,[],"","","",1,[],[]
62,"local_maximum_added_lightning_damage","",1,1,3,"","",800,822,"",2119574765,[],"","","",1,[],[]
63,"chaos_damage_+%",1,"","",1,"","","","",1,-1059988617,[],1,"","",1,[],[]
64,"global_minimum_added_chaos_damage","","","",3,"","","","",1,2045769627,[],"","","",1,[],[]
65,"global_maximum_added_chaos_damage","","","",3,"","","","",1,237208908,[],"","","",1,[],[]
66,"attack_minimum_added_chaos_damage",1,"","",3,"","","","",1,-1824954379,[],"","","",1,[],[]
67,"attack_maximum_added_chaos_damage",1,"","",3,"","","","",1,813475924,[],"","","",1,[],[]
68,"local_minimum_added_chaos_damage","",1,1,3,"","",801,823,"",-1616765083,[],"","","",1,[],[]
69,"local_maximum_added_chaos_damage","",1,1,3,"","",802,824,"",1788772063,[],"","","",1,[],[]
70,"attack_speed_+%",1,"","",1,"","","","",1,1067510423,[],3,"","",1,[],[]
71,"local_attack_speed_+%","",1,1,1,"","",803,825,"",-475973045,[],"","","",1,[],[]
72,"melee_attack_speed_+%","","","",1,"","","","","",392499720,[],3,"","",1,[],[]
73,"attack_speed_while_dual_wielding_+%","","","",1,"","","","","",-355434507,[],3,"","",1,[],[]
74,"axe_attack_speed_+%","","","",1,"","","","","",-179890266,[],3,"","",1,[],[]
75,"staff_attack_speed_+%","","","",1,"","","","","",-519117186,[],3,"","",1,[],[]
76,"claw_attack_speed_+%","","","",1,"","","","","",10516126,[],3,"","",1,[],[]
77,"dagger_attack_speed_+%","","","",1,"","","","","",-56067023,[],3,"","",1,[],[]
78,"mace_attack_speed_+%","","","",1,"","","","","",1792355518,[],3,"","",1,[],[]
79,"bow_attack_speed_+%","","","",1,"","","","","",910131726,[],3,"","",1,[],[]
80,"sword_attack_speed_+%","","","",1,"","","","","",1781295952,[],3,"","",1,[],[]
81,"wand_attack_speed_+%","","","",1,"","","","","",-1558902215,[],3,"","",1,[],[]
82,"shield_attack_speed_+%","","","",1,"","","","","",1314749611,[],"","","",1,[],[]
83,"accuracy_rating","","","",3,"","","","",1,552754587,[],5,"","",1,[],[]
84,"accuracy_rating_+%",1,"","",1,"","","","",1,-253919695,[],5,"","",1,[],[]
85,"accuracy_rating_while_dual_wielding_+%","","","",1,"","","","","",1669799203,[],5,"","",1,[],[]
86,"axe_accuracy_rating_+%","","","",1,"","","","","",-2030619774,[],5,"","",1,[],[]
87,"staff_accuracy_rating_+%","","","",1,"","","","","",1527831504,[],5,"","",1,[],[]
88,"claw_accuracy_rating_+%","","","",1,"","","","","",-258291915,[],5,"","",1,[],[]
89,"dagger_accuracy_rating_+%","","","",1,"","","","","",176779968,[],5,"","",1,[],[]
90,"mace_accuracy_rating_+%","","","",1,"","","","","",1593823747,[],5,"","",1,[],[]
91,"bow_accuracy_rating_+%","","","",1,"","","","","",-224481941,[],5,"","",1,[],[]
92,"sword_accuracy_rating_+%","","","",1,"","","","","",814552329,[],5,"","",1,[],[]
93,"wand_accuracy_rating_+%","","","",1,"","","","","",362619878,[],5,"","",1,[],[]
94,"poison_on_critical_strike_with_dagger","","","",4,"","","","","",-2101553279,[],"","","","",[],[]
95,"base_critical_strike_multiplier_+",1,"","",3,"","","","",1,-1317475609,[],4,"","",1,[],[]
96,"critical_strike_multiplier_with_dagger_+","","","",3,"","","","","",1100330652,[],4,"","",1,[],[]
97,"base_self_critical_strike_multiplier_-%",1,"","",3,"","","","",1,-805995854,[],4,"","",1,[],[]
98,"self_critical_strike_multiplier_-%_per_endurance_charge",1,"","",3,"","","","",1,921275512,[],"","","",1,[],[]
99,"old_do_not_use_local_life_leech_from_physical_damage_%","",1,1,1,"","",804,826,"",1356529756,[],"","","",1,[],[]
100,"old_do_not_use_local_mana_leech_from_physical_damage_%","",1,1,1,"","",805,827,"",-1508612598,[],"","","",1,[],[]
101,"old_do_not_use_life_leech_from_physical_damage_%",1,"","",1,"","","","",1,-658495328,[],"","","",1,[],[]
102,"old_do_not_use_mana_leech_from_physical_damage_%","","","",1,"","","","","",-1511982752,[],"","","",1,[],[]
103,"old_do_not_use_life_leech_from_physical_damage_with_claw_%",1,"","",1,"","","","","",-531704569,[],"","","",1,[],[]
104,"base_life_gained_on_enemy_death",1,"","",3,"","","","","",1419928513,[],18,"","",1,[],[]
105,"life_leech_from_any_damage_permyriad",1,"","",1,"","","","",1,1404752895,[],"","","",1,[],[]
106,"mana_leech_from_any_damage_permyriad",1,"","",1,"","","","",1,1884462265,[],"","","",1,[],[]
107,"base_mana_gained_on_enemy_death",1,"","",3,"","","","","",1022478200,[],18,"","",1,[],[]
108,"base_stun_threshold_reduction_+%",1,"","",1,"","","","",1,-1258661407,[],6,"","",1,[],[]
109,"while_using_mace_stun_threshold_reduction_+%","","","",1,"","","","","",1181384114,[],6,"","",1,[],[]
110,"global_knockback",1,"","",4,"","","","",1,-2022599767,[],"","","","",[],[]
111,"knockback_with_bow","","","",4,"","","","","",-2117692951,[],"","","","",[],[]
112,"knockback_with_staff","","","",4,"","","","","",-238813423,[],"","","","",[],[]
113,"knockback_with_wand","","","",4,"","","","","",1429571840,[],"","","","",[],[]
114,"local_knockback","",1,1,4,"","",806,828,"",-357369588,[],"","","","",[],[]
115,"maximum_physical_damage_reduction_%",1,"","",1,"","","","","",-1587306982,[],"","","",1,[],[]
116,"base_physical_damage_reduction_rating",1,"","",3,1,"","","",1,1686922486,[],9,"","",1,[],[]
117,"physical_damage_reduction_rating_+%",1,"","",1,"","","","",1,-1026676306,[],9,"","",1,[],[]
118,"local_physical_damage_reduction_rating_+%",1,1,"",1,"","","","","",-1603633950,[],"","","",1,[],[]
119,"base_evasion_rating",1,"","",3,"","","","",1,1457140832,[],9,"","",1,[],[]
120,"evasion_rating_+%",1,"","",1,"","","","","",-413400759,[],9,"","",1,[],[]
121,"local_evasion_rating_+%",1,1,"",1,"","","","","",-1035225865,[],"","","",1,[],[]
122,"evasion_rating_+%_per_frenzy_charge",1,"","",1,"","","","",1,222133344,[],9,"","",1,[],[]
123,"physical_damage_reduction_rating_+%_per_frenzy_charge",1,"","",1,"","","","",1,972465604,[],9,"","",1,[],[]
124,"base_maximum_life","","","",3,"","","","","",-412812923,[],7,"","",1,[],[]
125,"maximum_life_+%",1,"","",1,"","","","","",-1447371539,[],7,"","",1,[],[]
126,"base_life_regeneration_rate_per_minute",1,"","",3,"","","","",1,-82636098,[],7,"","",1,[],[]
127,"life_regeneration_rate_per_minute_%_per_endurance_charge",1,"","",3,"","","","",1,724137496,[],7,"","",1,[],[]
128,"base_maximum_mana","","","",3,"","","","","",33179562,[],8,"","",1,[],[]
129,"maximum_mana_+%","","","",1,"","","","","",-2079668835,[],8,"","",1,[],[]
130,"mana_regeneration_rate_per_minute_%","","","",1,"","","","","",2009634733,[],8,"","",1,[],[]
131,"mana_regeneration_rate_+%","","","",1,"","","","","",915714296,[],8,"","",1,[],[]
132,"base_mana_regeneration_rate_per_minute",1,"","",3,"","","","",1,2136732448,[],8,"","",1,[],[]
133,"mana_regeneration_rate_per_minute_%_per_power_charge",1,"","",1,"","","","",1,9809668,[],"","","",1,[],[]
134,"base_maximum_energy_shield",1,"","",3,"","","","",1,168289692,[],9,"","",1,[],[]
135,"maximum_energy_shield_+%",1,"","",1,"","","","","",-1070560918,[],9,"","",1,[],[]
136,"local_energy_shield",1,1,"",3,"","","","","",-1349965577,[],"","","",1,[],[]
137,"local_energy_shield_+%",1,1,"",1,"","","","","",-1850804368,[],"","","",1,[],[]
138,"energy_shield_recharge_rate_per_minute_%","","","",1,"","","","","",2065299120,[],9,"","",1,[],[]
139,"energy_shield_recharge_rate_+%",1,"","",1,"","","","",1,1767848875,[],9,"","",1,[],[]
140,"energy_shield_delay_-%","","","",1,1,"","","",1,-1660464583,[],9,"","",1,[],[]
141,"base_cannot_be_damaged",1,"","",4,1,"","","",1,-1289720602,[],"","","","",[],[]
142,"base_resist_all_elements_%",1,"","",1,"","","","",1,-1468713837,[],10,"","",1,[],[]
143,"unique_thread_of_hope_base_resist_all_elements_%","","","",1,"","","","","",1123177788,[],"","","",1,[],[]
144,"resist_all_elements_%_per_endurance_charge",1,"","",1,"","","","",1,282544527,[],"","","",1,[],[]
145,"maximum_fire_damage_resistance_%",1,"","",5,"",1,"","",1,-2026582005,[],"","","",1,[0],[]
146,"base_fire_damage_resistance_%",1,"","",1,"","","","",1,2039518076,[],10,"","",1,[],[]
147,"maximum_cold_damage_resistance_%",1,"","",5,"",1,"","",1,-1821887250,[],"","","",1,[0],[]
148,"base_cold_damage_resistance_%",1,"","",1,"","","","",1,1746311514,[],10,"","",1,[],[]
