"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool_48","bool_49","i32_50","i32_54","i32_58","i32_62","bool_66","bool_67","[rid]_68","[rid]_84","i32_100","bool_104","bool_105","i32_106"
0,7008,1979,1981,1,1,60,1,20,120,"",1,[],[],0,1,"",0
1,7007,2219,2219,1,1,60,1,20,120,1,1,[],[],0,1,"",0
2,7331,2654,2654,1,1,60,1,20,120,"","",[],[],0,1,"",0
3,7332,2654,2654,1,1,60,1,20,120,"",1,[],[],0,1,"",0
4,7333,2654,2654,1,1,60,1,20,120,"",1,[],[],0,1,"",0
5,5284,1100,1100,1,1,60,1,20,120,"","",[],[],0,1,"",0
6,8158,3523,3523,1,1,60,0,20,120,"","",[],[],0,1,"",0
7,8381,3794,3794,1,1,60,1,20,120,"",1,[],[],0,1,"",0
8,8382,3794,3794,1,1,60,1,20,120,"",1,[],[],0,1,"",0
9,8385,3794,3794,1,1,105,1,40,120,1,1,[],[],0,1,"",0
10,8386,3794,3794,1,1,80,1,20,120,1,1,[],[],0,1,"",0
11,8747,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
12,8748,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
13,8749,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
14,8751,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
15,8752,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
16,8753,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
17,8754,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
18,8755,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
19,8756,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
20,8758,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
21,8760,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
22,8761,4470,4470,1,"",30,1,15,120,"",1,[],[],30,"","",0
23,9315,4470,4470,1,1,0,1,5,60,"","",[],[],0,"","",0
24,9626,4470,4470,1,"",105,1,20,75,"",1,[],[],0,"",1,0
25,9627,4470,4470,1,"",105,1,24,75,"",1,[],[],0,"",1,0
26,9628,4470,4470,1,"",105,1,15,75,"",1,[],[],0,"",1,0
27,8159,3523,3523,1,1,60,0,20,120,1,1,[],[],0,1,"",0
28,8750,4470,4470,1,1,60,1,20,120,"",1,[],[],0,"","",0
29,9013,1979,1981,1,1,60,1,25,120,1,1,[],[],60,1,"",180
30,10444,4470,4470,1,1,60,1,20,120,1,1,[],[],0,1,"",0
