"rownum","rid_0","i32_16","f32_20","Monsters","i32_40","i32_44","i32_48","f32_52","f32_56"
0,0,0,12,[5278],30,30,1,0,0
1,1,0,12,[6425],30,30,1,0,0
2,2,0,8,[8220],30,30,1,0,0
3,3,0,8,[8277],30,30,1,0,0
4,4,0,8,[8307],30,30,1,0,0
5,5,0,8,[8251],10,10,1,0,0
6,6,0,8,[8371],30,30,1,0,0
7,7,0,8,[5279],30,30,1,0,0
8,8,0,8,[6427],20,20,1,0,0
9,9,0,8,[8996],30,30,1,0,0
10,10,0,4,"[8220,8251,8277,8307,5279,6427,8996,8371]",30,30,2,0,2
11,11,0,5,[6426],10,50,15,1,5
12,12,0,4,[8641],1,1,1,1.5,3
13,13,0,3,"[4853,4854,4855,4856]",10,40,3,0,0
14,14,0,5,"[9100,9101]",40,40,1,0,0
15,15,0,10,[3111],50,70,1,0,0
16,16,0,12,[9201],10,10,1,0,0
17,17,0,10,[9585],20,20,1,0,0
18,18,0,10,[10286],15,80,2,1,3
19,19,0,15,"[4879,4880,4881]",50,70,1,1,0
20,20,0,12,[3010],10,10,1,0,0
21,21,0,15,"[9047,9048]",30,30,1,0,0
