"rownum","Id","i32_8","[rid]_12","Icon","rid_36","[rid]_52","rid_68","i32_84","i32_88","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","rid_100","i32_116","[rid]_120","i32_136"
0,"MapModWishFishes",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishFish","",[],"",0,2,"Wish for Fishes","Vœu de poissons","Wunsch nach Fischen","魚を願う","물고기를 소원으로 빌기","Pedir Peixes","Пожелать рыбы","Deseo de peces","ขอปลา","魚群之願","",1911,[],0
1,"MapModWishNemeses",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishNemeses","",[],"",0,2,"Wish for Foes","Vœu de némésis","Wunsch nach Gegnern","敵を願う","적을 소원으로 빌기","Pedir Inimigos","Пожелать врагов","Deseo de enemigos","ขอศัตรู","猛敵之願","",1911,[],1
2,"MapModWishRevivingMonsters",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishRevivingMonsters","",[],"",0,2,"Wish for Rebirth","Vœu de résurrection","Wunsch nach Wiedergeburt","再誕を願う","부활을 소원으로 빌기","Pedir Renascimento","Пожелать перерождения","Deseo de resurrección","ขอเกิดใหม่","重生之願","",1911,[],1
3,"MapModWishRevivingMonstersLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishRevivingMonsters","",[],"",0,2,"Wish for Rebirth","Vœu de résurrection","Wunsch nach Wiedergeburt","再誕を願う","부활을 소원으로 빌기","Pedir Renascimento","Пожелать перерождения","Deseo de resurrección","ขอเกิดใหม่","重生之願","",1911,[],0
4,"MapModWishUniqueStrongbox",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishUniqueStrongbox","",[],"",0,2,"Wish for Troves","Vœu de coffres","Wunsch nach Truhen","宝箱を願う","발견물을 소원으로 빌기","Pedir Repositórios","Пожелать кладов","Deseo de opulencia","ขอทรัพย์","珍稀之願","",1911,[],1
5,"MapModWishUniqueStrongboxLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishUniqueStrongbox","",[],"",0,2,"Wish for Troves","Vœu de coffres","Wunsch nach Truhen","宝箱を願う","발견물을 소원으로 빌기","Pedir Repositórios","Пожелать кладов","Deseo de opulencia","ขอทรัพย์","珍稀之願","",1911,[],0
6,"MapModWishGemToQualityGem",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Glittering","Vœu de scintillement","Wunsch nach Glitzern","煌めきを願う","번쩍임을 소원으로 빌기","Pedir Resplandecência","Пожелать блеска","Deseo de resplandor","ขอให้ระยิบระยับ","晶燦之願","",1911,[],3
7,"MapModWishMoreCurrency",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreCurrency","",[],"",0,2,"Wish for Wealth","Vœu de richesses","Wunsch nach Reichtum","富を願う","부를 소원으로 빌기","Pedir Riquezas","Пожелать богатства","Deseo de riqueza","ขอให้รวย","財富之願","",1911,[],1
8,"MapModWishMoreCurrencyLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreCurrency","",[],"",0,2,"Wish for Wealth","Vœu de richesses","Wunsch nach Reichtum","富を願う","부를 소원으로 빌기","Pedir Riquezas","Пожелать богатства","Deseo de riqueza","ขอให้รวย","財富之願","",1911,[],0
9,"MapModWishMoreDivCards",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreDivCards","",[],"",0,2,"Wish for Foreknowledge","Vœu de prescience","Wunsch nach Voraussicht","予見を願う","선견지명을 소원으로 빌기","Pedir Presciência","Пожелать предвидения","Deseo de previsión","ขอรู้ล่วงหน้า","占卜之願","",1911,[],2
