"rownum","Id","i32_8","f32_12","rid_16","rid_32","rid_48"
0,"Fire",4,24,3593,163,""
1,"Ice",4,0,6194,165,""
2,"CausticCloud",8,5,4586,469,""
3,"Tar",4,0,4935,166,""
4,"Smoke",8,0,12325,1484,""
5,"Desecration",4,24,2183,204,""
6,"Consecration",10,0,8663,205,1238
7,"Lightning",6,0,10230,229,""
8,"Maelstorm",4,4,4828,697,""
9,"Haste",4,0,"",783,""
10,"Sandstorm",0,24,"",873,""
11,"Blizzard",4,0,"",802,""
12,"Spores",4,24,7286,451,""
13,"DevouringDarkness",4,24,"",841,""
14,"Quicksand",0,24,7924,921,""
15,"Blood",0,24,14612,1119,""
16,"TemporalAnomaly",10,0,10032,1007,1395
17,"OrionMeteor",0,0,"",1421,229
18,"CrownOfThorns",4,24,"",1560,""
19,"VaalCloud",4,24,"",302,""
20,"Profane",10,0,"",1532,""
21,"ChaosOfferingOfJudgement",6,24,"",495,518
22,"FireOfferingOfJudgement",6,24,"",494,518
23,"DespairBearGeyser",0,24,"",866,""
24,"Fungal",0,0,"",1385,1387
25,"BestiarySpiderWeb",0,24,"",1037,""
26,"VaalColdSnap",4,24,7867,1113,""
27,"Oil",4,24,15848,1614,163
28,"Scorch",4,0,"",1704,""
29,"GravityWell",0,24,4828,1743,""
30,"LightningVortex",4,4,13884,1769,229
31,"Brittle",4,0,"",2000,""
32,"Sapping",4,0,"",2001,""
33,"Sludge",4,0,"",2009,""
34,"Sanctum",4,0,17459,2092,""
35,"SanctumFire",4,0,3593,164,""
36,"SanctumChaos",8,5,4586,470,""
37,"PhysFireLifeRecover",4,24,19592,167,""
38,"IceLightning",4,0,21250,165,229
