"rownum","GrantedEffectsKey","string_16","bool_24","bool_25","bool_26","MiscAnimated","bool_43","bool_44","i32_45","bool_49","bool_50","bool_51","bool_52"
0,1487,"<lock>",1,1,1,17,"",1,0,"","",1,""
1,1488,"<lock>",1,1,1,18,"",1,0,"","",1,""
2,654,"<lock>",1,1,1,39,"",1,0,"","",1,""
3,655,"<lock>",1,1,1,39,"",1,0,"","",1,""
4,656,"<lock>",1,1,1,39,"",1,0,"","",1,""
5,1852,"<lock>",1,1,1,9,"",1,0,"","",1,""
6,1862,"<lock>",1,1,1,12,"",1,0,"","",1,""
7,1864,"<lock>",1,1,1,7,"",1,0,"","",1,""
8,1871,"<lock>",1,1,1,12,"",1,0,"","",1,""
9,1877,"<lock>",1,1,1,10,"",1,0,"","",1,""
10,1887,"<lock>",1,1,1,11,"",1,0,"","",1,""
11,1893,"<lock>",1,1,1,39,"",1,0,"","",1,""
12,1900,"<lock>",1,1,1,40,"",1,0,"","",1,""
13,1909,"<lock>",1,1,1,41,"",1,0,"","",1,""
14,1934,"<lock>",1,1,1,12,"",1,0,"","",1,""
15,6018,"<lock>",1,1,1,4,"",1,0,"","",1,""
16,2202,"<lock>",1,1,1,40,"",1,0,"","",1,""
17,2858,"<lock>",1,1,1,39,"",1,0,"","",1,""
18,2862,"<lock>",1,1,1,40,"",1,0,"","",1,""
19,2866,"<lock>",1,1,1,41,"",1,0,"","",1,""
20,3765,"<lock>",1,1,1,39,"",1,0,"","",1,""
21,3766,"<lock>",1,1,1,40,"",1,0,"","",1,""
22,3767,"<lock>",1,1,1,41,"",1,0,"","",1,""
23,3768,"<lock>",1,1,1,6,"",1,0,"","",1,""
24,3769,"<lock>",1,1,1,5,"",1,0,"","",1,""
25,1067,"<lock>","",1,"",57,"",1,0,"","",1,""
26,1090,"<lock>","",1,"",57,"",1,0,"","",1,""
27,1100,"<lock>","",1,"",7,"",1,0,"","",1,""
28,1107,"<lock>","",1,"",57,"",1,0,"","",1,""
29,1112,"<lock>","",1,"",57,"",1,0,"","",1,""
30,1126,"<lock>","",1,"",9,"",1,0,"","",1,""
31,1134,"<lock>","",1,"",19,"",1,0,"","",1,""
32,1139,"<lock>","",1,"",57,"",1,0,"","",1,""
33,2270,"<lock>","",1,"",57,"",1,0,"","",1,""
34,2283,"<lock>","",1,"",57,"",1,0,"","",1,""
35,2291,"<lock>","",1,"",57,"",1,0,"","",1,""
36,3777,"<lock>","",1,"",19,"",1,0,"","",1,""
37,4833,"<lock>","",1,"",57,"",1,0,"","",1,""
38,8657,"<lock>","",1,"",57,"",1,0,"","",1,""
39,5463,"<lock>","",1,1,14,"",1,0,1,"",1,""
40,5464,"<lock>","",1,1,14,"",1,0,1,"",1,""
41,5465,"<lock>","",1,1,14,"",1,0,1,"",1,""
42,9300,"Head_Attachment",1,1,1,13,"",1,0,"","",1,""
43,9721,"<lock>",1,1,1,12,"",1,0,"","",1,""
44,9712,"<lock>",1,1,1,11,"",1,0,"","",1,""
45,9706,"<lock>",1,1,1,5,"",1,0,1,"","",""
46,9707,"<lock>",1,1,1,5,"",1,0,1,"","",""
47,9708,"<lock>",1,1,1,5,"",1,0,1,"","",""
48,9641,"<lock>",1,1,1,5,"",1,0,1,"","",""
49,9642,"<lock>",1,1,1,5,"",1,0,1,"","",""
50,9643,"<lock>",1,1,1,5,"",1,0,1,"","",""
51,1858,"<lock>",1,1,1,9,"",1,0,"","",1,""
52,1884,"<lock>",1,1,1,10,"",1,0,"","",1,""
53,1872,"<lock>",1,1,1,12,"",1,0,"","",1,""
54,1937,"<lock>",1,1,1,12,"",1,0,"","",1,""
55,8301,"<lock>",1,1,1,39,"",1,0,"","",1,""
56,8302,"<lock>",1,1,1,40,"",1,0,"","",1,""
57,8303,"<lock>",1,1,1,41,"",1,0,"","",1,""
58,9809,"<lock>",1,1,1,9,"",1,0,"","",1,""
59,9892,"<lock>",1,1,1,19,"",1,0,"","",1,""
60,10014,"<lock>",1,1,1,20,"",1,0,"","",1,""
61,3203,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
62,1919,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
63,1920,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
64,1921,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
65,344,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
66,345,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
67,346,"R_Weapon",1,"","",23,1,"",1,"",1,"",1
68,633,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
69,634,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
70,635,"R_Weapon",1,"","",29,1,"",1,"",1,"",1
71,1033,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
72,1034,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
73,1035,"R_Weapon",1,"","",24,1,"",1,"",1,"",1
74,2135,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
75,2136,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
76,2137,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
77,1841,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
78,1842,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
79,1843,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
80,1823,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
81,1824,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
82,1825,"R_Weapon",1,"","",28,1,"",1,"",1,"",1
83,4975,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
84,4976,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
85,4977,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
86,372,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
87,373,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
88,374,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
89,3729,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
90,3730,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
91,3731,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
92,10201,"<lock>",1,1,1,30,"",1,0,1,"","",""
93,10202,"<lock>",1,1,1,30,"",1,0,1,"","",""
94,10203,"<lock>",1,1,1,30,"",1,0,1,"","",""
95,3087,"<lock>",1,1,1,38,"",1,0,"","","",""
96,10427,"<lock>",1,1,1,42,"",1,0,"","","",""
97,10650,"<lock>",1,1,"",49,"",1,0,"","","",""
98,0,"<lock>",1,1,"",45,"",1,0,"","","",""
99,1,"<lock>",1,1,"",45,"",1,0,"","","",""
100,2,"<lock>",1,1,"",45,"",1,0,"","","",""
101,962,"<lock>",1,1,"",52,"",1,0,"","","",""
102,963,"<lock>",1,1,"",52,"",1,0,"","","",""
103,964,"<lock>",1,1,"",52,"",1,0,"","","",""
104,2175,"<lock>",1,1,"",51,"",1,0,"","","",""
105,2176,"<lock>",1,1,"",51,"",1,0,"","","",""
106,2177,"<lock>",1,1,"",51,"",1,0,"","","",""
107,10875,"<lock>",1,1,1,7,"",1,0,"","",1,""
108,1280,"<lock>",1,1,"",64,"",1,0,"","","",""
109,1281,"<lock>",1,1,"",64,"",1,0,"","","",""
110,1282,"<lock>",1,1,"",64,"",1,0,"","","",""
111,10971,"<root>",1,1,"",67,"","",0,"","","",""
112,10972,"<root>",1,1,"",67,"","",0,"","","",""
113,10973,"<root>",1,1,"",67,"","",0,"","","",""
114,10979,"<lock>",1,1,1,68,"",1,0,"","",1,""
115,3022,"<lock>",1,1,1,73,"",1,0,"","","",""
116,3023,"<lock>",1,1,1,73,"",1,0,"","","",""
117,3024,"<lock>",1,1,1,73,"",1,0,"","","",""
118,11040,"<lock>",1,1,1,74,"",1,0,"","",1,""
119,10999,"<lock>",1,1,1,76,"",1,0,"","","",""
120,11000,"<lock>",1,1,1,76,"",1,0,"","","",""
121,11001,"<lock>",1,1,1,76,"",1,0,"","","",""
122,11139,"<lock>",1,1,1,77,"",1,0,"","","",""
123,11140,"<lock>",1,1,1,77,"",1,0,"","","",""
124,11141,"<lock>",1,1,1,77,"",1,0,"","","",""
125,11150,"<lock>",1,1,"",80,"",1,0,"","","",""
126,11151,"<lock>",1,1,"",80,"",1,0,"","","",""
127,11152,"<lock>",1,1,"",80,"",1,0,"","","",""
128,1483,"<lock>",1,1,1,41,"",1,0,"","",1,""
129,11341,"<lock>",1,1,1,101,"",1,0,"","","",""
130,11397,"<lock>",1,1,1,110,"",1,0,"","","",""
131,11401,"<lock>",1,1,1,76,"",1,0,"","","",""
132,11407,"<lock>",1,1,1,5,"",1,0,"","","",""
133,11408,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
134,11405,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
135,11419,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
136,10651,"<lock>",1,1,"",4,"",1,0,"","","",""
137,10652,"<lock>",1,1,"",4,"",1,0,"","","",""
138,10653,"<lock>",1,1,"",4,"",1,0,"","","",""
139,11530,"<lock>",1,1,"",138,"","",0,"","","",""
140,11529,"<lock>",1,1,"",139,"","",0,"","","",""
