"rownum","Id","Icon","StateText","StateText (French)","StateText (German)","StateText (Japanese)","StateText (Korean)","StateText (Portuguese)","StateText (Russian)","StateText (Spanish)","StateText (Thai)","StateText (Traditional Chinese)","MaxWorkersStat","bool_40","JobSpeedStat"
0,"Idling","","Idling","Inactif","Untätig","待機","미배정","Atoa","Бездействует","Inactivos","ว่างงาน","閒置",20727,"",""
1,"Mining","Art/2DArt/UIImages/InGame/Village/JobIcons/MiningJobIcon","Mining","Minage","Bergbau","採掘","채광","Minerando","Добывает руду","Minería","ขุดแร่","開採",20712,1,20694
2,"Smelting","Art/2DArt/UIImages/InGame/Village/JobIcons/SmithingJobIcon","Smelting","Fonte","Verhüttung","製錬","제련","Derretendo","Плавит металл","Fundición","ถลุงแร่","冶煉",20714,1,20695
3,"Farming","Art/2DArt/UIImages/InGame/Village/JobIcons/FarmingJobIcon","Farming","Agriculture","Landwirtschaft","農業","경작","Cultivando","Работает в поле","Agricultura","เพาะปลูก","耕種",20719,"",20697
4,"Disenchanting","Art/2DArt/UIImages/InGame/Village/JobIcons/DisenchantingJobIcon","Disenchanting","Désenchantement","Entzauberung","解呪","인챈트 해제","Desencantando","Распыляет","Desencantamiento","สลายไอเทม","破幻",20716,1,20696
5,"Mapping","Art/2DArt/UIImages/InGame/Village/JobIcons/MapRunningJobIcon","Mapping","Exploration de Carte","Kartenlauf","マッピング","지도 탐험","Mapeando","Ходит на карты","Exploración de mapas","บุกแผนที่","刷圖",20725,"",20698
6,"Shipping","Art/2DArt/UIImages/InGame/Village/JobIcons/ShippingJobIcon","Shipping","Navigation","Schiffstransport","輸送","운송","Exportando","Ходит в море","Comercio","ขนส่ง","運送",20722,"",""
7,"Fishing","Art/2DArt/UIImages/InGame/Village/JobIcons/FishingJobIcon","Fishing","Pêche","Fischen","漁業","낚시","Pescando","Рыбачит","Pesca","ตกปลา","釣魚",20726,1,20700
8,"LostAtSea","","Lost at Sea","Perdu en mer","Auf See verloren","航海中行方不明","바다에서 실종","Perdido no Mar","Пропал(а) в море","Perdido en el mar","หายไปในทะเล","迷失在大海","","",""
9,"LostMapping","","Trapped in the Atlas","Piégé dans l'Atlas","Gefangen im Atlas","アトラスに捕らわれいる","아틀라스에 갇힘","Preso no Atlas","Пойман(а) в Атласе","Atrapado en el Atlas","ติดอยู่ในแอตลาส","受困在輿圖中","","",""
