"rownum","Id","QuestStates","[i32]_24","AchievementItems","NPCs","bool_72"
0,"UnlockScionClass",[531],[],[1018],[],""
1,"DefeatShaper",[],[318],[4221],"[412,410]",""
2,"DefeatElder",[],[317],[],"[412,410]",""
3,"DefeatUberElder",[],[319],[],"[412,410]",""
4,"UnlockLabyrinth",[897],[],[],[],""
5,"LabyrinthComplete1",[899],[],"[983,986,10437]",[],""
6,"LabyrinthComplete2",[992],[],"[984,987,10438]",[],""
7,"LabyrinthComplete3",[993],[],"[985,988,10439]",[],""
8,"LabyrinthComplete4",[900],[],"[1048,1049,10440]",[],""
9,"LabyrinthAllComplete","[899,0,0,0]",[],[],[],""
10,"LabyrinthUseHiddenSwitch",[939],[],[],[],""
11,"LabyrinthUseSilverKey",[940],[],[],[],""
12,"LabyrinthUseGoldKey",[941],[],[],[],""
13,"LabyrinthUseGauntlet",[942],[],[],[],""
14,"LabyrinthUsePuzzle",[943],[],[],[],""
15,"LabyrinthUseSecretPassage",[944],[],[],[],""
16,"LabyrinthCompleteMapTrial1",[],[282],[],[],""
17,"LabyrinthCompleteMapTrial2",[],[284],[],[],""
18,"LabyrinthCompleteMapTrial3",[],[283],[],[],""
19,"LabyrinthCompleteMapTrial4",[],[281],[],[],""
20,"LabyrinthCompleteMapTrial5",[],[285],[],[],""
21,"LabyrinthCompleteMapTrial6",[],[286],[],[],""
22,"QuestCompleteMercyMission",[42],[],[],[1],""
23,"QuestCompleteFairgravesA1",[47],[],[9904],[2],""
24,"QuestCompleteDeepDweller",[115],[],[7208],[0],""
25,"QuestCompleteADirtyJob",[227],[],"[7701,10361]",[0],""
26,"QuestCompleteWayForward",[233],[],[],[2],""
27,"QuestCompleteBrutus",[5],[],[989],[0],""
28,"QuestCompleteMerveil",[9],[],"[990,10370,10109]",[1],""
29,"QuestCompleteKraityn",[54],[],[1053],[15],""
30,"QuestCompleteAlira",[56],[],[1052],[13],""
31,"QuestCompleteOak",[89],[],[1054],[17],""
32,"QuestCompleteGoldenHand",[87],[],[10133],[10],""
33,"QuestCompleteGreatWhiteBeast",[246],[],[10384],[10],""
34,"QuestCompleteOversoul",[85],[],"[991,10371]",[9],""
35,"QuestCompleteGeneralGravicius",[209],[],"[904,10385]",[22],""
36,"QuestCompletePietyLunaris",[216],[],[992],[23],""
37,"QuestCompleteVictario",[458],[],[9905],[19],""
38,"QuestCompleteGoldenPages",[490],[],[7702],[29],""
39,"QuestCompleteFairgravesA3",[200],[],[],[2],""
40,"QuestCompleteDominus",[222],[],"[913,4202,10372]",[23],""
41,"QuestCompleteDeshret",[752],[],[7943],[110],""
42,"QuestCompleteMalachai",[664],[],"[2508,10373]",[107],""
43,"QuestCompleteMiasmeter",[1065],[],[9906],[183],""
44,"QuestCompleteUtula",[1079],[],[7703],[185],""
45,"QuestCompleteKitavaA5",[1085],[],"[4213,10374]",[188],""
46,"QuestCompleteKitavasTorments",[1090],[],[],[182],""
47,"QuestCompleteBrineKing",[1164],[],"[1028,4214,10379,9336]",[196],""
48,"QuestCompleteTukohama",[1175],[],"[1028,9341]",[196],""
49,"QuestCompleteClearTwilightStrand",[1187],[],[10134],[192],""
50,"QuestCompleteBestelsEpic",[1252],[],[7453],[191],""
51,"QuestCompleteRyslatha",[1193],[],"[1028,7944,9342,9907]",[196],""
52,"QuestCompleteAbberath",[1200],[],"[1028,9340]",[196],""
53,"QuestCompleteArakaali",[1294],[],"[1028,4215,10380,9334]","[220,412,410,315]",""
