"rownum","i32_0","i32_4","i32_8","i32_12","i32_16","i32_20","rid_24","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","i32_68","i32_72","bool_76","bool_77","bool_78","i32_79","i32_83","i32_87","i32_91","i32_95","i32_99","bool_103","string_104","i32_112","bool_116","bool_117","i32_118","i32_122","i32_126","bool_130","bool_131"
0,1,2,20,60,10,0,4825,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,0,"",""
1,2,4,20,110,69,0,4826,0,56,-46,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,0,"",""
2,3,4,20,110,69,0,4826,0,56,-46,0,180,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,0,"",""
3,4,1,20,160,-80,0,4826,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,20,0,2,"","",2,1,"",0,0,0,"",""
4,5,2,20,60,10,0,4831,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,0,"",""
5,6,6,24,160,60,0,4831,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,0,"",""
6,7,6,24,160,60,0,4831,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,0,"",""
7,8,2,20,60,20,-45,4825,90,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
8,9,2,30,165,58,-45,4826,90,58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
9,10,2,30,165,58,-135,4826,90,-58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
10,11,2,30,165,-58,45,4826,90,58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
11,12,2,30,165,-58,135,4826,90,-58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
12,13,6,24,100,20,-90,4831,60,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
13,14,6,24,100,20,-90,4831,60,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
14,15,6,24,100,-20,90,4831,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
15,16,6,24,100,-20,90,4831,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
16,17,4,20,60,40,-45,4825,90,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
17,18,4,20,60,60,-45,4825,45,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
18,19,5,24,100,30,-45,4831,72,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
19,20,5,24,100,30,-45,4831,72,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
20,21,6,24,100,50,-45,4831,60,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
21,22,6,24,100,50,-45,4831,60,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
22,23,7,24,100,70,-45,4831,50,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,0,"",""
