"rownum","Id","rid","rid","rid","[rid]","bool","bool","[rid]","[rid]","i32","i32","i32","i32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5734,"",[],"","",[],[],0,1,100,0
7,"IsBeyondMonsterFactionDemon","",5734,"",[],"","",[],[],0,1,100,-999931399
8,"IsBeyondMonsterFactionFlesh","",5734,"",[],"","",[],[],0,1,100,-506111471
9,"IsBeyondMonsterFactionPale","",5734,"",[],"","",[],[],0,1,100,-1972271131
10,"IsInvasionBoss","",3534,"",[],"","",[],[],0,1,100,0
11,"IsTormentedSpirit","",5600,"",[],"","",[],[],0,1,100,0
12,"IsRogueExile","",8875,"",[],"","",[],[],0,1,100,0
13,"IsIzaro","",4139,"",[],"","",[],[],0,1,100,0
14,"IsNotIzaro","","","",[4139],"","",[],[],0,1,100,0
15,"IsSynthesisedMonster","","","",[],"","",[414],[],0,1,100,0
16,"IsNotConvertingPhysicalDamage","","","","[1105,1106,1107,1108]","","",[],[],0,1,100,0
17,"IsHarbinger","",9342,"",[],"","",[],[],0,1,100,0
18,"IsFirst3Possessed","",2620,"",[],"","",[],[],3,1,100,0
19,"IsCorruptedVaal","","","",[],"","",[441],[],0,1,100,0
20,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
21,"ShouldNotDropSplinters","",11664,"",[],"","",[],[],0,1,100,0
22,"IsWarband","",11665,"",[],"","",[],[],0,1,100,0
23,"IsElderPortal","",11666,"",[],"","",[],[],0,1,100,0
24,"IsMapBossUnderling","",11667,"",[],"","",[],[],0,1,100,0
25,"IsAfflictionWildBoss","",11668,"",[],"","",[],[],0,1,100,0
26,"IsTempleArchitect","",11701,"",[],"","",[],[],0,1,100,0
27,"IsNotTempleArchitect","","","",[11701],"","",[],[],0,1,100,0
28,"IsIncursionBoss","",11702,"",[],"","",[],[],0,1,100,0
29,"IsWarbandLeader","",11750,"",[],"","",[],[],0,1,100,0
30,"IsNotWarbandLeader","","","",[11750],"","",[],[],0,1,100,0
31,"IsBetrayalTarget","",11770,"",[],"","",[],[],0,1,100,0
32,"IsNotBetrayalTarget","","","",[11770],"","",[],[],0,1,100,0
33,"IsIncursionArchitect","",11771,"",[],"","",[],[],0,1,100,0
34,"IsNotIncursionArchitect","","","",[11771],"","",[],[],0,1,100,0
35,"IsBestiaryRedBeast","",11772,"",[],"","",[],[],0,1,100,0
36,"IsNotBestiaryRedBeast","","","",[11772],"","",[],[],0,1,100,0
37,"HeistGuard","","","",[],"","",[675],[],0,1,100,0
38,"IsNotRitualMonster","","","",[13404],"","",[],[],0,1,100,0
39,"IsShaperMonster","","","",[],"","",[685],[],0,1,100,0
40,"IsElderMonster","","","",[],"","",[686],[],0,1,100,0
41,"IsCrusaderMonster","","","",[],"","",[689],[],0,1,100,0
42,"IsEyrieMonster","","","",[],"","",[687],[],0,1,100,0
43,"IsBasiliskMonster","","","",[],"","",[688],[],0,1,100,0
44,"IsAdjudicatorMonster","","","",[],"","",[690],[],0,1,100,0
45,"IsBreachMonster","",5146,"",[],"","",[],[],0,1,100,0
46,"IsRitualRespawnedMapBoss","",7966,"",[],"","",[],[],0,1,100,0
47,"IsNotRitualRespawnedMapBoss","","","",[7966],"","",[],[],0,1,100,0
48,"IsAbyssMonster","","","",[],"","",[239],[],0,1,100,0
49,"IsEssenceMonster","",13747,"",[],"","",[],[],0,1,100,0
50,"IsInfluenceMonster","","","",[],"","",[695],[],0,1,100,0
51,"IsBlightBoss","","","",[],"","",[696],[],0,1,100,0
52,"Level4Plus","","","",[],"","",[],[],0,4,100,0
53,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
54,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
55,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,-1520197555
56,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019
57,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,-1163185422
58,"Level1to45Monster","","","",[],"","",[],[],0,1,45,0
59,"Level46to67Monster","","","",[],"","",[],[],0,46,67,0
60,"Level68to72Monster","","","",[],"","",[],[],0,68,72,0
61,"Level73to77Monster","","","",[],"","",[],[],0,73,77,0
62,"Level78to84Monster","","","",[],"","",[],[],0,78,84,0
63,"Level81plusMonster","","","",[],"","",[],[],0,81,100,0
64,"Level85plusMonster","","","",[],"","",[],[],0,85,100,0
65,"IsBestiaryYellowBeast","",16834,"",[],"","",[],[],0,1,100,0
66,"IsIncursionMemoryLineMonster","",16842,"",[],"","",[],[],0,1,100,0
67,"IsMavenWitnessed","",17079,"",[],"","",[],[],0,1,100,0
68,"IsLastMapBoss","",17114,"",[],"","",[],[],0,1,100,0
69,"IsSanctumFloorBoss","",17378,"",[],"","",[],[],0,1,100,0
70,"IsSanctumGuard","",17397,"",[],"","",[],[],0,1,100,0
71,"IsSanctumBoss","",17465,"",[],"","",[],[],0,1,100,0
72,"IsBreachMonsterCold","","","",[],"","",[1042],[],0,1,100,0
73,"IsBreachMonsterFire","","","",[],"","",[1043],[],0,1,100,0
74,"IsBreachMonsterLightning","","","",[],"","",[1044],[],0,1,100,0
75,"IsBreachMonsterPhysical","","","",[],"","",[1045],[],0,1,100,0
76,"IsBreachMonsterChaos","","","",[],"","",[1046],[],0,1,100,0
77,"IsBlightMonster","",10337,"",[],"","",[],[],0,1,100,0
78,"IsAfflictionMonster","",11397,"",[],"","",[],[],0,1,100,0
79,"IsSanctumFinalBoss","",17655,"",[],"","",[],[],0,1,100,0
80,"IsCrucibleMonster","",18219,"",[],"","",[],[],0,1,100,0
81,"Level80OrBelowMonster","","","",[],"","",[],[],0,1,80,0
