"rownum","Id","MonsterPacksKeys","i32","i32","MonsterVarietiesKey","rid","i32","i32","i32","MonsterPacksKey"
0,"MonkeyPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",12,2,4745,2,2,20,100,1610
1,"BeastPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",12,2,4743,2,2,20,100,1612
2,"HellionPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,2,4744,2,2,20,100,1613
3,"RhoaPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,2,4742,2,2,20,100,1611
4,"SpiderPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,2,4748,2,2,20,100,1615
5,"SnakePack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,2,4747,2,2,20,100,1614
6,"FrogPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",25,2,4750,2,2,20,100,1616
7,"IguanaPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",30,2,4751,2,2,20,100,1617
8,"KiwethPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,2,4752,2,2,20,100,1618
9,"DropbearPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,2,4753,2,2,20,100,1619
10,"SquidPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,2,4754,2,2,20,100,1620
11,"TasterPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",39,3,4247,3,3,20,100,""
12,"BeastBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,3,116,3,3,20,100,""
13,"SpiderBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,3,951,3,3,20,100,""
14,"KiwethBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",1,3,1590,3,3,20,100,""
15,"WaterSpiralBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",35,3,3962,3,3,20,100,""
16,"SandLeaperBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",35,3,3983,3,3,20,100,""
17,"DropBearBossPack","[1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620]",15,3,3211,3,3,20,100,""
